Date,Open,High,Low,Close,Adj Close,Volume
1975-11-17,0.000000,7.500000,7.500000,7.500000,2.010341,1300
1975-11-18,0.000000,7.500000,7.500000,7.500000,2.010341,200
1975-11-19,0.000000,7.500000,7.500000,7.500000,2.010341,1100
1975-11-20,0.000000,7.500000,7.500000,7.500000,2.010341,900
1975-11-21,0.000000,7.500000,7.500000,7.500000,2.010341,400
1975-11-24,0.000000,7.500000,7.500000,7.500000,2.010341,2700
1975-11-25,0.000000,7.500000,7.500000,7.500000,2.010341,5100
1975-11-26,0.000000,7.500000,7.500000,7.500000,2.010341,900
1975-11-28,0.000000,7.500000,7.500000,7.500000,2.010341,800
1975-12-01,0.000000,7.375000,7.375000,7.375000,1.976835,15400
1975-12-02,0.000000,7.375000,7.375000,7.375000,1.976835,8200
1975-12-03,0.000000,7.375000,7.375000,7.375000,1.976835,6300
1975-12-04,0.000000,7.375000,7.375000,7.375000,1.976835,400
1975-12-05,0.000000,7.375000,7.375000,7.375000,1.976835,3100
1975-12-08,0.000000,7.375000,7.375000,7.375000,1.976835,2600
1975-12-09,0.000000,7.375000,7.375000,7.375000,1.976835,11200
1975-12-10,0.000000,7.375000,7.375000,7.375000,1.976835,1800
1975-12-11,0.000000,7.375000,7.375000,7.375000,1.976835,700
1975-12-12,0.000000,7.375000,7.375000,7.375000,1.976835,1100
1975-12-15,0.000000,7.375000,7.375000,7.375000,1.976835,5000
1975-12-16,0.000000,7.500000,7.500000,7.500000,2.010341,3100
1975-12-17,0.000000,7.375000,7.375000,7.375000,1.976835,1200
1975-12-18,0.000000,7.375000,7.375000,7.375000,1.976835,4600
1975-12-19,0.000000,7.250000,7.250000,7.250000,1.943329,1300
1975-12-22,0.000000,7.250000,7.250000,7.250000,1.943329,1200
1975-12-23,0.000000,7.250000,7.250000,7.250000,1.943329,9100
1975-12-24,7.250000,7.250000,7.250000,7.250000,1.943329,0
1975-12-26,0.000000,7.250000,7.250000,7.250000,1.943329,1900
1975-12-29,0.000000,7.250000,7.250000,7.250000,1.943329,8700
1975-12-30,0.000000,7.125000,7.125000,7.125000,1.909824,200
1975-12-31,0.000000,7.125000,7.125000,7.125000,1.909824,3400
1976-01-02,0.000000,7.125000,7.125000,7.125000,1.909824,700
1976-01-05,0.000000,7.125000,7.125000,7.125000,1.909824,600
1976-01-06,7.125000,7.125000,7.125000,7.125000,1.909824,0
1976-01-07,0.000000,7.250000,7.250000,7.250000,1.943329,2000
1976-01-08,0.000000,7.250000,7.250000,7.250000,1.943329,600
1976-01-09,0.000000,7.250000,7.250000,7.250000,1.943329,100
1976-01-12,0.000000,7.375000,7.375000,7.375000,1.976835,7000
1976-01-13,0.000000,7.500000,7.500000,7.500000,2.010341,1400
1976-01-14,0.000000,7.375000,7.375000,7.375000,1.976835,2000
1976-01-15,0.000000,7.375000,7.375000,7.375000,1.976835,800
1976-01-16,0.000000,7.375000,7.375000,7.375000,1.976835,2100
1976-01-19,0.000000,7.375000,7.375000,7.375000,1.976835,900
1976-01-20,0.000000,7.375000,7.375000,7.375000,1.976835,2700
1976-01-21,0.000000,7.500000,7.500000,7.500000,2.010341,10300
1976-01-22,0.000000,7.500000,7.500000,7.500000,2.010341,6700
1976-01-23,0.000000,7.500000,7.500000,7.500000,2.010341,2700
1976-01-26,0.000000,7.500000,7.500000,7.500000,2.010341,8000
1976-01-27,0.000000,7.500000,7.500000,7.500000,2.010341,4100
1976-01-28,0.000000,7.625000,7.625000,7.625000,2.043846,900
1976-01-29,0.000000,8.625000,8.250000,8.250000,2.211375,8800
1976-01-30,0.000000,8.625000,8.250000,8.250000,2.211375,3900
