Date,Open,High,Low,Close,Adj Close,Volume
1973-05-03,2.017045,2.017045,1.960227,2.017045,1.279573,30000
1973-05-04,2.017045,2.073864,2.017045,2.017045,1.279573,26400
1973-05-07,2.017045,2.073864,2.017045,2.017045,1.279573,18400
1973-05-08,2.017045,2.073864,2.017045,2.073864,1.315617,13200
1973-05-09,2.073864,2.102273,2.017045,2.017045,1.279573,15200
1973-05-10,2.017045,2.017045,1.988636,1.988636,1.261551,18800
1973-05-11,1.988636,1.988636,1.960227,1.988636,1.261551,19200
1973-05-14,1.988636,1.988636,1.903409,1.903409,1.207484,32000
1973-05-15,1.903409,1.931818,1.846591,1.903409,1.207484,49200
1973-05-16,1.903409,1.931818,1.846591,1.846591,1.171440,31200
1973-05-17,1.846591,1.846591,1.789773,1.789773,1.135396,83600
1973-05-18,1.789773,1.846591,1.732955,1.789773,1.135396,67600
1973-05-21,1.761364,1.761364,1.619318,1.647727,1.045285,116400
1973-05-22,1.647727,1.676136,1.590909,1.590909,1.009241,145600
1973-05-23,1.590909,1.647727,1.562500,1.619318,1.027262,104800
1973-05-24,1.619318,1.789773,1.619318,1.789773,1.135396,42400
1973-05-25,1.789773,1.903409,1.761364,1.903409,1.207484,72400
1973-05-29,1.903409,1.903409,1.818182,1.818182,1.153418,20400
1973-05-30,1.818182,1.818182,1.761364,1.789773,1.135396,10800
1973-05-31,1.732955,1.732955,1.704545,1.704545,1.081329,42400
1973-06-01,1.704545,1.704545,1.647727,1.647727,1.045285,52800
1973-06-04,1.647727,1.676136,1.619318,1.647727,1.045285,31200
1973-06-05,1.647727,1.704545,1.619318,1.704545,1.081329,45600
1973-06-06,1.704545,1.704545,1.647727,1.647727,1.045285,22800
1973-06-07,1.647727,1.732955,1.647727,1.676136,1.063308,28400
1973-06-08,1.704545,1.761364,1.704545,1.732955,1.099351,19200
1973-06-11,1.732955,1.789773,1.732955,1.761364,1.117374,21200
1973-06-12,1.761364,1.789773,1.676136,1.676136,1.063308,48800
1973-06-13,1.761364,1.818182,1.761364,1.789773,1.135396,30800
1973-06-14,1.846591,1.903409,1.846591,1.846591,1.171440,57600
1973-06-15,1.846591,1.846591,1.818182,1.818182,1.153418,28400
1973-06-18,1.818182,1.818182,1.732955,1.732955,1.099351,25200
1973-06-19,1.732955,1.732955,1.647727,1.676136,1.063308,75600
1973-06-20,1.676136,1.732955,1.676136,1.732955,1.099351,28400
1973-06-21,1.732955,1.761364,1.647727,1.647727,1.045285,23200
1973-06-22,1.647727,1.732955,1.647727,1.647727,1.045285,33600
1973-06-25,1.647727,1.704545,1.619318,1.619318,1.027262,60000
1973-06-26,1.619318,1.704545,1.619318,1.704545,1.081329,46000
1973-06-27,1.704545,1.704545,1.647727,1.647727,1.045285,25600
1973-06-28,1.647727,1.704545,1.647727,1.676136,1.063308,22000
1973-06-29,1.676136,1.704545,1.647727,1.676136,1.063308,15200
1973-07-02,1.676136,1.676136,1.647727,1.647727,1.045285,12000
1973-07-03,1.647727,1.676136,1.647727,1.676136,1.063308,24800
1973-07-05,1.676136,1.676136,1.647727,1.647727,1.045285,14400
1973-07-06,1.647727,1.676136,1.647727,1.676136,1.063308,12400
1973-07-09,1.676136,1.676136,1.647727,1.647727,1.045285,18400
1973-07-10,1.676136,1.704545,1.676136,1.676136,1.063308,25600
1973-07-11,1.676136,1.761364,1.676136,1.761364,1.117374,56000
