Date,Open,High,Low,Close,Adj Close,Volume
1993-06-11,2.500000,2.833333,2.416667,2.708333,2.052690,1391400
1993-06-14,2.708333,2.833333,2.666667,2.791667,2.115849,169200
1993-06-15,2.833333,2.833333,2.666667,2.791667,2.115849,155100
1993-06-16,2.833333,2.833333,2.666667,2.708333,2.052690,359100
1993-06-17,2.833333,2.833333,2.500000,2.666667,2.021110,355800
1993-06-18,2.666667,2.666667,2.500000,2.583333,1.957950,83100
1993-06-21,2.666667,2.750000,2.583333,2.750000,2.084270,167100
1993-06-22,2.750000,2.750000,2.666667,2.750000,2.084270,180000
1993-06-23,2.833333,2.833333,2.666667,2.833333,2.147429,134700
1993-06-24,2.666667,2.916667,2.666667,2.916667,2.210590,90900
1993-06-25,2.916667,2.916667,2.750000,2.916667,2.210590,27900
1993-06-28,2.916667,3.000000,2.750000,3.000000,2.273749,111000
1993-06-29,2.916667,3.166667,2.916667,3.000000,2.273749,198300
1993-06-30,3.166667,3.166667,2.958333,3.000000,2.273749,163200
1993-07-01,3.083333,3.083333,2.750000,3.000000,2.273749,127500
1993-07-02,3.000000,3.000000,3.000000,3.000000,2.273749,900
1993-07-06,2.750000,3.000000,2.583333,2.833333,2.147429,45600
1993-07-07,2.666667,2.833333,2.625000,2.833333,2.147429,17100
1993-07-08,2.750000,2.833333,2.583333,2.604167,1.973740,35700
1993-07-09,2.833333,2.833333,2.583333,2.750000,2.084270,9000
1993-07-12,2.833333,2.833333,2.583333,2.583333,1.957950,99000
1993-07-13,2.833333,2.833333,2.583333,2.833333,2.147429,24300
1993-07-14,2.583333,2.833333,2.583333,2.833333,2.147429,9000
1993-07-15,2.666667,2.833333,2.583333,2.833333,2.147429,83700
1993-07-16,2.583333,2.833333,2.583333,2.833333,2.147429,53100
1993-07-19,2.833333,2.833333,2.708333,2.833333,2.147429,57000
1993-07-20,2.625000,2.833333,2.625000,2.791667,2.115849,87000
1993-07-21,2.791667,2.833333,2.583333,2.791667,2.115849,84900
1993-07-22,2.833333,2.833333,2.583333,2.750000,2.084270,67500
1993-07-23,2.583333,2.833333,2.583333,2.833333,2.147429,46500
1993-07-26,2.583333,2.833333,2.583333,2.583333,1.957950,60900
1993-07-27,2.583333,2.833333,2.583333,2.833333,2.147429,126300
1993-07-28,2.833333,2.833333,2.583333,2.833333,2.147429,60600
1993-07-29,2.791667,2.833333,2.791667,2.833333,2.147429,22800
1993-07-30,2.635417,2.833333,2.635417,2.791667,2.115849,15900
1993-08-02,2.625000,2.833333,2.583333,2.666667,2.021110,77700
1993-08-03,2.666667,2.833333,2.666667,2.833333,2.147429,9300
1993-08-04,2.666667,2.833333,2.666667,2.666667,2.021110,45300
1993-08-05,2.666667,3.083333,2.666667,3.020833,2.289538,197700
1993-08-06,2.927083,3.083333,2.916667,3.083333,2.336909,20400
1993-08-09,3.083333,3.166667,2.916667,3.000000,2.273749,160500
1993-08-10,3.083333,3.250000,3.000000,3.083333,2.336909,108000
1993-08-11,3.083333,3.250000,3.083333,3.083333,2.336909,180000
1993-08-12,3.000000,3.250000,3.000000,3.250000,2.463228,401100
1993-08-13,3.083333,3.250000,3.083333,3.166667,2.400069,105900
1993-08-16,3.250000,3.250000,3.083333,3.250000,2.463228,79500
1993-08-17,3.416667,3.666667,3.250000,3.500000,2.652707,219000
1993-08-18,3.666667,3.666667,3.416667,3.458333,2.621127,80400
1993-08-19,3.666667,3.666667,3.416667,3.666667,2.779026,77700
1993-08-20,3.666667,3.666667,3.416667,3.666667,2.779026,64200
1993-08-23,3.416667,3.666667,3.416667,3.666667,2.779026,87000
1993-08-24,3.416667,3.625000,3.333333,3.333333,2.526387,137700
1993-08-25,3.333333,3.375000,3.333333,3.375000,2.557968,46800
1993-08-26,3.500000,3.500000,3.333333,3.333333,2.526387,1200
1993-08-27,3.416667,3.500000,3.333333,3.333333,2.526387,21600
1993-08-30,3.500000,3.500000,3.500000,3.500000,2.652707,600
1993-08-31,3.333333,3.500000,3.333333,3.458333,2.621127,125100
1993-09-01,3.333333,3.666667,3.333333,3.666667,2.779026,502500
1993-09-02,3.500000,3.666667,3.500000,3.666667,2.779026,176700
1993-09-03,3.750000,3.791667,3.666667,3.791667,2.873766,16500
1993-09-07,3.833333,3.916667,3.666667,3.916667,2.968505,160800
1993-09-08,3.833333,3.875000,3.750000,3.875000,2.936925,25500
1993-09-09,3.875000,3.916667,3.750000,3.833333,2.905345,135000
1993-09-10,3.750000,4.250000,3.750000,4.000000,3.031665,366600
1993-09-13,4.250000,4.250000,4.000000,4.083333,3.094826,26700
1993-09-14,4.250000,4.250000,4.083333,4.083333,3.094826,13500
1993-09-15,4.250000,4.250000,4.000000,4.083333,3.094826,81600
