Date,Open,High,Low,Close,Adj Close,Volume
1986-06-03,0.237037,0.256790,0.237037,0.250206,0.200152,178200
1986-06-04,0.250206,0.250206,0.237037,0.250206,0.200152,45900
1986-06-05,0.237037,0.237037,0.230453,0.230453,0.184350,93100
1986-06-06,0.230453,0.237037,0.223868,0.237037,0.189617,18400
1986-06-09,0.237037,0.237037,0.237037,0.237037,0.189617,0
1986-06-10,0.230453,0.230453,0.210700,0.217284,0.173816,182200
1986-06-11,0.217284,0.217284,0.217284,0.217284,0.173816,0
1986-06-12,0.223868,0.223868,0.223868,0.223868,0.179083,36600
1986-06-13,0.230453,0.230453,0.230453,0.230453,0.184350,54600
1986-06-16,0.230453,0.230453,0.217284,0.230453,0.184350,32400
1986-06-17,0.230453,0.230453,0.230453,0.230453,0.184350,0
1986-06-18,0.230453,0.230453,0.223868,0.230453,0.184350,29200
1986-06-19,0.230453,0.230453,0.230453,0.230453,0.184350,0
1986-06-20,0.230453,0.230453,0.230453,0.230453,0.184350,6300
1986-06-23,0.223868,0.223868,0.223868,0.223868,0.179083,18100
1986-06-24,0.223868,0.223868,0.223868,0.223868,0.179083,0
1986-06-25,0.210700,0.210700,0.210700,0.210700,0.168549,6300
1986-06-26,0.210700,0.230453,0.210700,0.223868,0.179083,68100
1986-06-27,0.230453,0.230453,0.230453,0.230453,0.184350,36600
1986-06-30,0.230453,0.230453,0.210700,0.230453,0.184350,264600
1986-07-01,0.237037,0.237037,0.237037,0.237037,0.189617,27100
1986-07-02,0.243621,0.250206,0.243621,0.250206,0.200152,45900
1986-07-03,0.250206,0.250206,0.250206,0.250206,0.200152,6300
1986-07-07,0.250206,0.250206,0.237037,0.250206,0.200152,109300
1986-07-08,0.237037,0.237037,0.223868,0.237037,0.189617,222900
1986-07-09,0.237037,0.237037,0.217284,0.217284,0.173816,93100
1986-07-10,0.217284,0.230453,0.217284,0.230453,0.184350,32400
1986-07-11,0.237037,0.237037,0.237037,0.237037,0.189617,18100
1986-07-14,0.237037,0.237037,0.237037,0.237037,0.189617,0
1986-07-15,0.217284,0.217284,0.210700,0.210700,0.168549,59500
1986-07-16,0.204115,0.204115,0.204115,0.204115,0.163282,100
1986-07-17,0.217284,0.230453,0.217284,0.217284,0.173816,177400
1986-07-18,0.230453,0.230453,0.230453,0.230453,0.184350,36600
1986-07-21,0.230453,0.250206,0.230453,0.250206,0.200152,150700
1986-07-22,0.263374,0.263374,0.263374,0.263374,0.210686,6300
1986-07-23,0.263374,0.263374,0.263374,0.263374,0.210686,6300
1986-07-24,0.263374,0.263374,0.263374,0.263374,0.210686,0
1986-07-25,0.263374,0.263374,0.256790,0.263374,0.210686,45900
1986-07-28,0.263374,0.263374,0.263374,0.263374,0.210686,18400
1986-07-29,0.263374,0.263374,0.263374,0.263374,0.210686,59500
1986-07-30,0.263374,0.263374,0.243621,0.250206,0.200152,93100
1986-07-31,0.250206,0.269959,0.250206,0.256790,0.205419,18400
1986-08-01,0.256790,0.256790,0.256790,0.256790,0.205419,0
1986-08-04,0.263374,0.263374,0.263374,0.263374,0.210686,23100
1986-08-05,0.250206,0.250206,0.250206,0.250206,0.200152,100
1986-08-06,0.256790,0.289712,0.256790,0.289712,0.231754,143100
1986-08-07,0.296296,0.316049,0.296296,0.309465,0.247556,136900
1986-08-08,0.309465,0.342387,0.309465,0.335802,0.268624,132400
1986-08-11,0.335802,0.355556,0.329218,0.348971,0.279159,188500
1986-08-12,0.348971,0.348971,0.329218,0.329218,0.263357,170200
1986-08-13,0.329218,0.348971,0.309465,0.348971,0.279159,193200
1986-08-14,0.348971,0.348971,0.316049,0.348971,0.279159,91300
1986-08-15,0.348971,0.348971,0.348971,0.348971,0.279159,93100
1986-08-18,0.342387,0.342387,0.322634,0.322634,0.258090,200400
1986-08-19,0.355556,0.355556,0.355556,0.355556,0.284426,100
1986-08-20,0.355556,0.362140,0.335802,0.348971,0.279159,115600
1986-08-21,0.348971,0.362140,0.348971,0.362140,0.289693,36600
1986-08-22,0.362140,0.368724,0.355556,0.368724,0.294960,54600
1986-08-25,0.368724,0.368724,0.348971,0.368724,0.294960,27100
1986-08-26,0.348971,0.348971,0.348971,0.348971,0.279159,29200
1986-08-27,0.362140,0.368724,0.362140,0.368724,0.294960,23100
1986-08-28,0.368724,0.368724,0.362140,0.362140,0.289693,18400
1986-08-29,0.362140,0.368724,0.362140,0.368724,0.294960,29200
1986-09-02,0.368724,0.375309,0.348971,0.375309,0.300227,54600
1986-09-03,0.375309,0.401646,0.368724,0.401646,0.321296,573900
1986-09-04,0.401646,0.434568,0.388477,0.434568,0.347632,204700
1986-09-05,0.434568,0.447737,0.421399,0.447737,0.358166,261400
1986-09-08,0.447737,0.474074,0.447737,0.467490,0.373967,129600
1986-09-09,0.467490,0.474074,0.447737,0.474074,0.379235,91000
1986-09-10,0.474074,0.487243,0.454321,0.474074,0.379235,200400
1986-09-11,0.460905,0.460905,0.427984,0.427984,0.342364,159900
1986-09-12,0.427984,0.441152,0.395062,0.441152,0.352899,428500
1986-09-15,0.421399,0.421399,0.408230,0.408230,0.326563,68100
1986-09-16,0.414815,0.441152,0.414815,0.441152,0.352899,115600
1986-09-17,0.441152,0.460905,0.434568,0.460905,0.368700,478000
1986-09-18,0.460905,0.487243,0.460905,0.487243,0.389769,428500
1986-09-19,0.487243,0.487243,0.474074,0.474074,0.379235,307000
1986-09-22,0.474074,0.480658,0.454321,0.464198,0.371334,188500
1986-09-23,0.464198,0.480658,0.460905,0.474074,0.379235,229600
1986-09-24,0.474074,0.474074,0.460905,0.467490,0.373967,59500
1986-09-25,0.467490,0.467490,0.447737,0.447737,0.358166,36600
1986-09-26,0.460905,0.460905,0.460905,0.460905,0.368700,18100
1986-09-29,0.460905,0.460905,0.460905,0.460905,0.368700,36600
1986-09-30,0.454321,0.454321,0.447737,0.454321,0.363433,51900
1986-10-01,0.447737,0.447737,0.434568,0.447737,0.358166,150700
1986-10-02,0.447737,0.454321,0.421399,0.434568,0.347632,273300
1986-10-03,0.427984,0.427984,0.421399,0.427984,0.342364,141000
1986-10-06,0.421399,0.421399,0.388477,0.388477,0.310762,228100
1986-10-07,0.388477,0.395062,0.381893,0.381893,0.305495,77100
1986-10-08,0.381893,0.414815,0.381893,0.414815,0.331830,346200
1986-10-09,0.414815,0.427984,0.408230,0.427984,0.342364,496300
1986-10-10,0.427984,0.454321,0.414815,0.454321,0.363433,843300
1986-10-13,0.454321,0.460905,0.447737,0.454321,0.363433,177400
1986-10-14,0.454321,0.546502,0.447737,0.546502,0.437173,1203000
1986-10-15,0.546502,0.592593,0.526749,0.559671,0.447708,421200
1986-10-16,0.559671,0.559671,0.526749,0.533333,0.426639,364600
1986-10-17,0.539918,0.618930,0.539918,0.592593,0.474043,484800
1986-10-20,0.599177,0.625514,0.599177,0.618930,0.495112,466600
1986-10-21,0.618930,0.651852,0.605761,0.645267,0.516180,678600
1986-10-22,0.651852,0.724280,0.651852,0.697942,0.558318,382600
1986-10-23,0.711111,0.816461,0.711111,0.763786,0.610989,325300
1986-10-24,0.763786,0.829630,0.763786,0.790123,0.632057,1801500
1986-10-27,0.796708,0.934979,0.796708,0.888889,0.711065,607600
1986-10-28,0.888889,0.974486,0.862551,0.882305,0.705798,867600
1986-10-29,0.882305,0.908642,0.816461,0.882305,0.705798,1377900
1986-10-30,0.882305,0.934979,0.882305,0.921811,0.737400,694500
1986-10-31,0.921811,0.921811,0.862551,0.915226,0.732133,421200
1986-11-03,0.915226,0.928395,0.888889,0.895473,0.716332,342100
1986-11-04,0.895473,0.941564,0.875720,0.928395,0.742668,975300
1986-11-05,0.928395,0.928395,0.902058,0.908642,0.726866,159900
1986-11-06,0.902058,0.902058,0.855967,0.882305,0.705798,234100
1986-11-07,0.862551,0.862551,0.770370,0.803292,0.642592,534700
1986-11-10,0.796708,0.796708,0.730864,0.770370,0.616256,872100
1986-11-11,0.770370,0.770370,0.750617,0.757202,0.605722,421200
1986-11-12,0.737449,0.737449,0.671605,0.671605,0.537249,842500
1986-11-13,0.658436,0.658436,0.434568,0.520165,0.416105,1368900
1986-11-14,0.500412,0.500412,0.414815,0.460905,0.368700,770400
1986-11-17,0.460905,0.559671,0.434568,0.553086,0.442440,656200
1986-11-18,0.566255,0.671605,0.566255,0.658436,0.526715,815400
1986-11-19,0.665021,0.730864,0.665021,0.724280,0.579386,820300
1986-11-20,0.724280,0.724280,0.612346,0.632099,0.505646,352500
1986-11-21,0.632099,0.724280,0.632099,0.717695,0.574119,439300
1986-11-24,0.717695,0.776955,0.717695,0.763786,0.610989,530500
1986-11-25,0.763786,0.770370,0.711111,0.711111,0.568852,282300
1986-11-26,0.711111,0.724280,0.704527,0.711111,0.568852,177400
1986-11-28,0.678189,0.678189,0.651852,0.651852,0.521448,59500
1986-12-01,0.651852,0.678189,0.651852,0.678189,0.542516,54600
1986-12-02,0.678189,0.678189,0.645267,0.658436,0.526715,115600
1986-12-03,0.638683,0.638683,0.586008,0.592593,0.474043,368700
1986-12-04,0.592593,0.605761,0.586008,0.599177,0.479310,102100
1986-12-05,0.599177,0.599177,0.546502,0.566255,0.452975,216000
1986-12-08,0.559671,0.559671,0.520165,0.526749,0.421372,337000
1986-12-09,0.513580,0.513580,0.434568,0.467490,0.379435,469800
1986-12-10,0.467490,0.520165,0.421399,0.500412,0.406155,610300
1986-12-11,0.500412,0.526749,0.493827,0.500412,0.406155,150700
1986-12-12,0.500412,0.526749,0.493827,0.493827,0.400811,40600
1986-12-15,0.493827,0.506996,0.474074,0.474074,0.384779,45900
1986-12-16,0.474074,0.487243,0.460905,0.487243,0.395467,59500
1986-12-17,0.474074,0.474074,0.460905,0.467490,0.379435,91300
1986-12-18,0.467490,0.474074,0.460905,0.467490,0.379435,93100
1986-12-19,0.467490,0.480658,0.460905,0.474074,0.384779,68800
1986-12-22,0.467490,0.467490,0.460905,0.460905,0.374091,40600
1986-12-23,0.460905,0.474074,0.441152,0.460905,0.374091,93100
1986-12-24,0.460905,0.460905,0.460905,0.460905,0.374091,0
1986-12-26,0.460905,0.460905,0.460905,0.460905,0.374091,100
1986-12-29,0.460905,0.460905,0.414815,0.414815,0.336682,86400
1986-12-30,0.414815,0.447737,0.414815,0.421399,0.342026,223600
1986-12-31,0.421399,0.421399,0.342387,0.408230,0.331337,284400
1987-01-02,0.408230,0.408230,0.381893,0.395062,0.320649,91300
1987-01-05,0.408230,0.434568,0.408230,0.434568,0.352714,273600
1987-01-06,0.434568,0.480658,0.434568,0.460905,0.374091,478800
1987-01-07,0.474074,0.480658,0.474074,0.474074,0.384779,63600
1987-01-08,0.487243,0.506996,0.487243,0.500412,0.406155,41400
1987-01-09,0.500412,0.526749,0.474074,0.487243,0.395467,109300
1987-01-12,0.487243,0.500412,0.421399,0.447737,0.363402,191200
1987-01-13,0.460905,0.474074,0.460905,0.460905,0.374091,15400
