Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,7.360000,7.040000,7.040000,1.715893,57700
1980-03-18,0.000000,7.253334,6.933333,6.933333,1.689896,8000
1980-03-19,0.000000,7.146667,6.826667,6.826667,1.663896,800
1980-03-20,0.000000,7.146667,6.826667,6.826667,1.663896,1800
1980-03-21,0.000000,7.040000,6.720000,6.720000,1.637899,9300
1980-03-24,0.000000,6.720000,6.400000,6.400000,1.559904,31200
1980-03-25,0.000000,6.506667,6.186666,6.186666,1.507906,20600
1980-03-26,0.000000,6.506667,6.186666,6.186666,1.507906,4600
1980-03-27,0.000000,6.186666,5.866667,5.866667,1.429911,15300
1980-03-28,0.000000,6.506667,6.186666,6.186666,1.507906,12300
1980-03-31,0.000000,6.613333,6.293334,6.293334,1.533905,4800
1980-04-01,0.000000,6.613333,6.293334,6.293334,1.533905,100
1980-04-02,0.000000,7.146667,6.826667,6.826667,1.663896,11700
1980-04-03,0.000000,7.040000,6.720000,6.720000,1.637899,2300
1980-04-07,0.000000,6.720000,6.400000,6.400000,1.559904,4600
1980-04-08,0.000000,6.613333,6.293334,6.293334,1.533905,9500
1980-04-09,0.000000,6.720000,6.400000,6.400000,1.559904,2200
1980-04-10,0.000000,6.720000,6.400000,6.400000,1.559904,2000
1980-04-11,0.000000,6.826667,6.506667,6.506667,1.585901,2200
1980-04-14,0.000000,6.826667,6.506667,6.506667,1.585901,5600
1980-04-15,0.000000,6.720000,6.400000,6.400000,1.559904,1800
1980-04-16,6.400000,6.400000,6.400000,6.400000,1.559904,0
1980-04-17,0.000000,6.613333,6.293334,6.293334,1.533905,3100
1980-04-18,0.000000,6.613333,6.293334,6.293334,1.533905,2000
1980-04-21,6.293334,6.293334,6.293334,6.293334,1.533905,0
1980-04-22,0.000000,6.613333,6.293334,6.293334,1.533905,500
1980-04-23,0.000000,6.933333,6.613333,6.613333,1.611900,8000
1980-04-24,6.613333,6.613333,6.613333,6.613333,1.611900,0
1980-04-25,0.000000,7.040000,6.720000,6.720000,1.637899,100
1980-04-28,0.000000,7.040000,6.720000,6.720000,1.637899,800
1980-04-29,0.000000,6.933333,6.613333,6.613333,1.611900,1500
1980-04-30,0.000000,7.040000,6.720000,6.720000,1.637899,2300
1980-05-01,0.000000,7.253334,6.933333,6.933333,1.689896,1800
1980-05-02,0.000000,7.146667,6.826667,6.826667,1.663896,500
1980-05-05,0.000000,7.146667,6.826667,6.826667,1.663896,1800
1980-05-06,0.000000,7.146667,6.826667,6.826667,1.663896,2300
1980-05-07,0.000000,7.146667,6.826667,6.826667,1.663896,100
1980-05-08,0.000000,7.146667,6.826667,6.826667,1.663896,3000
1980-05-09,6.826667,6.826667,6.826667,6.826667,1.663896,0
1980-05-12,0.000000,7.146667,6.826667,6.826667,1.663896,1500
1980-05-13,6.826667,6.826667,6.826667,6.826667,1.663896,0
1980-05-14,0.000000,7.360000,7.040000,7.040000,1.715893,2700
1980-05-15,0.000000,7.360000,7.040000,7.040000,1.715893,1100
1980-05-16,0.000000,7.253334,6.933333,6.933333,1.689896,2300
1980-05-19,0.000000,7.360000,7.040000,7.040000,1.715893,1200
1980-05-20,0.000000,7.360000,7.040000,7.040000,1.715893,2200
1980-05-21,0.000000,7.360000,7.040000,7.040000,1.715893,3800
1980-05-22,0.000000,7.360000,7.040000,7.040000,1.715893,100
1980-05-23,0.000000,7.360000,7.040000,7.040000,1.715893,500
1980-05-27,0.000000,7.360000,7.040000,7.040000,1.715893,800
1980-05-28,0.000000,7.360000,7.040000,7.040000,1.715893,3700
1980-05-29,0.000000,7.360000,7.040000,7.040000,1.715893,1200
1980-05-30,0.000000,7.360000,7.040000,7.040000,1.715893,3300
1980-06-02,0.000000,7.360000,7.040000,7.040000,1.715893,3000
1980-06-03,0.000000,7.466667,7.146667,7.146667,1.741891,18300
1980-06-04,0.000000,7.573333,7.253334,7.253334,1.767890,1800
1980-06-05,0.000000,7.573333,7.253334,7.253334,1.767890,5200
1980-06-06,0.000000,7.573333,7.253334,7.253334,1.767890,500
1980-06-09,0.000000,7.786667,7.466667,7.466667,1.819887,5600
1980-06-10,0.000000,7.680000,7.360000,7.360000,1.793889,1100
1980-06-11,0.000000,7.680000,7.360000,7.360000,1.793889,7100
1980-06-12,0.000000,7.680000,7.360000,7.360000,1.793889,1500
1980-06-13,0.000000,7.573333,7.253334,7.253334,1.767890,1200
1980-06-16,0.000000,7.466667,7.146667,7.146667,1.741891,7800
1980-06-17,0.000000,7.466667,7.146667,7.146667,1.741891,2200
1980-06-18,0.000000,7.360000,7.040000,7.040000,1.715893,2000
1980-06-19,0.000000,7.466667,7.146667,7.146667,1.741891,4200
1980-06-20,0.000000,7.466667,7.146667,7.146667,1.741891,2000
1980-06-23,0.000000,7.466667,7.146667,7.146667,1.741891,241100
1980-06-24,0.000000,7.466667,7.146667,7.146667,1.741891,39500
1980-06-25,0.000000,7.466667,7.146667,7.146667,1.741891,18300
1980-06-26,0.000000,7.573333,7.253334,7.253334,1.767890,10500
1980-06-27,0.000000,7.466667,7.146667,7.146667,1.741891,2000
1980-06-30,7.146667,7.146667,7.146667,7.146667,1.741891,0
1980-07-01,7.146667,7.146667,7.146667,7.146667,1.741891,0
1980-07-02,0.000000,7.466667,7.146667,7.146667,1.741891,300
1980-07-03,0.000000,7.466667,7.146667,7.146667,1.741891,800
1980-07-07,0.000000,7.466667,7.253334,7.253334,1.767890,100
1980-07-08,0.000000,7.466667,7.360000,7.360000,1.793889,2200
1980-07-09,0.000000,7.466667,7.253334,7.253334,1.767890,2000
1980-07-10,0.000000,7.360000,7.253334,7.253334,1.767890,2000
1980-07-11,0.000000,7.360000,7.253334,7.253334,1.767890,2200
1980-07-14,0.000000,7.466667,7.360000,7.360000,1.793889,10500
1980-07-15,0.000000,7.466667,7.360000,7.360000,1.793889,3700
1980-07-16,0.000000,7.466667,7.360000,7.360000,1.793889,800
1980-07-17,0.000000,7.573333,7.466667,7.466667,1.819887,7800
1980-07-18,0.000000,7.573333,7.466667,7.466667,1.819887,6100
1980-07-21,0.000000,7.573333,7.466667,7.466667,1.819887,3300
1980-07-22,0.000000,7.893333,7.680000,7.680000,1.871884,13200
1980-07-23,0.000000,8.320000,8.213333,8.213333,2.001876,12700
1980-07-24,0.000000,8.533334,8.426666,8.426666,2.053872,41200
1980-07-25,0.000000,8.533334,8.426666,8.426666,2.053872,3800
1980-07-28,0.000000,8.640000,8.426666,8.426666,2.053872,19800
1980-07-29,0.000000,8.640000,8.533334,8.533334,2.079871,11200
1980-07-30,0.000000,8.640000,8.533334,8.533334,2.079871,4600
1980-07-31,0.000000,8.533334,8.320000,8.320000,2.027874,10600
1980-08-01,0.000000,8.533334,8.320000,8.320000,2.027874,1200
1980-08-04,0.000000,8.426666,8.213333,8.213333,2.001876,3700
1980-08-05,0.000000,8.320000,8.213333,8.213333,2.001876,3000
1980-08-06,0.000000,8.320000,8.213333,8.213333,2.001876,800
1980-08-07,0.000000,8.320000,8.213333,8.213333,2.001876,3800
1980-08-08,0.000000,8.320000,8.213333,8.213333,2.001876,5200
1980-08-11,0.000000,8.320000,8.213333,8.213333,2.001876,4200
1980-08-12,0.000000,8.320000,8.106667,8.106667,1.975877,1800
1980-08-13,0.000000,8.213333,8.106667,8.106667,1.975877,1200
1980-08-14,0.000000,8.213333,8.106667,8.106667,1.975877,800
1980-08-15,0.000000,8.213333,8.106667,8.106667,1.975877,7800
1980-08-18,0.000000,8.106667,8.000000,8.000000,1.949878,7600
1980-08-19,0.000000,8.106667,7.893333,7.893333,1.923880,9000
1980-08-20,0.000000,8.106667,7.893333,7.893333,1.923880,5000
1980-08-21,0.000000,8.106667,7.893333,7.893333,1.923880,12100
1980-08-22,0.000000,8.106667,7.893333,7.893333,1.923880,3800
1980-08-25,0.000000,8.106667,7.893333,7.893333,1.923880,1500
1980-08-26,0.000000,8.106667,7.893333,7.893333,1.923880,5000
1980-08-27,0.000000,8.106667,7.893333,7.893333,1.923880,5000
1980-08-28,0.000000,8.106667,7.893333,7.893333,1.923880,1800
1980-08-29,0.000000,8.106667,7.893333,7.893333,1.923880,5600
1980-09-02,7.893333,7.893333,7.893333,7.893333,1.923880,0
1980-09-03,0.000000,8.320000,8.106667,8.106667,1.975877,21800
1980-09-04,0.000000,8.533334,8.426666,8.426666,2.053872,28600
1980-09-05,0.000000,8.746667,8.640000,8.640000,2.105870,20200
1980-09-08,0.000000,8.746667,8.640000,8.640000,2.105870,7100
1980-09-09,0.000000,8.853333,8.746667,8.746667,2.131868,69700
1980-09-10,0.000000,8.960000,8.853333,8.853333,2.157866,25800
1980-09-11,0.000000,8.960000,8.853333,8.853333,2.157866,8700
1980-09-12,0.000000,8.960000,8.853333,8.853333,2.157866,5000
1980-09-15,0.000000,8.960000,8.853333,8.853333,2.157866,51500
1980-09-16,0.000000,9.173333,9.066667,9.066667,2.209864,17200
1980-09-17,0.000000,9.280000,9.173333,9.173333,2.235862,15000
1980-09-18,0.000000,9.493333,9.386666,9.386666,2.287857,20200
1980-09-19,0.000000,9.600000,9.493333,9.493333,2.313857,5600
1980-09-22,0.000000,9.600000,9.493333,9.493333,2.313857,6700
1980-09-23,0.000000,9.493333,9.280000,9.280000,2.261860,16200
1980-09-24,0.000000,9.386666,9.280000,9.280000,2.261860,15000
1980-09-25,0.000000,9.386666,9.173333,9.173333,2.235862,15500
1980-09-26,0.000000,9.173333,8.960000,8.960000,2.183863,18700
