Date,Open,High,Low,Close,Adj Close,Volume
1991-11-14,0.000000,3.750000,3.625000,3.625000,3.625000,220200
1991-11-15,3.750000,3.812500,3.750000,3.750000,3.750000,211400
1991-11-18,3.750000,3.750000,3.750000,3.750000,3.750000,136400
1991-11-19,3.750000,3.750000,3.750000,3.750000,3.750000,175200
1991-11-20,3.875000,3.875000,3.875000,3.875000,3.875000,127200
1991-11-21,4.000000,4.000000,4.000000,4.000000,4.000000,50200
1991-11-22,4.000000,4.000000,4.000000,4.000000,4.000000,92400
1991-11-25,4.000000,4.000000,4.000000,4.000000,4.000000,89000
1991-11-26,4.000000,4.000000,4.000000,4.000000,4.000000,28800
1991-11-27,4.000000,4.000000,4.000000,4.000000,4.000000,84200
1991-11-29,4.000000,4.000000,4.000000,4.000000,4.000000,18000
1991-12-02,4.000000,4.000000,4.000000,4.000000,4.000000,12000
1991-12-03,4.000000,4.000000,4.000000,4.000000,4.000000,132400
1991-12-04,4.125000,4.125000,4.125000,4.125000,4.125000,66000
1991-12-05,4.125000,4.125000,4.125000,4.125000,4.125000,48200
1991-12-06,4.125000,4.125000,4.125000,4.125000,4.125000,52000
1991-12-09,4.125000,4.125000,4.125000,4.125000,4.125000,5600
1991-12-10,4.250000,4.250000,4.250000,4.250000,4.250000,39000
1991-12-11,4.250000,4.250000,4.250000,4.250000,4.250000,107400
1991-12-12,4.250000,4.250000,4.250000,4.250000,4.250000,49600
1991-12-13,4.312500,4.312500,4.312500,4.312500,4.312500,57400
1991-12-16,4.312500,4.312500,4.312500,4.312500,4.312500,22400
1991-12-17,4.375000,4.375000,4.375000,4.375000,4.375000,62200
1991-12-18,4.625000,4.625000,4.625000,4.625000,4.625000,114000
1991-12-19,5.250000,5.250000,5.250000,5.250000,5.250000,253800
1991-12-20,6.125000,6.125000,6.125000,6.125000,6.125000,223800
1991-12-23,6.250000,6.250000,6.250000,6.250000,6.250000,71800
1991-12-24,7.500000,7.500000,7.500000,7.500000,7.500000,135200
1991-12-26,9.625000,9.625000,9.625000,9.625000,9.625000,294600
1991-12-27,7.250000,7.250000,7.250000,7.250000,7.250000,294200
1991-12-30,7.000000,7.000000,7.000000,7.000000,7.000000,97600
1991-12-31,7.000000,7.000000,7.000000,7.000000,7.000000,27800
1992-01-02,7.125000,7.125000,7.125000,7.125000,7.125000,28800
1992-01-03,7.500000,7.500000,7.500000,7.500000,7.500000,77800
1992-01-06,7.500000,7.500000,7.500000,7.500000,7.500000,80400
1992-01-07,7.375000,7.375000,7.375000,7.375000,7.375000,61800
1992-01-08,7.375000,7.375000,7.375000,7.375000,7.375000,18200
1992-01-09,7.375000,7.375000,7.375000,7.375000,7.375000,39600
1992-01-10,7.375000,7.375000,7.375000,7.375000,7.375000,20800
1992-01-13,7.375000,7.375000,7.375000,7.375000,7.375000,18400
1992-01-14,7.375000,7.375000,7.375000,7.375000,7.375000,24000
1992-01-15,7.375000,7.375000,7.375000,7.375000,7.375000,47200
1992-01-16,7.687500,7.687500,7.687500,7.687500,7.687500,97800
1992-01-17,7.875000,7.875000,7.875000,7.875000,7.875000,45600
1992-01-20,7.875000,7.875000,7.875000,7.875000,7.875000,6800
1992-01-21,8.625000,8.625000,8.625000,8.625000,8.625000,77600
1992-01-22,9.125000,9.125000,9.125000,9.125000,9.125000,81800
1992-01-23,9.125000,9.125000,9.125000,9.125000,9.125000,44400
1992-01-24,9.125000,9.125000,9.125000,9.125000,9.125000,46600
1992-01-27,9.125000,9.125000,9.125000,9.125000,9.125000,82200
1992-01-28,8.625000,8.625000,8.625000,8.625000,8.625000,42800
1992-01-29,8.750000,8.750000,8.750000,8.750000,8.750000,84400
1992-01-30,9.250000,9.250000,9.250000,9.250000,9.250000,50800
1992-01-31,9.250000,9.250000,9.250000,9.250000,9.250000,8600
1992-02-03,9.250000,9.250000,9.250000,9.250000,9.250000,15200
1992-02-04,9.250000,9.250000,9.250000,9.250000,9.250000,39200
1992-02-05,9.625000,9.625000,9.625000,9.625000,9.625000,69000
1992-02-06,10.250000,10.250000,10.250000,10.250000,10.250000,67600
1992-02-07,10.312500,10.312500,10.312500,10.312500,10.312500,43600
1992-02-10,10.312500,10.312500,10.312500,10.312500,10.312500,12200
1992-02-11,10.312500,10.312500,10.312500,10.312500,10.312500,26000
1992-02-12,10.312500,10.312500,10.312500,10.312500,10.312500,33400
1992-02-13,10.375000,10.375000,10.375000,10.375000,10.375000,43400
1992-02-14,10.500000,10.500000,10.500000,10.500000,10.500000,25600
1992-02-18,10.500000,10.500000,10.500000,10.500000,10.500000,57000
1992-02-19,10.625000,10.625000,10.625000,10.625000,10.625000,98800
1992-02-20,10.562500,10.562500,10.562500,10.562500,10.562500,42800
1992-02-21,10.562500,10.562500,10.562500,10.562500,10.562500,45800
1992-02-24,10.562500,10.562500,10.562500,10.562500,10.562500,45200
1992-02-25,11.000000,11.000000,11.000000,11.000000,11.000000,54600
1992-02-26,11.375000,11.375000,11.375000,11.375000,11.375000,96800
1992-02-27,11.750000,11.750000,11.750000,11.750000,11.750000,74600
1992-02-28,11.875000,11.875000,11.875000,11.875000,11.875000,43600
1992-03-02,12.500000,12.500000,12.375000,12.375000,12.375000,116400
1992-03-03,12.625000,13.250000,12.500000,13.250000,13.250000,185400
1992-03-04,13.250000,13.750000,13.000000,13.500000,13.500000,136000
1992-03-05,13.625000,13.625000,13.500000,13.500000,13.500000,64800
1992-03-06,13.625000,13.625000,13.500000,13.500000,13.500000,75400
1992-03-09,13.625000,14.125000,13.500000,13.937500,13.937500,104000
1992-03-10,14.000000,15.125000,13.875000,15.000000,15.000000,106000
1992-03-11,15.125000,15.125000,14.500000,14.875000,14.875000,89800
1992-03-12,14.625000,15.250000,14.500000,15.000000,15.000000,108800
1992-03-13,15.125000,15.125000,14.875000,15.125000,15.125000,21000
1992-03-16,15.125000,15.125000,14.875000,14.875000,14.875000,29200
1992-03-17,14.875000,15.125000,14.875000,14.875000,14.875000,31200
1992-03-18,15.125000,15.125000,14.875000,14.875000,14.875000,49600
1992-03-19,15.125000,15.125000,14.875000,15.125000,15.125000,15600
1992-03-20,14.875000,15.125000,14.875000,15.000000,15.000000,62400
1992-03-23,13.250000,13.625000,11.250000,12.250000,12.250000,407600
1992-03-24,12.000000,12.375000,12.000000,12.125000,12.125000,172800
1992-03-25,12.375000,12.812500,12.125000,12.500000,12.500000,54800
1992-03-26,12.750000,12.750000,12.375000,12.562500,12.562500,54600
1992-03-27,12.500000,13.000000,12.500000,12.687500,12.687500,88600
1992-03-30,12.937500,13.000000,12.562500,12.625000,12.625000,85200
1992-03-31,12.625000,12.812500,12.500000,12.625000,12.625000,83800
1992-04-01,12.625000,12.625000,9.250000,9.625000,9.625000,330200
1992-04-02,9.000000,9.500000,7.000000,8.875000,8.875000,642400
1992-04-03,8.937500,10.250000,8.875000,9.625000,9.625000,500200
1992-04-06,9.875000,9.875000,9.625000,9.625000,9.625000,103800
1992-04-07,9.687500,11.437500,9.625000,11.125000,11.125000,134200
1992-04-08,10.750000,11.125000,10.750000,10.875000,10.875000,90000
1992-04-09,11.125000,11.437500,10.750000,11.125000,11.125000,110800
1992-04-10,11.312500,11.375000,11.125000,11.125000,11.125000,51600
1992-04-13,11.375000,11.375000,11.125000,11.125000,11.125000,57800
1992-04-14,11.187500,11.375000,11.125000,11.187500,11.187500,55200
1992-04-15,11.250000,11.375000,11.250000,11.250000,11.250000,79600
1992-04-16,11.312500,11.312500,11.250000,11.250000,11.250000,55600
1992-04-20,11.312500,11.375000,11.125000,11.375000,11.375000,84600
1992-04-21,11.250000,11.750000,11.250000,11.250000,11.250000,71300
1992-04-22,11.500000,11.625000,11.250000,11.250000,11.250000,53200
1992-04-23,11.250000,11.500000,11.250000,11.250000,11.250000,41900
1992-04-24,11.375000,11.500000,11.250000,11.500000,11.500000,39500
1992-04-27,11.375000,11.500000,11.250000,11.375000,11.375000,36700
1992-04-28,11.375000,11.500000,11.250000,11.250000,11.250000,19800
1992-04-29,11.250000,11.500000,11.250000,11.375000,11.375000,61200
1992-04-30,11.500000,11.500000,11.250000,11.250000,11.250000,34500
1992-05-01,11.500000,13.000000,11.375000,13.000000,13.000000,205100
1992-05-04,13.000000,14.000000,12.750000,13.625000,13.625000,75700
1992-05-05,14.000000,15.500000,13.750000,15.000000,15.000000,189400
1992-05-06,15.500000,15.500000,15.000000,15.250000,15.250000,88900
1992-05-07,15.250000,16.500000,15.000000,16.000000,16.000000,233600
1992-05-08,16.250000,16.250000,16.000000,16.000000,16.000000,42200
1992-05-11,16.250000,16.500000,15.500000,16.500000,16.500000,209200
1992-05-12,16.500000,16.500000,15.875000,16.125000,16.125000,94700
1992-05-13,16.000000,16.250000,14.000000,14.750000,14.750000,40500
1992-05-14,14.000000,15.500000,14.000000,15.500000,15.500000,189200
1992-05-15,15.500000,17.500000,15.500000,17.250000,17.250000,203700
1992-05-18,17.375000,19.000000,17.250000,18.000000,18.000000,393800
1992-05-19,18.250000,18.250000,18.000000,18.250000,18.250000,179300
1992-05-20,18.250000,18.375000,18.000000,18.000000,18.000000,116600
1992-05-21,18.125000,18.375000,18.000000,18.125000,18.125000,65800
1992-05-22,18.000000,18.250000,18.000000,18.125000,18.125000,95100
1992-05-26,18.125000,18.125000,18.000000,18.000000,18.000000,71500
1992-05-27,18.125000,18.125000,11.000000,12.500000,12.500000,255000
1992-05-28,14.250000,15.000000,12.000000,13.500000,13.500000,332200
1992-05-29,13.625000,13.750000,13.375000,13.625000,13.625000,63100
1992-06-01,13.625000,13.625000,10.750000,11.750000,11.750000,270400
1992-06-02,11.875000,12.750000,11.500000,11.750000,11.750000,60600
1992-06-03,11.750000,12.000000,11.750000,11.750000,11.750000,24300
1992-06-04,11.750000,12.750000,10.250000,12.000000,12.000000,103600
1992-06-05,12.375000,12.500000,11.750000,12.000000,12.000000,100600
1992-06-08,12.000000,12.125000,12.000000,12.125000,12.125000,36900
1992-06-09,12.125000,12.125000,11.125000,11.500000,11.500000,116700
1992-06-10,11.375000,11.375000,10.250000,10.500000,10.500000,102600
1992-06-11,10.000000,10.500000,8.625000,9.750000,9.750000,169600
1992-06-12,9.750000,10.000000,7.750000,8.500000,8.500000,152100
1992-06-15,8.750000,9.250000,8.375000,8.750000,8.750000,79300
1992-06-16,9.500000,9.500000,8.625000,8.625000,8.625000,27100
1992-06-17,8.625000,8.625000,7.750000,8.000000,8.000000,138500
1992-06-18,7.875000,8.375000,7.875000,8.250000,8.250000,46900
1992-06-19,8.375000,8.375000,8.000000,8.250000,8.250000,51200
1992-06-22,8.000000,8.000000,8.000000,8.000000,8.000000,6200
1992-06-23,7.750000,8.250000,7.000000,7.500000,7.500000,38400
1992-06-24,8.125000,8.250000,7.875000,7.875000,7.875000,19800
1992-06-25,8.000000,8.125000,7.750000,8.000000,8.000000,77000
1992-06-26,8.250000,8.250000,8.000000,8.250000,8.250000,25300
