Date,Open,High,Low,Close,Adj Close,Volume
2020-01-06,13.030000,13.030000,12.470000,12.530000,12.530000,145500
2020-01-07,12.490000,13.130000,12.350000,13.110000,13.110000,253100
2020-01-08,13.100000,13.100000,12.620000,12.910000,12.910000,217400
2020-01-09,12.950000,13.340000,12.910000,13.170000,13.170000,159000
2020-01-10,13.120000,13.380000,12.990000,13.370000,13.370000,213400
2020-01-13,13.350000,13.350000,13.100000,13.290000,13.290000,100800
2020-01-14,13.270000,13.710000,13.190000,13.660000,13.660000,217000
2020-01-15,13.660000,14.160000,13.660000,13.970000,13.970000,185100
2020-01-16,14.040000,14.420000,14.040000,14.130000,14.130000,92800
2020-01-17,14.110000,14.260000,13.780000,14.020000,14.020000,133400
2020-01-21,13.910000,13.920000,13.390000,13.640000,13.640000,133700
2020-01-22,13.720000,13.810000,13.110000,13.190000,13.190000,171800
2020-01-23,13.070000,13.090000,12.560000,12.910000,12.910000,264900
2020-01-24,13.790000,15.290000,13.450000,13.680000,13.680000,436500
2020-01-27,14.090000,14.120000,13.730000,13.800000,13.800000,236100
2020-01-28,13.910000,13.950000,13.700000,13.850000,13.850000,417900
2020-01-29,13.900000,14.080000,13.750000,13.810000,13.810000,337500
2020-01-30,13.580000,13.750000,13.380000,13.690000,13.690000,170800
2020-01-31,13.610000,13.800000,12.590000,12.690000,12.690000,324900
2020-02-03,12.800000,12.810000,11.970000,12.300000,12.300000,189400
2020-02-04,12.500000,12.670000,12.170000,12.170000,12.170000,161000
2020-02-05,12.320000,12.950000,12.320000,12.820000,12.820000,95200
2020-02-06,12.890000,13.110000,12.760000,12.990000,12.990000,110100
2020-02-07,12.910000,13.070000,12.860000,12.990000,12.990000,159900
2020-02-10,12.950000,13.080000,12.510000,12.650000,12.650000,77600
2020-02-11,12.950000,13.730000,12.950000,13.350000,13.350000,209000
2020-02-12,13.430000,13.700000,13.190000,13.650000,13.650000,144600
2020-02-13,13.500000,13.920000,13.500000,13.810000,13.810000,131200
2020-02-14,13.760000,13.820000,13.500000,13.580000,13.580000,162200
2020-02-18,13.540000,13.930000,13.420000,13.930000,13.930000,144700
2020-02-19,13.930000,14.700000,13.900000,14.580000,14.580000,211400
2020-02-20,14.550000,15.550000,14.530000,15.510000,15.510000,184900
2020-02-21,15.440000,15.900000,15.160000,15.750000,15.750000,151300
2020-02-24,15.220000,15.500000,14.940000,14.970000,14.970000,191200
2020-02-25,14.970000,14.980000,13.640000,13.780000,13.780000,223300
2020-02-26,13.860000,13.920000,12.890000,13.030000,13.030000,186200
2020-02-27,12.650000,12.950000,12.100000,12.110000,12.110000,303600
2020-02-28,11.600000,12.190000,11.540000,12.100000,12.100000,225700
2020-03-02,12.150000,12.150000,11.390000,12.040000,12.040000,183900
2020-03-03,12.040000,12.450000,11.800000,12.340000,12.340000,182100
2020-03-04,12.730000,13.200000,12.480000,13.190000,13.190000,154600
2020-03-05,12.600000,13.010000,12.600000,12.650000,12.650000,146000
2020-03-06,12.060000,12.380000,11.720000,12.000000,12.000000,248400
2020-03-09,11.210000,11.290000,10.370000,10.500000,10.500000,230900
2020-03-10,11.070000,11.790000,10.780000,11.690000,11.690000,209200
2020-03-11,11.270000,11.340000,10.910000,11.140000,11.140000,169200
2020-03-12,10.100000,10.630000,9.850000,9.930000,9.930000,171900
