Date,Open,High,Low,Close,Adj Close,Volume
1986-10-29,2.729004,2.768555,2.729004,2.729004,0.871697,371400
1986-10-30,2.729004,2.768555,2.729004,2.729004,0.871697,183400
1986-10-31,2.729004,2.768555,2.729004,2.729004,0.871697,115800
1986-11-03,2.729004,2.768555,2.729004,2.729004,0.871697,45400
1986-11-04,2.729004,2.729004,2.649902,2.649902,0.846431,118400
1986-11-05,2.610352,2.610352,2.531250,2.531250,0.808531,89000
1986-11-06,2.491699,2.491699,2.412598,2.412598,0.770631,40800
1986-11-07,2.412598,2.452148,2.373047,2.373047,0.757998,60800
1986-11-10,2.373047,2.412598,2.333496,2.333496,0.745364,60000
1986-11-11,2.333496,2.333496,2.254395,2.254395,0.720098,40000
1986-11-12,2.254395,2.293945,2.175293,2.175293,0.694831,37000
1986-11-13,2.214844,2.333496,2.214844,2.214844,0.707464,23000
1986-11-14,2.214844,2.293945,2.214844,2.214844,0.707464,11400
1986-11-17,2.214844,2.254395,2.175293,2.175293,0.694831,16200
1986-11-18,2.175293,2.214844,2.096191,2.096191,0.669564,81700
1986-11-19,2.096191,2.135742,2.056641,2.056641,0.656931,32200
1986-11-20,2.056641,2.135742,2.056641,2.056641,0.656931,12800
1986-11-21,2.096191,2.175293,2.096191,2.096191,0.669564,104600
1986-11-24,2.096191,2.175293,2.096191,2.096191,0.669564,25800
1986-11-25,2.096191,2.175293,2.096191,2.096191,0.669564,9800
1986-11-26,2.135742,2.214844,2.135742,2.135742,0.682198,13000
1986-11-28,2.135742,2.214844,2.135742,2.135742,0.682198,8800
1986-12-01,2.135742,2.175293,2.056641,2.056641,0.656931,12200
1986-12-02,2.056641,2.175293,2.056641,2.056641,0.656931,3700
1986-12-03,2.056641,2.175293,2.056641,2.056641,0.656931,200
1986-12-04,2.096191,2.175293,2.096191,2.096191,0.669564,8000
1986-12-05,2.096191,2.175293,2.096191,2.096191,0.669564,800
1986-12-08,2.135742,2.175293,2.135742,2.135742,0.682198,18400
1986-12-09,2.135742,2.175293,2.056641,2.056641,0.656931,48500
1986-12-10,2.056641,2.096191,2.056641,2.056641,0.656931,16000
1986-12-11,2.056641,2.096191,2.056641,2.056641,0.656931,1000
1986-12-12,2.056641,2.056641,1.977539,1.977539,0.631665,21300
1986-12-15,1.977539,2.056641,1.937988,1.937988,0.619031,2900
1986-12-16,1.937988,2.017090,1.898438,1.898438,0.606398,11400
1986-12-17,1.898438,2.017090,1.898438,1.898438,0.606398,800
1986-12-18,1.937988,2.017090,1.937988,1.937988,0.619031,2900
1986-12-19,1.937988,1.977539,1.937988,1.937988,0.619031,28800
1986-12-22,1.937988,2.017090,1.937988,1.937988,0.619031,12400
1986-12-23,1.937988,2.056641,1.937988,1.937988,0.619031,40600
1986-12-24,1.937988,1.977539,1.937988,1.937988,0.619031,39000
1986-12-26,1.937988,2.096191,1.937988,1.937988,0.619031,64000
