Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.000000,0.395062,0.395062,0.395062,0.395062,15000
1973-02-22,0.000000,0.370370,0.370370,0.370370,0.370370,9000
1973-02-23,0.000000,0.345679,0.345679,0.345679,0.345679,2800
1973-02-26,0.000000,0.345679,0.345679,0.345679,0.345679,1300
1973-02-27,0.000000,0.345679,0.345679,0.345679,0.345679,29700
1973-02-28,0.000000,0.345679,0.345679,0.345679,0.345679,1300
1973-03-01,0.000000,0.320988,0.320988,0.320988,0.320988,18100
1973-03-02,0.000000,0.320988,0.320988,0.320988,0.320988,20200
1973-03-05,0.000000,0.345679,0.345679,0.345679,0.345679,6000
1973-03-06,0.000000,0.320988,0.320988,0.320988,0.320988,1300
1973-03-07,0.000000,0.345679,0.345679,0.345679,0.345679,8100
1973-03-08,0.000000,0.320988,0.320988,0.320988,0.320988,6900
1973-03-09,0.000000,0.320988,0.320988,0.320988,0.320988,10000
1973-03-12,0.000000,0.370370,0.370370,0.370370,0.370370,20200
1973-03-13,0.000000,0.370370,0.370370,0.370370,0.370370,15000
1973-03-14,0.000000,0.345679,0.345679,0.345679,0.345679,5400
1973-03-15,0.000000,0.320988,0.320988,0.320988,0.320988,2800
1973-03-16,0.320988,0.320988,0.320988,0.320988,0.320988,0
1973-03-19,0.000000,0.320988,0.320988,0.320988,0.320988,6900
1973-03-20,0.000000,0.320988,0.320988,0.320988,0.320988,1300
1973-03-21,0.000000,0.320988,0.320988,0.320988,0.320988,1300
1973-03-22,0.000000,0.296296,0.296296,0.296296,0.296296,6900
1973-03-23,0.000000,0.296296,0.296296,0.296296,0.296296,3300
1973-03-26,0.000000,0.222222,0.222222,0.222222,0.222222,18100
1973-03-27,0.000000,0.246914,0.246914,0.246914,0.246914,64000
1973-03-28,0.000000,0.271605,0.271605,0.271605,0.271605,68100
1973-03-29,0.000000,0.320988,0.320988,0.320988,0.320988,28300
1973-03-30,0.000000,0.296296,0.296296,0.296296,0.296296,11400
1973-04-02,0.000000,0.296296,0.296296,0.296296,0.296296,4000
1973-04-03,0.000000,0.271605,0.271605,0.271605,0.271605,3300
1973-04-04,0.271605,0.271605,0.271605,0.271605,0.271605,0
1973-04-05,0.000000,0.271605,0.271605,0.271605,0.271605,4000
1973-04-06,0.000000,0.271605,0.271605,0.271605,0.271605,4000
1973-04-09,0.000000,0.271605,0.271605,0.271605,0.271605,900
1973-04-10,0.000000,0.345679,0.345679,0.345679,0.345679,50800
1973-04-11,0.000000,0.345679,0.345679,0.345679,0.345679,1900
1973-04-12,0.000000,0.296296,0.296296,0.296296,0.296296,4000
1973-04-13,0.000000,0.296296,0.296296,0.296296,0.296296,3300
1973-04-16,0.000000,0.320988,0.320988,0.320988,0.320988,10000
1973-04-17,0.320988,0.320988,0.320988,0.320988,0.320988,0
1973-04-18,0.320988,0.320988,0.320988,0.320988,0.320988,0
1973-04-19,0.000000,0.296296,0.296296,0.296296,0.296296,1300
1973-04-23,0.000000,0.271605,0.271605,0.271605,0.271605,9000
1973-04-24,0.000000,0.271605,0.271605,0.271605,0.271605,9400
1973-04-25,0.000000,0.246914,0.246914,0.246914,0.246914,5400
1973-04-26,0.000000,0.271605,0.271605,0.271605,0.271605,900
1973-04-27,0.000000,0.271605,0.271605,0.271605,0.271605,10000
1973-04-30,0.000000,0.271605,0.271605,0.271605,0.271605,4900
1973-05-01,0.000000,0.271605,0.271605,0.271605,0.271605,5400
1973-05-02,0.000000,0.246914,0.246914,0.246914,0.246914,2800
1973-05-03,0.000000,0.271605,0.271605,0.271605,0.271605,900
1973-05-04,0.000000,0.271605,0.271605,0.271605,0.271605,4900
1973-05-07,0.000000,0.271605,0.246914,0.246914,0.246914,6000
1973-05-08,0.000000,0.271605,0.246914,0.271605,0.271605,6900
1973-05-09,0.000000,0.271605,0.246914,0.271605,0.271605,4000
1973-05-10,0.000000,0.271605,0.271605,0.271605,0.271605,1900
1973-05-11,0.000000,0.271605,0.271605,0.271605,0.271605,1900
1973-05-14,0.000000,0.246914,0.246914,0.246914,0.246914,3300
1973-05-15,0.246914,0.246914,0.246914,0.246914,0.246914,0
1973-05-16,0.000000,0.246914,0.246914,0.246914,0.246914,1300
1973-05-17,0.000000,0.271605,0.246914,0.246914,0.246914,4000
1973-05-18,0.000000,0.271605,0.246914,0.246914,0.246914,6000
1973-05-21,0.000000,0.246914,0.222222,0.222222,0.222222,13500
1973-05-22,0.000000,0.222222,0.222222,0.222222,0.222222,10000
1973-05-23,0.000000,0.246914,0.222222,0.222222,0.222222,8100
1973-05-24,0.000000,0.246914,0.222222,0.246914,0.246914,1900
1973-05-25,0.000000,0.246914,0.222222,0.246914,0.246914,21100
1973-05-29,0.000000,0.246914,0.246914,0.246914,0.246914,10000
1973-05-30,0.000000,0.222222,0.222222,0.222222,0.222222,1900
1973-05-31,0.000000,0.246914,0.222222,0.222222,0.222222,2800
1973-06-01,0.000000,0.222222,0.197531,0.197531,0.197531,11400
1973-06-04,0.000000,0.197531,0.172840,0.197531,0.197531,52800
1973-06-05,0.000000,0.271605,0.172840,0.246914,0.246914,20200
1973-06-06,0.000000,0.246914,0.222222,0.222222,0.222222,8100
1973-06-07,0.000000,0.271605,0.222222,0.271605,0.271605,21600
1973-06-08,0.000000,0.271605,0.271605,0.271605,0.271605,1900
1973-06-11,0.000000,0.296296,0.271605,0.296296,0.296296,1900
1973-06-12,0.000000,0.296296,0.296296,0.296296,0.296296,1300
1973-06-13,0.296296,0.296296,0.296296,0.296296,0.296296,0
1973-06-14,0.000000,0.271605,0.271605,0.271605,0.271605,9400
1973-06-15,0.000000,0.271605,0.246914,0.271605,0.271605,4900
1973-06-18,0.271605,0.271605,0.271605,0.271605,0.271605,0
1973-06-19,0.000000,0.271605,0.271605,0.271605,0.271605,2800
1973-06-20,0.000000,0.271605,0.271605,0.271605,0.271605,900
1973-06-21,0.000000,0.246914,0.246914,0.246914,0.246914,2800
1973-06-22,0.246914,0.246914,0.246914,0.246914,0.246914,0
1973-06-25,0.000000,0.271605,0.271605,0.271605,0.271605,900
1973-06-26,0.271605,0.271605,0.271605,0.271605,0.271605,0
1973-06-27,0.000000,0.271605,0.246914,0.271605,0.271605,3300
1973-06-28,0.000000,0.271605,0.246914,0.271605,0.271605,1900
1973-06-29,0.000000,0.271605,0.271605,0.271605,0.271605,3300
1973-07-02,0.271605,0.271605,0.271605,0.271605,0.271605,0
1973-07-03,0.000000,0.246914,0.246914,0.246914,0.246914,6900
1973-07-05,0.000000,0.246914,0.246914,0.246914,0.246914,900
1973-07-06,0.000000,0.246914,0.246914,0.246914,0.246914,4900
1973-07-09,0.000000,0.246914,0.246914,0.246914,0.246914,1900
1973-07-10,0.000000,0.246914,0.246914,0.246914,0.246914,900
1973-07-11,0.000000,0.246914,0.222222,0.246914,0.246914,14100
1973-07-12,0.000000,0.246914,0.246914,0.246914,0.246914,900
1973-07-13,0.000000,0.246914,0.222222,0.222222,0.222222,1900
1973-07-16,0.000000,0.222222,0.222222,0.222222,0.222222,1900
1973-07-17,0.000000,0.246914,0.222222,0.246914,0.246914,4000
1973-07-18,0.246914,0.246914,0.246914,0.246914,0.246914,0
1973-07-19,0.000000,0.222222,0.222222,0.222222,0.222222,900
1973-07-20,0.000000,0.222222,0.222222,0.222222,0.222222,900
1973-07-23,0.000000,0.222222,0.222222,0.222222,0.222222,1300
1973-07-24,0.000000,0.271605,0.246914,0.271605,0.271605,11400
1973-07-25,0.271605,0.271605,0.271605,0.271605,0.271605,0
1973-07-26,0.000000,0.271605,0.271605,0.271605,0.271605,2800
1973-07-27,0.000000,0.271605,0.246914,0.271605,0.271605,900
1973-07-30,0.000000,0.246914,0.246914,0.246914,0.246914,2800
1973-07-31,0.000000,0.246914,0.222222,0.246914,0.246914,4000
1973-08-01,0.000000,0.246914,0.246914,0.246914,0.246914,4900
1973-08-02,0.000000,0.246914,0.222222,0.222222,0.222222,1300
1973-08-03,0.000000,0.246914,0.246914,0.246914,0.246914,1900
1973-08-06,0.000000,0.246914,0.246914,0.246914,0.246914,900
1973-08-07,0.000000,0.222222,0.222222,0.222222,0.222222,2800
1973-08-08,0.000000,0.246914,0.246914,0.246914,0.246914,15000
1973-08-09,0.000000,0.271605,0.222222,0.271605,0.271605,11400
1973-08-10,0.000000,0.246914,0.222222,0.222222,0.222222,9400
1973-08-13,0.000000,0.246914,0.222222,0.222222,0.222222,1300
1973-08-14,0.000000,0.246914,0.222222,0.246914,0.246914,1300
1973-08-15,0.000000,0.271605,0.246914,0.246914,0.246914,6000
1973-08-16,0.000000,0.246914,0.246914,0.246914,0.246914,1300
1973-08-17,0.000000,0.246914,0.222222,0.222222,0.222222,1900
1973-08-20,0.222222,0.222222,0.222222,0.222222,0.222222,0
1973-08-21,0.000000,0.246914,0.222222,0.246914,0.246914,10900
1973-08-22,0.246914,0.246914,0.246914,0.246914,0.246914,0
1973-08-23,0.246914,0.246914,0.246914,0.246914,0.246914,0
1973-08-24,0.246914,0.246914,0.246914,0.246914,0.246914,0
1973-08-27,0.000000,0.246914,0.222222,0.222222,0.222222,1900
1973-08-28,0.000000,0.222222,0.222222,0.222222,0.222222,900
1973-08-29,0.000000,0.246914,0.222222,0.246914,0.246914,1300
1973-08-30,0.000000,0.222222,0.222222,0.222222,0.222222,1900
1973-08-31,0.000000,0.222222,0.222222,0.222222,0.222222,4000
1973-09-04,0.000000,0.296296,0.222222,0.296296,0.296296,17500
1973-09-05,0.000000,0.320988,0.271605,0.271605,0.271605,28300
1973-09-06,0.000000,0.271605,0.271605,0.271605,0.271605,4000
1973-09-07,0.000000,0.296296,0.296296,0.296296,0.296296,4000
1973-09-10,0.000000,0.296296,0.271605,0.271605,0.271605,4900
1973-09-11,0.271605,0.271605,0.271605,0.271605,0.271605,0
1973-09-12,0.000000,0.271605,0.271605,0.271605,0.271605,1900
1973-09-13,0.000000,0.296296,0.271605,0.296296,0.296296,13000
1973-09-14,0.000000,0.296296,0.296296,0.296296,0.296296,6000
1973-09-17,0.000000,0.320988,0.296296,0.296296,0.296296,4900
