Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,1.468750,1.562500,1.468750,1.468750,0.124917,48800
1980-03-18,1.500000,1.593750,1.500000,1.500000,0.127575,15200
1980-03-19,1.562500,1.656250,1.562500,1.562500,0.132891,8000
1980-03-20,1.562500,1.656250,1.562500,1.562500,0.132891,11200
1980-03-21,1.562500,1.656250,1.562500,1.562500,0.132891,3200
1980-03-24,1.562500,1.562500,1.468750,1.468750,0.124917,13600
1980-03-25,1.468750,1.562500,1.468750,1.468750,0.124917,5600
1980-03-26,1.593750,1.687500,1.593750,1.593750,0.135549,8000
1980-03-27,1.531250,1.531250,1.437500,1.437500,0.122260,16800
1980-03-28,1.531250,1.625000,1.531250,1.531250,0.130233,14400
1980-03-31,1.593750,1.687500,1.593750,1.593750,0.135549,20000
1980-04-01,1.593750,1.687500,1.593750,1.593750,0.135549,7200
1980-04-02,1.593750,1.656250,1.562500,1.562500,0.132891,8800
1980-04-03,1.562500,1.656250,1.562500,1.562500,0.132891,11200
1980-04-07,1.562500,1.656250,1.562500,1.562500,0.132891,4000
1980-04-08,1.562500,1.656250,1.562500,1.562500,0.132891,9600
1980-04-09,1.562500,1.656250,1.562500,1.562500,0.132891,9600
1980-04-10,1.593750,1.687500,1.593750,1.593750,0.135549,16800
1980-04-11,1.593750,1.687500,1.593750,1.593750,0.135549,12800
1980-04-14,1.593750,1.687500,1.593750,1.593750,0.135549,1600
1980-04-15,1.593750,1.687500,1.593750,1.593750,0.135549,2400
1980-04-16,1.593750,1.656250,1.562500,1.562500,0.132891,9600
1980-04-17,1.562500,1.656250,1.562500,1.562500,0.132891,7200
1980-04-18,1.562500,1.656250,1.562500,1.562500,0.132891,10400
1980-04-21,1.562500,1.656250,1.562500,1.562500,0.132891,18400
1980-04-22,1.562500,1.656250,1.562500,1.562500,0.132891,10400
1980-04-23,1.562500,1.656250,1.562500,1.562500,0.132891,19200
1980-04-24,1.562500,1.656250,1.562500,1.562500,0.132891,8800
1980-04-25,1.562500,1.625000,1.531250,1.531250,0.130233,8000
1980-04-28,1.562500,1.656250,1.562500,1.562500,0.132891,1600
1980-04-29,1.593750,1.687500,1.593750,1.593750,0.135549,7200
1980-04-30,1.593750,1.656250,1.562500,1.562500,0.132891,1600
1980-05-01,1.562500,1.656250,1.562500,1.562500,0.132891,24800
1980-05-02,1.562500,1.656250,1.562500,1.562500,0.132891,2400
1980-05-05,1.562500,1.656250,1.562500,1.562500,0.132891,4000
1980-05-06,1.562500,1.656250,1.562500,1.562500,0.132891,7200
1980-05-07,1.562500,1.656250,1.562500,1.562500,0.132891,18400
1980-05-08,1.593750,1.687500,1.593750,1.593750,0.135549,14400
1980-05-09,1.593750,1.687500,1.593750,1.593750,0.135549,16800
1980-05-12,1.593750,1.625000,1.531250,1.531250,0.130233,19200
1980-05-13,1.562500,1.656250,1.562500,1.562500,0.132891,20800
1980-05-14,1.593750,1.687500,1.593750,1.593750,0.135549,32000
1980-05-15,1.593750,1.687500,1.593750,1.593750,0.135549,17600
1980-05-16,1.593750,1.656250,1.562500,1.562500,0.132891,30400
1980-05-19,1.562500,1.656250,1.562500,1.562500,0.132891,10400
1980-05-20,1.593750,1.687500,1.593750,1.593750,0.135549,4000
1980-05-21,1.593750,1.687500,1.593750,1.593750,0.135549,10400
1980-05-22,1.593750,1.687500,1.593750,1.593750,0.135549,12000
1980-05-23,1.593750,1.687500,1.593750,1.593750,0.135549,3200
1980-05-27,1.593750,1.687500,1.593750,1.593750,0.135549,12000
1980-05-28,1.875000,1.968750,1.875000,1.875000,0.159469,47200
1980-05-29,1.843750,1.843750,1.750000,1.750000,0.148838,38400
1980-05-30,1.750000,1.843750,1.750000,1.750000,0.148838,28000
1980-06-02,1.750000,1.812500,1.718750,1.718750,0.146180,36000
1980-06-03,1.750000,1.843750,1.750000,1.750000,0.148838,39200
1980-06-04,1.625000,1.625000,1.531250,1.531250,0.130233,48800
1980-06-05,1.531250,1.625000,1.531250,1.531250,0.130233,10400
1980-06-06,1.562500,1.656250,1.562500,1.562500,0.132891,12000
1980-06-09,1.593750,1.687500,1.593750,1.593750,0.135549,17600
1980-06-10,1.625000,1.718750,1.625000,1.625000,0.138206,5600
1980-06-11,1.625000,1.718750,1.625000,1.625000,0.138206,6400
1980-06-12,1.656250,1.750000,1.656250,1.656250,0.140864,8000
1980-06-13,1.687500,1.781250,1.687500,1.687500,0.143522,19200
1980-06-16,1.687500,1.781250,1.687500,1.687500,0.143522,2400
1980-06-17,1.687500,1.750000,1.656250,1.656250,0.140864,16000
1980-06-18,1.656250,1.750000,1.656250,1.656250,0.140864,7200
1980-06-19,1.656250,1.750000,1.656250,1.656250,0.140864,2400
