Date,Open,High,Low,Close,Adj Close,Volume
1983-04-12,2.275556,2.417778,2.275556,2.275556,0.582256,14600
1983-04-13,2.275556,2.417778,2.275556,2.275556,0.582256,14000
1983-04-14,2.275556,2.417778,2.275556,2.275556,0.582256,51100
1983-04-15,2.275556,2.417778,2.204444,2.204444,0.564060,52600
1983-04-18,2.204444,2.311111,2.062222,2.062222,0.527669,30800
1983-04-19,2.133333,2.311111,2.133333,2.133333,0.545865,8300
1983-04-20,2.168889,2.311111,2.168889,2.168889,0.554962,4800
1983-04-21,2.168889,2.311111,2.168889,2.168889,0.554962,9700
1983-04-22,2.168889,2.311111,2.168889,2.168889,0.554962,18100
1983-04-25,2.168889,2.311111,2.133333,2.133333,0.545865,1200
1983-04-26,2.133333,2.311111,2.133333,2.133333,0.545865,4100
1983-04-27,2.133333,2.275556,2.133333,2.133333,0.545865,9000
1983-04-28,2.133333,2.275556,2.133333,2.133333,0.545865,11200
1983-04-29,2.133333,2.275556,2.133333,2.133333,0.545865,12500
1983-05-02,2.133333,2.275556,2.133333,2.133333,0.545865,5600
1983-05-03,2.168889,2.275556,2.168889,2.168889,0.554962,9700
1983-05-04,2.168889,2.275556,2.168889,2.168889,0.554962,1200
1983-05-05,2.168889,2.275556,2.168889,2.168889,0.554962,4800
1983-05-06,2.168889,2.275556,2.168889,2.168889,0.554962,8300
1983-05-09,2.168889,2.275556,2.133333,2.133333,0.545865,39300
1983-05-10,2.346667,2.560000,2.346667,2.346667,0.600451,42100
1983-05-11,2.488889,2.631111,2.488889,2.488889,0.636842,24500
1983-05-12,2.471111,2.471111,2.417778,2.417778,0.618646,28600
1983-05-13,2.453333,2.524444,2.453333,2.453333,0.627744,9000
1983-05-16,2.453333,2.453333,2.311111,2.311111,0.591353,20200
1983-05-17,2.311111,2.417778,2.311111,2.311111,0.591353,4100
1983-05-18,2.311111,2.417778,2.311111,2.311111,0.591353,8300
1983-05-19,2.311111,2.417778,2.311111,2.311111,0.591353,8300
1983-05-20,2.311111,2.417778,2.311111,2.311111,0.591353,13200
1983-05-23,2.311111,2.382222,2.275556,2.275556,0.582256,1200
1983-05-24,2.275556,2.382222,2.240000,2.240000,0.573158,7600
1983-05-25,2.240000,2.346667,2.240000,2.240000,0.573158,15300
1983-05-26,2.240000,2.311111,2.204444,2.204444,0.564060,14600
1983-05-27,2.204444,2.275556,2.168889,2.168889,0.554962,2000
1983-05-31,2.168889,2.275556,2.133333,2.133333,0.545865,6800
1983-06-01,2.133333,2.240000,2.133333,2.133333,0.545865,14000
1983-06-02,2.133333,2.204444,2.133333,2.133333,0.545865,23000
1983-06-03,2.168889,2.275556,2.168889,2.168889,0.554962,30800
1983-06-06,2.240000,2.311111,2.240000,2.240000,0.573158,3300
1983-06-07,2.240000,2.293333,2.240000,2.240000,0.573158,10500
1983-06-08,2.275556,2.328889,2.275556,2.275556,0.582256,4800
1983-06-09,2.275556,2.275556,2.275556,2.275556,0.582256,0
1983-06-10,2.275556,2.311111,2.257778,2.257778,0.577707,6800
1983-06-13,2.257778,2.311111,2.240000,2.240000,0.573158,7600
1983-06-14,2.240000,2.240000,2.240000,2.240000,0.573158,0
1983-06-15,2.240000,2.240000,2.240000,2.240000,0.573158,0
1983-06-16,2.240000,2.240000,2.240000,2.240000,0.573158,0
1983-06-17,2.240000,2.275556,2.240000,2.240000,0.573158,23700
1983-06-20,2.257778,2.311111,2.257778,2.257778,0.577707,6800
1983-06-21,2.328889,2.382222,2.328889,2.328889,0.595902,94100
1983-06-22,2.346667,2.400000,2.346667,2.346667,0.600451,96800
1983-06-23,2.346667,2.382222,2.346667,2.346667,0.600451,47700
1983-06-24,2.346667,2.382222,2.346667,2.346667,0.600451,34200
1983-06-27,2.346667,2.382222,2.346667,2.346667,0.600451,5600
1983-06-28,2.346667,2.382222,2.346667,2.346667,0.600451,9000
1983-06-29,2.346667,2.346667,2.293333,2.293333,0.586804,47700
1983-06-30,2.293333,2.346667,2.293333,2.293333,0.586804,2700
1983-07-01,2.293333,2.364444,2.293333,2.293333,0.586804,10500
1983-07-05,2.293333,2.293333,2.293333,2.293333,0.586804,0
1983-07-06,2.293333,2.364444,2.293333,2.293333,0.586804,7600
1983-07-07,2.311111,2.382222,2.311111,2.311111,0.591353,21000
1983-07-08,2.346667,2.400000,2.346667,2.346667,0.600451,7600
1983-07-11,2.346667,2.346667,2.346667,2.346667,0.600451,0
1983-07-12,2.364444,2.435555,2.364444,2.364444,0.605000,2000
1983-07-13,2.364444,2.364444,2.364444,2.364444,0.605000,0
1983-07-14,2.382222,2.453333,2.382222,2.382222,0.609549,12500
1983-07-15,2.400000,2.453333,2.400000,2.400000,0.614098,12500
1983-07-18,2.400000,2.417778,2.364444,2.364444,0.605000,12500
1983-07-19,2.364444,2.400000,2.364444,2.364444,0.605000,16800
1983-07-20,2.382222,2.417778,2.382222,2.382222,0.609549,1200
1983-07-21,2.382222,2.417778,2.382222,2.382222,0.609549,2000
1983-07-22,2.382222,2.417778,2.382222,2.382222,0.609549,24500
1983-07-25,2.417778,2.471111,2.417778,2.417778,0.618646,50600
1983-07-26,2.435555,2.488889,2.435555,2.435555,0.623195,4100
1983-07-27,2.435555,2.488889,2.435555,2.435555,0.623195,2000
1983-07-28,2.435555,2.435555,2.435555,2.435555,0.623195,0
1983-07-29,2.453333,2.488889,2.453333,2.453333,0.627744,2000
1983-08-01,2.453333,2.488889,2.453333,2.453333,0.627744,2700
1983-08-02,2.453333,2.471111,2.435555,2.435555,0.623195,21000
1983-08-03,2.435555,2.453333,2.400000,2.400000,0.614098,6800
1983-08-04,2.400000,2.400000,2.400000,2.400000,0.614098,0
1983-08-05,2.400000,2.453333,2.400000,2.400000,0.614098,3300
1983-08-08,2.400000,2.453333,2.382222,2.382222,0.609549,3300
1983-08-09,2.382222,2.453333,2.382222,2.382222,0.609549,500
1983-08-10,2.382222,2.435555,2.364444,2.364444,0.605000,17300
1983-08-11,2.364444,2.364444,2.364444,2.364444,0.605000,0
1983-08-12,2.364444,2.417778,2.364444,2.364444,0.605000,0
1983-08-15,2.364444,2.417778,2.364444,2.364444,0.605000,5600
1983-08-16,2.364444,2.364444,2.364444,2.364444,0.605000,0
1983-08-17,2.364444,2.364444,2.364444,2.364444,0.605000,0
1983-08-18,2.364444,2.417778,2.364444,2.364444,0.605000,2700
1983-08-19,2.364444,2.382222,2.328889,2.328889,0.595902,84800
1983-08-22,2.328889,2.382222,2.328889,2.328889,0.595902,74300
1983-08-23,2.328889,2.382222,2.328889,2.328889,0.595902,10500
1983-08-24,2.328889,2.382222,2.328889,2.328889,0.595902,10500
1983-08-25,2.328889,2.346667,2.311111,2.311111,0.591353,7600
1983-08-26,2.311111,2.346667,2.275556,2.275556,0.582256,7600
1983-08-29,2.275556,2.346667,2.275556,2.275556,0.582256,2000
1983-08-30,2.275556,2.346667,2.275556,2.275556,0.582256,500
1983-08-31,2.275556,2.346667,2.275556,2.275556,0.582256,2000
1983-09-01,2.275556,2.346667,2.275556,2.275556,0.582256,2000
1983-09-02,2.168889,2.168889,2.062222,2.062222,0.527669,3300
1983-09-06,2.097778,2.168889,2.097778,2.097778,0.536767,1200
1983-09-07,2.097778,2.168889,2.097778,2.097778,0.536767,4100
1983-09-08,2.097778,2.168889,2.097778,2.097778,0.536767,0
1983-09-09,2.097778,2.097778,2.097778,2.097778,0.536767,0
1983-09-12,2.097778,2.097778,2.097778,2.097778,0.536767,0
1983-09-13,2.097778,2.168889,2.097778,2.097778,0.536767,500
1983-09-14,2.097778,2.168889,2.062222,2.062222,0.527669,21000
1983-09-15,2.062222,2.168889,2.062222,2.062222,0.527669,500
1983-09-16,2.062222,2.062222,2.062222,2.062222,0.527669,0
1983-09-19,2.062222,2.168889,2.062222,2.062222,0.527669,9700
1983-09-20,2.097778,2.168889,2.097778,2.097778,0.536767,4800
1983-09-21,2.097778,2.133333,2.097778,2.097778,0.536767,6800
1983-09-22,2.097778,2.133333,2.097778,2.097778,0.536767,4800
1983-09-23,2.097778,2.133333,2.080000,2.080000,0.532218,30800
1983-09-26,2.080000,2.115556,2.062222,2.062222,0.527669,18800
1983-09-27,2.062222,2.115556,2.062222,2.062222,0.527669,6800
1983-09-28,2.062222,2.115556,2.062222,2.062222,0.527669,4100
1983-09-29,2.062222,2.115556,2.062222,2.062222,0.527669,2000
1983-09-30,2.062222,2.115556,2.062222,2.062222,0.527669,14600
1983-10-03,2.062222,2.115556,2.062222,2.062222,0.527669,15300
1983-10-04,2.062222,2.115556,2.062222,2.062222,0.527669,19600
1983-10-05,2.062222,2.115556,2.062222,2.062222,0.527669,1200
1983-10-06,2.062222,2.115556,2.062222,2.062222,0.527669,1200
1983-10-07,2.062222,2.062222,2.062222,2.062222,0.527669,0
1983-10-10,2.062222,2.115556,2.062222,2.062222,0.527669,8300
1983-10-11,2.062222,2.115556,2.062222,2.062222,0.527669,40600
1983-10-12,2.062222,2.133333,2.062222,2.062222,0.527669,25200
1983-10-13,2.097778,2.151111,2.097778,2.097778,0.536767,500
1983-10-14,2.115556,2.186667,2.115556,2.115556,0.541315,9700
1983-10-17,2.133333,2.204444,2.133333,2.133333,0.545865,6800
1983-10-18,2.133333,2.204444,2.133333,2.133333,0.545865,5600
1983-10-19,2.133333,2.133333,2.133333,2.133333,0.545865,0
1983-10-20,2.133333,2.204444,2.133333,2.133333,0.545865,15300
1983-10-21,2.133333,2.133333,2.133333,2.133333,0.545865,0
1983-10-24,2.133333,2.204444,2.115556,2.115556,0.541315,500
1983-10-25,2.115556,2.115556,2.115556,2.115556,0.541315,0
1983-10-26,2.115556,2.204444,2.115556,2.115556,0.541315,500
1983-10-27,2.115556,2.115556,2.115556,2.115556,0.541315,0
1983-10-28,2.115556,2.115556,2.115556,2.115556,0.541315,0
1983-10-31,2.115556,2.115556,2.115556,2.115556,0.541315,0
1983-11-01,2.115556,2.204444,2.115556,2.115556,0.541315,7600
1983-11-02,2.115556,2.204444,2.115556,2.115556,0.541315,1200
1983-11-03,2.115556,2.115556,2.115556,2.115556,0.541315,0
1983-11-04,2.115556,2.115556,2.115556,2.115556,0.541315,0
1983-11-07,2.115556,2.186667,2.115556,2.115556,0.541315,1200
1983-11-08,2.115556,2.168889,2.115556,2.115556,0.541315,7600
1983-11-09,2.115556,2.115556,2.115556,2.115556,0.541315,0
1983-11-10,2.115556,2.168889,2.115556,2.115556,0.541315,2700
1983-11-11,2.115556,2.168889,2.115556,2.115556,0.541315,1200
1983-11-14,2.115556,2.168889,2.115556,2.115556,0.541315,2700
1983-11-15,2.115556,2.168889,2.115556,2.115556,0.541315,18800
1983-11-16,2.115556,2.168889,2.115556,2.115556,0.541315,1200
1983-11-17,2.115556,2.168889,2.115556,2.115556,0.541315,2000
1983-11-18,2.115556,2.115556,2.115556,2.115556,0.541315,0
1983-11-21,2.115556,2.115556,2.115556,2.115556,0.541315,0
