Date,Open,High,Low,Close,Adj Close,Volume
1981-10-29,120.000000,127.500000,120.000000,120.000000,119.919930,6700
1981-10-30,142.500000,147.500000,142.500000,142.500000,142.404907,7000
1981-11-02,140.000000,140.000000,137.500000,137.500000,137.408249,5700
1981-11-03,150.000000,155.000000,150.000000,150.000000,149.899902,4200
1981-11-04,155.000000,162.500000,155.000000,155.000000,154.896576,5400
1981-11-05,180.000000,185.000000,180.000000,180.000000,179.879883,5300
1981-11-06,190.000000,195.000000,190.000000,190.000000,189.873215,4800
1981-11-09,200.000000,205.000000,200.000000,200.000000,199.866547,5600
1981-11-10,212.500000,215.000000,212.500000,212.500000,212.358185,8800
1981-11-11,222.500000,225.000000,222.500000,222.500000,222.351517,3100
1981-11-12,222.500000,227.500000,222.500000,222.500000,222.351517,6100
1981-11-13,222.500000,225.000000,222.500000,222.500000,222.351517,3500
1981-11-16,222.500000,225.000000,220.000000,220.000000,219.853195,3300
1981-11-17,232.500000,237.500000,232.500000,232.500000,232.344849,4500
1981-11-18,250.000000,252.500000,250.000000,250.000000,249.833176,2800
1981-11-19,257.500000,262.500000,257.500000,257.500000,257.328186,5400
1981-11-20,270.000000,272.500000,270.000000,270.000000,269.819824,3600
1981-11-23,272.500000,280.000000,272.500000,272.500000,272.318146,3700
1981-11-24,262.500000,262.500000,257.500000,257.500000,257.328186,9900
1981-11-25,265.000000,267.500000,265.000000,265.000000,264.823181,2000
1981-11-27,257.500000,257.500000,255.000000,255.000000,254.829849,1800
1981-11-30,215.000000,215.000000,210.000000,210.000000,209.859863,6700
1981-12-01,217.500000,222.500000,217.500000,217.500000,217.354858,5000
1981-12-02,225.000000,232.500000,225.000000,225.000000,224.849854,900
1981-12-03,225.000000,230.000000,222.500000,222.500000,222.351517,1000
1981-12-04,217.500000,217.500000,210.000000,210.000000,209.859863,800
1981-12-07,187.500000,187.500000,185.000000,185.000000,184.876541,2400
1981-12-08,200.000000,205.000000,200.000000,200.000000,199.866547,2600
1981-12-09,200.000000,202.500000,200.000000,200.000000,199.866547,900
1981-12-10,200.000000,205.000000,200.000000,200.000000,199.866547,900
1981-12-11,200.000000,205.000000,200.000000,200.000000,199.866547,600
1981-12-14,190.000000,190.000000,187.500000,187.500000,187.374863,900
1981-12-15,187.500000,190.000000,187.500000,187.500000,187.374863,1200
1981-12-16,200.000000,205.000000,200.000000,200.000000,199.866547,3400
1981-12-17,200.000000,205.000000,200.000000,200.000000,199.866547,900
1981-12-18,200.000000,205.000000,200.000000,200.000000,199.866547,800
1981-12-21,217.500000,220.000000,217.500000,217.500000,217.354858,2700
1981-12-22,220.000000,225.000000,220.000000,220.000000,219.853195,500
1981-12-23,222.500000,230.000000,222.500000,222.500000,222.351517,400
1981-12-24,222.500000,230.000000,222.500000,222.500000,222.351517,300
1981-12-28,222.500000,227.500000,222.500000,222.500000,222.351517,1100
1981-12-29,222.500000,227.500000,222.500000,222.500000,222.351517,400
1981-12-30,220.000000,220.000000,217.500000,217.500000,217.354858,700
1981-12-31,217.500000,222.500000,217.500000,217.500000,217.354858,300
1982-01-04,217.500000,220.000000,215.000000,215.000000,214.856537,1500
1982-01-05,215.000000,217.500000,212.500000,212.500000,212.358185,300
1982-01-06,207.500000,207.500000,202.500000,202.500000,202.364868,500
1982-01-07,202.500000,207.500000,202.500000,202.500000,202.364868,300
1982-01-08,205.000000,207.500000,205.000000,205.000000,204.863205,200
1982-01-11,205.000000,210.000000,205.000000,205.000000,204.863205,2000
1982-01-12,190.000000,190.000000,187.500000,187.500000,187.374863,2400
1982-01-13,175.000000,175.000000,172.500000,172.500000,172.384888,1600
1982-01-14,172.500000,175.000000,172.500000,172.500000,172.384888,3600
1982-01-15,177.500000,182.500000,177.500000,177.500000,177.381561,700
1982-01-18,177.500000,180.000000,175.000000,175.000000,174.883224,500
1982-01-19,175.000000,177.500000,172.500000,172.500000,172.384888,100
1982-01-20,175.000000,180.000000,175.000000,175.000000,174.883224,1000
1982-01-21,177.500000,180.000000,177.500000,177.500000,177.381561,600
