Date,Open,High,Low,Close,Adj Close,Volume
1985-09-03,5.271512,5.503592,5.271512,5.271512,1.486345,6600
1985-09-04,5.271512,5.503592,5.271512,5.271512,1.486345,200
1985-09-05,5.271512,5.271512,5.271512,5.271512,1.486345,0
1985-09-06,5.304667,5.503592,5.304667,5.304667,1.495693,12900
1985-09-09,5.503592,5.702517,5.503592,5.503592,1.551782,6600
1985-09-10,5.503592,5.702517,5.503592,5.503592,1.551782,1200
1985-09-11,5.569900,5.835133,5.569900,5.569900,1.570479,200
1985-09-12,5.636208,5.835133,5.636208,5.636208,1.589175,800
1985-09-13,5.636208,5.835133,5.636208,5.636208,1.589175,1200
1985-09-16,5.636208,5.636208,5.636208,5.636208,1.589175,0
1985-09-17,5.636208,5.835133,5.636208,5.636208,1.589175,13200
1985-09-18,5.636208,5.835133,5.636208,5.636208,1.589175,33100
1985-09-19,5.702517,5.835133,5.702517,5.702517,1.607871,4400
1985-09-20,5.702517,5.835133,5.702517,5.702517,1.607871,2200
1985-09-23,5.702517,5.901442,5.702517,5.702517,1.607871,2900
1985-09-24,5.702517,5.901442,5.702517,5.702517,1.607871,11700
1985-09-25,5.702517,5.901442,5.702517,5.702517,1.655114,800
1985-09-26,5.702517,5.901442,5.702517,5.702517,1.655114,5200
1985-09-30,5.702517,5.901442,5.702517,5.702517,1.655114,12100
1985-10-01,5.702517,5.967750,5.702517,5.702517,1.655114,8700
1985-10-02,5.768825,5.967750,5.768825,5.768825,1.674359,7300
1985-10-03,5.768825,5.967750,5.768825,5.768825,1.674359,20500
1985-10-04,5.835133,5.967750,5.835133,5.835133,1.693605,6600
1985-10-07,5.835133,5.967750,5.835133,5.835133,1.693605,200
1985-10-08,5.835133,5.967750,5.835133,5.835133,1.693605,1200
1985-10-09,5.835133,6.100367,5.835133,5.835133,1.693605,9600
1985-10-10,5.967750,6.166675,5.967750,5.967750,1.732096,17500
1985-10-11,5.967750,5.967750,5.967750,5.967750,1.732096,0
1985-10-14,6.034058,6.166675,6.034058,6.034058,1.751341,800
1985-10-15,6.100367,6.232983,6.100367,6.100367,1.770587,16400
1985-10-16,6.100367,6.232983,6.100367,6.100367,1.770587,200
1985-10-17,6.100367,6.232983,6.100367,6.100367,1.770587,6600
1985-10-18,6.100367,6.232983,6.100367,6.100367,1.770587,20500
1985-10-21,6.100367,6.232983,6.034058,6.034058,1.751341,800
1985-10-22,6.034058,6.232983,6.034058,6.034058,1.751341,200
1985-10-23,6.100367,6.232983,6.100367,6.100367,1.770587,16400
1985-10-24,6.100367,6.232983,6.100367,6.100367,1.770587,2200
1985-10-25,6.100367,6.232983,6.034058,6.034058,1.751341,1200
1985-10-28,6.034058,6.034058,6.034058,6.034058,1.751341,0
1985-10-29,6.034058,6.232983,5.967750,5.967750,1.732096,800
1985-10-30,5.967750,6.232983,5.967750,5.967750,1.732096,7300
1985-10-31,5.967750,6.166675,5.967750,5.967750,1.732096,2200
1985-11-01,5.967750,6.232983,5.967750,5.967750,1.732096,800
1985-11-04,5.967750,6.232983,5.967750,5.967750,1.732096,2200
1985-11-05,5.967750,6.232983,5.967750,5.967750,1.732096,1200
1985-11-06,5.967750,6.232983,5.967750,5.967750,1.732096,23800
1985-11-07,5.967750,6.232983,5.967750,5.967750,1.732096,200
1985-11-08,5.967750,6.232983,5.967750,5.967750,1.732096,200
1985-11-11,5.967750,6.232983,5.967750,5.967750,1.732096,200
1985-11-12,5.967750,6.232983,5.967750,5.967750,1.732096,2200
1985-11-13,5.967750,6.232983,5.967750,5.967750,1.732096,4200
1985-11-14,5.967750,6.232983,5.967750,5.967750,1.732096,1200
1985-11-15,5.967750,6.232983,5.967750,5.967750,1.732096,4400
1985-11-18,5.967750,6.232983,5.967750,5.967750,1.732096,0
1985-11-19,6.232983,6.232983,6.232983,6.232983,1.809079,200
1985-11-20,6.166675,6.166675,6.166675,6.166675,1.789833,800
1985-11-21,5.967750,5.967750,5.967750,5.967750,1.732096,8700
1985-11-22,5.967750,6.166675,5.967750,6.166675,1.789833,5200
1985-11-25,6.166675,6.166675,6.166675,6.166675,1.789833,0
1985-11-26,6.034058,6.034058,5.901442,5.901442,1.712849,12100
1985-11-27,5.901442,6.100367,5.901442,5.901442,1.712849,1200
1985-11-29,5.901442,5.901442,5.901442,5.901442,1.712849,200
1985-12-02,5.901442,5.901442,5.901442,5.901442,1.712849,200
1985-12-03,5.901442,6.034058,5.835133,5.835133,1.693605,4200
1985-12-04,5.835133,5.934596,5.835133,5.835133,1.693605,34700
1985-12-05,5.868287,6.000904,5.868287,5.934596,1.722472,43600
1985-12-06,5.835133,5.835133,5.835133,5.835133,1.693605,800
1985-12-09,5.835133,5.835133,5.835133,5.835133,1.693605,0
1985-12-10,6.034058,6.034058,6.034058,6.034058,1.751341,800
1985-12-11,6.000904,6.000904,5.868287,6.000904,1.741717,2200
1985-12-12,6.000904,6.000904,6.000904,6.000904,1.741717,0
