Date,Open,High,Low,Close,Adj Close,Volume
1993-11-16,3.388889,3.611111,3.277778,3.555556,1.867616,8705700
1993-11-17,3.611111,3.916667,3.555556,3.833333,2.013523,2836300
1993-11-18,3.888889,4.055555,3.777778,3.777778,1.984341,1637500
1993-11-19,3.777778,3.861111,3.722222,3.750000,1.969750,1134400
1993-11-22,3.722222,3.777778,3.555556,3.611111,1.896798,767200
1993-11-23,3.611111,3.916667,3.611111,3.833333,2.013523,422100
1993-11-24,3.833333,3.916667,3.833333,3.916667,2.057296,111600
1993-11-26,3.888889,3.888889,3.833333,3.888889,2.042706,19300
1993-11-29,3.833333,4.000000,3.833333,3.916667,2.057296,214200
1993-11-30,3.944444,4.166667,3.944444,4.111111,2.159431,242100
1993-12-01,4.222222,4.277778,4.111111,4.138889,2.174021,338400
1993-12-02,4.111111,4.194445,4.055555,4.055555,2.130249,136300
1993-12-03,4.138889,4.166667,4.083333,4.166667,2.188612,49900
1993-12-06,4.083333,4.166667,4.083333,4.138889,2.174021,30600
1993-12-07,4.083333,4.166667,4.083333,4.138889,2.174021,103000
1993-12-08,4.166667,4.222222,4.083333,4.222222,2.217794,206100
1993-12-09,4.250000,4.388889,4.194445,4.388889,2.305339,554400
1993-12-10,4.388889,4.388889,4.305555,4.333333,2.276157,135000
1993-12-13,4.305555,4.388889,4.305555,4.388889,2.305339,155200
1993-12-14,4.388889,4.500000,4.222222,4.388889,2.305339,340200
1993-12-15,4.222222,4.333333,4.222222,4.333333,2.276157,61200
1993-12-16,4.166667,4.333333,4.166667,4.222222,2.217794,136800
1993-12-17,4.111111,4.277778,4.111111,4.277778,2.246974,122800
1993-12-20,4.222222,4.250000,4.000000,4.000000,2.101067,983700
1993-12-21,4.000000,4.222222,4.000000,4.138889,2.174021,384300
1993-12-22,4.055555,4.277778,4.055555,4.277778,2.246974,211000
1993-12-23,4.111111,4.111111,4.111111,4.111111,2.159431,4900
1993-12-27,4.333333,4.444445,4.277778,4.444445,2.334520,37300
1993-12-28,4.333333,4.611111,4.333333,4.555555,2.392884,650700
1993-12-29,4.500000,4.777778,4.500000,4.777778,2.509608,229000
1993-12-30,4.555555,4.777778,4.555555,4.666667,2.451246,223200
1993-12-31,4.611111,4.666667,4.555555,4.555555,2.392884,43200
1994-01-03,4.555555,4.666667,4.555555,4.611111,2.422065,236700
1994-01-04,4.444445,4.472222,4.444445,4.472222,2.349111,416700
1994-01-05,4.333333,4.750000,4.333333,4.666667,2.451246,94000
1994-01-06,4.666667,5.000000,4.666667,4.888889,2.567972,422100
1994-01-07,4.777778,5.055555,4.777778,5.055555,2.655515,445900
1994-01-10,4.888889,5.055555,4.833333,4.861111,2.553382,101700
1994-01-11,4.833333,4.944445,4.833333,4.888889,2.567972,20200
1994-01-12,5.000000,5.000000,4.833333,4.833333,2.538791,3600
1994-01-13,4.944445,4.944445,4.777778,4.888889,2.567972,41400
1994-01-14,4.944445,4.944445,4.777778,4.833333,2.538791,32800
1994-01-17,4.777778,4.777778,4.777778,4.777778,2.509608,3600
1994-01-18,4.777778,4.777778,4.777778,4.777778,2.509608,7600
1994-01-19,4.722222,4.888889,4.722222,4.888889,2.567972,58500
1994-01-20,4.666667,4.833333,4.666667,4.833333,2.538791,71500
1994-01-21,4.833333,4.944445,4.722222,4.833333,2.538791,53500
1994-01-24,4.833333,5.138889,4.833333,5.138889,2.699288,98100
1994-01-25,5.000000,5.083333,4.944445,4.944445,2.597153,34600
1994-01-26,4.944445,5.111111,4.944445,5.000000,2.626335,95800
1994-01-27,5.055555,5.055555,5.055555,5.055555,2.655515,1800
1994-01-28,5.055555,5.055555,4.944445,4.944445,2.597153,7600
1994-01-31,4.944445,5.111111,4.944445,4.944445,2.597153,9000
1994-02-01,5.166667,5.444445,4.944445,5.222222,2.743061,203400
1994-02-02,5.277778,5.277778,5.194445,5.194445,2.728470,7600
1994-02-03,5.111111,5.166667,5.111111,5.138889,2.699288,31900
1994-02-04,5.111111,5.166667,4.944445,5.000000,2.626335,88600
1994-02-07,4.777778,4.833333,4.555555,4.722222,2.480427,215100
1994-02-08,4.722222,4.777778,4.611111,4.666667,2.451246,182200
1994-02-09,4.722222,4.722222,4.555555,4.666667,2.451246,252400
1994-02-10,4.722222,4.722222,4.555555,4.555555,2.392884,151600
1994-02-11,4.555555,4.611111,4.555555,4.555555,2.392884,35100
1994-02-14,4.555555,4.611111,4.555555,4.611111,2.422065,5400
1994-02-15,4.611111,4.611111,4.583333,4.611111,2.422065,43600
1994-02-16,4.666667,4.722222,4.500000,4.722222,2.480427,68800
1994-02-17,4.666667,4.666667,4.555555,4.555555,2.392884,3100
1994-02-18,4.722222,4.722222,4.666667,4.666667,2.451246,14800
1994-02-22,4.500000,4.722222,4.500000,4.583333,2.407473,37800
1994-02-23,4.555555,4.666667,4.500000,4.500000,2.363702,29700
1994-02-24,4.666667,4.666667,4.555555,4.666667,2.451246,35500
1994-02-25,4.666667,4.777778,4.500000,4.777778,2.509608,81400
1994-02-28,4.888889,5.055555,4.722222,4.944445,2.597153,61200
1994-03-01,5.055555,5.055555,4.888889,5.055555,2.655515,31000
1994-03-02,4.888889,5.055555,4.888889,5.000000,2.626335,7200
1994-03-03,4.888889,5.111111,4.888889,5.111111,2.684697,27900
1994-03-04,5.000000,5.083333,5.000000,5.083333,2.670107,7600
1994-03-07,5.055555,5.083333,5.000000,5.055555,2.655515,403600
1994-03-08,5.166667,5.166667,5.000000,5.000000,2.626335,15700
1994-03-09,5.000000,5.083333,5.000000,5.083333,2.670107,56700
1994-03-10,5.138889,5.222222,5.111111,5.222222,2.743061,23800
1994-03-11,5.333333,5.333333,5.111111,5.111111,2.684697,232200
1994-03-14,5.277778,5.277778,5.277778,5.277778,2.772242,4500
1994-03-15,5.333333,5.333333,5.111111,5.333333,2.801425,2700
1994-03-16,5.333333,5.333333,5.222222,5.222222,2.743061,63400
1994-03-17,5.444445,5.444445,5.222222,5.444445,2.859787,4900
1994-03-18,5.222222,5.222222,5.222222,5.222222,2.743061,6300
1994-03-21,5.333333,5.333333,5.222222,5.277778,2.772242,28800
1994-03-22,5.305555,5.305555,5.222222,5.222222,2.743061,93600
1994-03-23,5.277778,5.388889,5.222222,5.305555,2.786833,22000
1994-03-24,5.222222,5.277778,5.222222,5.277778,2.772242,12100
1994-03-25,5.111111,5.222222,5.111111,5.111111,2.684697,213300
1994-03-28,5.222222,5.222222,5.000000,5.027778,2.640926,347400
1994-03-29,4.916667,5.000000,4.888889,4.888889,2.567972,300600
1994-03-30,4.722222,4.944445,4.666667,4.833333,2.538791,77800
1994-03-31,4.777778,5.000000,4.777778,4.944445,2.597153,213300
1994-04-04,4.666667,4.777778,4.500000,4.611111,2.422065,114300
1994-04-05,4.888889,5.000000,4.833333,5.000000,2.626335,154800
1994-04-06,4.777778,4.944445,4.777778,4.833333,2.538791,54400
1994-04-07,4.722222,4.833333,4.722222,4.722222,2.480427,2700
1994-04-08,4.722222,4.944445,4.722222,4.944445,2.597153,11700
1994-04-11,4.916667,5.000000,4.833333,4.888889,2.567972,27900
1994-04-12,4.888889,4.888889,4.888889,4.888889,2.567972,0
1994-04-13,4.888889,4.888889,4.888889,4.888889,2.567972,400
1994-04-14,4.888889,4.944445,4.888889,4.944445,2.597153,98100
1994-04-15,4.888889,5.055555,4.833333,5.000000,2.626335,35500
1994-04-18,4.750000,4.750000,4.722222,4.722222,2.480427,50800
1994-04-19,4.722222,4.833333,4.555555,4.666667,2.451246,175500
1994-04-20,4.555555,4.555555,4.416667,4.416667,2.319929,30100
1994-04-21,4.555555,4.555555,4.444445,4.472222,2.349111,292500
1994-04-22,4.388889,4.555555,4.388889,4.555555,2.392884,89500
1994-04-25,4.444445,4.500000,4.444445,4.500000,2.363702,109800
1994-04-26,4.500000,4.500000,4.500000,4.500000,2.363702,0
1994-04-28,4.555555,4.555555,4.388889,4.555555,2.392884,78300
1994-04-29,4.388889,4.555555,4.388889,4.388889,2.305339,39100
1994-05-02,4.611111,4.611111,4.583333,4.583333,2.407473,25200
1994-05-03,4.583333,4.583333,4.583333,4.583333,2.407473,0
1994-05-04,4.500000,4.611111,4.388889,4.611111,2.422065,118800
1994-05-05,4.611111,4.611111,4.611111,4.611111,2.422065,6700
1994-05-06,4.555555,4.555555,4.444445,4.444445,2.334520,24300
1994-05-09,4.472222,4.555555,4.444445,4.555555,2.392884,53100
1994-05-10,4.500000,4.555555,4.500000,4.555555,2.392884,52600
1994-05-11,4.444445,4.444445,4.444445,4.444445,2.334520,3600
1994-05-12,4.611111,4.611111,4.444445,4.444445,2.334520,80500
1994-05-13,4.472222,4.500000,4.444445,4.444445,2.334520,126000
1994-05-16,4.444445,4.500000,4.444445,4.444445,2.334520,124200
