Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,1.827735,1.903891,1.827735,1.827735,0.447345,14800
1980-03-18,1.827735,1.865813,1.789657,1.789657,0.438025,12900
1980-03-19,1.808696,1.884852,1.808696,1.808696,0.442685,14800
1980-03-20,1.808696,1.808696,1.808696,1.808696,0.442685,0
1980-03-21,1.808696,1.884852,1.808696,1.808696,0.442685,4200
1980-03-24,1.808696,1.884852,1.808696,1.808696,0.442685,2600
1980-03-25,1.808696,1.865813,1.789657,1.789657,0.438025,15200
1980-03-26,1.789657,1.865813,1.789657,1.789657,0.438025,4200
1980-03-27,1.789657,1.808696,1.732541,1.732541,0.424045,15200
1980-03-28,1.732541,1.808696,1.732541,1.732541,0.424045,200
1980-03-31,1.922930,1.999086,1.922930,1.922930,0.470644,60500
1980-04-01,2.132358,2.208513,2.132358,2.132358,0.521902,125000
1980-04-02,2.132358,2.170436,2.094280,2.094280,0.512582,31400
1980-04-03,2.094280,2.113319,2.037163,2.037163,0.498603,39300
1980-04-07,1.961008,1.961008,1.884852,1.884852,0.461324,66900
1980-04-08,1.884852,1.941969,1.865813,1.865813,0.456664,200
1980-04-09,1.884852,1.961008,1.884852,1.884852,0.461324,2600
1980-04-10,1.884852,1.961008,1.884852,1.884852,0.461324,1700
1980-04-11,1.884852,1.961008,1.884852,1.884852,0.461324,1700
1980-04-14,1.884852,1.903891,1.827735,1.827735,0.447345,15200
1980-04-15,1.827735,1.884852,1.808696,1.808696,0.442685,23400
1980-04-16,1.808696,1.808696,1.808696,1.808696,0.442685,0
1980-04-17,1.808696,1.865813,1.789657,1.789657,0.438025,4200
1980-04-18,1.789657,1.865813,1.789657,1.789657,0.438025,9400
1980-04-21,1.789657,1.865813,1.789657,1.789657,0.438025,1700
1980-04-22,1.789657,1.865813,1.789657,1.789657,0.438025,14800
1980-04-23,1.789657,1.865813,1.789657,1.789657,0.438025,20000
1980-04-24,1.789657,1.827735,1.751580,1.751580,0.428705,28100
1980-04-25,1.751580,1.827735,1.751580,1.751580,0.428705,200
1980-04-28,1.751580,1.827735,1.751580,1.751580,0.428705,14800
1980-04-29,1.751580,1.827735,1.751580,1.751580,0.428705,59400
1980-04-30,1.751580,1.827735,1.751580,1.751580,0.428705,4200
1980-05-01,1.751580,1.827735,1.751580,1.751580,0.428705,22500
1980-05-02,1.751580,1.827735,1.751580,1.751580,0.428705,6700
1980-05-05,1.770619,1.846774,1.770619,1.770619,0.433365,122600
1980-05-06,1.770619,1.846774,1.770619,1.770619,0.433365,14800
1980-05-07,1.770619,1.770619,1.770619,1.770619,0.433365,0
1980-05-08,1.770619,1.846774,1.770619,1.770619,0.433365,25600
1980-05-09,1.789657,1.865813,1.789657,1.789657,0.438025,15200
1980-05-12,1.808696,1.884852,1.808696,1.808696,0.442685,10600
1980-05-13,1.846774,1.922930,1.846774,1.846774,0.452004,28100
1980-05-14,1.846774,1.922930,1.846774,1.846774,0.452004,6700
1980-05-15,1.865813,1.941969,1.865813,1.865813,0.456664,10600
1980-05-16,1.865813,1.941969,1.865813,1.865813,0.456664,23400
1980-05-19,1.865813,1.941969,1.865813,1.865813,0.456664,4200
1980-05-20,1.865813,1.941969,1.865813,1.865813,0.456664,21000
1980-05-21,1.865813,1.941969,1.865813,1.865813,0.456664,15200
1980-05-22,1.865813,1.941969,1.865813,1.865813,0.456664,200
1980-05-23,1.865813,1.865813,1.865813,1.865813,0.456664,0
1980-05-27,1.884852,1.961008,1.884852,1.884852,0.461324,26200
1980-05-28,1.903891,1.980047,1.903891,1.903891,0.465984,51500
1980-05-29,1.922930,1.999086,1.922930,1.922930,0.470644,21000
1980-05-30,1.961008,2.037163,1.961008,1.961008,0.479963,25600
1980-06-02,1.961008,2.037163,1.961008,1.961008,0.479963,9400
1980-06-03,1.961008,2.037163,1.961008,1.961008,0.479963,47400
1980-06-04,1.961008,1.961008,1.961008,1.961008,0.479963,0
1980-06-05,1.999086,2.075241,1.999086,1.999086,0.489283,31400
1980-06-06,2.018124,2.094280,2.018124,2.018124,0.493943,2600
1980-06-09,2.018124,2.094280,2.018124,2.018124,0.493943,5000
1980-06-10,2.018124,2.094280,2.018124,2.018124,0.493943,5000
1980-06-11,2.037163,2.113319,2.037163,2.037163,0.498603,2600
1980-06-12,2.075241,2.151397,2.075241,2.075241,0.507922,20000
1980-06-13,2.094280,2.170436,2.094280,2.094280,0.512582,1700
1980-06-16,2.094280,2.170436,2.094280,2.094280,0.512582,2600
1980-06-17,2.094280,2.170436,2.094280,2.094280,0.512582,9400
1980-06-18,2.094280,2.170436,2.094280,2.094280,0.512582,12300
1980-06-19,2.094280,2.170436,2.094280,2.094280,0.512582,12300
1980-06-20,2.094280,2.170436,2.094280,2.094280,0.512582,200
1980-06-23,2.113319,2.189475,2.113319,2.113319,0.517242,12900
1980-06-24,2.113319,2.189475,2.113319,2.113319,0.517242,2600
1980-06-25,2.170436,2.246591,2.170436,2.170436,0.531222,52500
1980-06-26,2.227552,2.303708,2.227552,2.227552,0.545201,49800
1980-06-27,2.303708,2.379864,2.303708,2.303708,0.563841,21000
1980-06-30,2.360825,2.436980,2.360825,2.360825,0.577820,38700
1980-07-01,2.360825,2.436980,2.360825,2.360825,0.577820,39300
1980-07-02,2.379864,2.456019,2.379864,2.379864,0.582480,10600
1980-07-03,2.379864,2.456019,2.379864,2.379864,0.582480,26200
1980-07-07,2.379864,2.436980,2.379864,2.379864,0.582480,8100
1980-07-08,2.379864,2.417942,2.379864,2.379864,0.582480,22500
1980-07-09,2.379864,2.436980,2.379864,2.379864,0.582480,1700
1980-07-10,2.379864,2.436980,2.379864,2.379864,0.582480,28300
1980-07-11,2.379864,2.436980,2.379864,2.379864,0.582480,15200
1980-07-14,2.379864,2.417942,2.379864,2.379864,0.582480,10600
1980-07-15,2.379864,2.417942,2.379864,2.379864,0.582480,200
1980-07-16,2.379864,2.417942,2.379864,2.379864,0.582480,12300
1980-07-17,2.379864,2.417942,2.379864,2.379864,0.582480,15200
1980-07-18,2.379864,2.417942,2.379864,2.379864,0.582480,4200
1980-07-21,2.379864,2.417942,2.379864,2.379864,0.582480,8100
1980-07-22,2.379864,2.417942,2.379864,2.379864,0.582480,20000
1980-07-23,2.379864,2.417942,2.379864,2.379864,0.582480,10600
1980-07-24,2.379864,2.417942,2.379864,2.379864,0.582480,2600
1980-07-25,2.398903,2.436980,2.398903,2.398903,0.587140,51500
1980-07-28,2.417942,2.436980,2.417942,2.417942,0.591800,12900
1980-07-29,2.417942,2.436980,2.417942,2.417942,0.591800,23400
1980-07-30,2.417942,2.417942,2.417942,2.417942,0.591800,0
1980-07-31,2.417942,2.436980,2.417942,2.417942,0.591800,4200
1980-08-01,2.417942,2.436980,2.417942,2.417942,0.591800,12300
1980-08-04,2.417942,2.436980,2.417942,2.417942,0.591800,6700
1980-08-05,2.417942,2.436980,2.417942,2.417942,0.591800,1700
1980-08-06,2.417942,2.436980,2.417942,2.417942,0.591800,14800
1980-08-07,2.417942,2.436980,2.417942,2.417942,0.591800,12300
1980-08-08,2.417942,2.436980,2.417942,2.417942,0.591800,1700
1980-08-11,2.417942,2.436980,2.417942,2.417942,0.591800,8100
1980-08-12,2.417942,2.436980,2.379864,2.379864,0.582480,31400
1980-08-13,2.379864,2.398903,2.341786,2.341786,0.573160,10600
1980-08-14,2.341786,2.360825,2.303708,2.303708,0.563841,28300
1980-08-15,2.303708,2.341786,2.284669,2.284669,0.559181,9400
1980-08-18,2.284669,2.341786,2.284669,2.284669,0.559181,5000
1980-08-19,2.265630,2.265630,2.208513,2.208513,0.540542,36500
1980-08-20,2.208513,2.265630,2.208513,2.208513,0.540542,200
1980-08-21,2.208513,2.265630,2.208513,2.208513,0.540542,1700
1980-08-22,2.227552,2.265630,2.227552,2.227552,0.545201,1700
1980-08-25,2.265630,2.322747,2.265630,2.265630,0.554521,55200
1980-08-26,2.284669,2.341786,2.284669,2.284669,0.559181,28300
1980-08-27,2.360825,2.417942,2.360825,2.360825,0.577820,70100
1980-08-28,2.379864,2.417942,2.379864,2.379864,0.582480,2600
1980-08-29,2.436980,2.475058,2.436980,2.436980,0.596459,36500
1980-09-02,2.436980,2.475058,2.417942,2.417942,0.591800,17600
1980-09-03,2.475058,2.532175,2.475058,2.475058,0.605779,34300
1980-09-04,2.513136,2.551214,2.513136,2.513136,0.615099,4200
1980-09-05,2.513136,2.551214,2.513136,2.513136,0.615099,12900
1980-09-08,2.513136,2.570253,2.513136,2.513136,0.615099,5000
1980-09-09,2.513136,2.551214,2.513136,2.513136,0.615099,1700
1980-09-10,2.513136,2.551214,2.513136,2.513136,0.615099,2600
1980-09-11,2.513136,2.570253,2.513136,2.513136,0.615099,1700
1980-09-12,2.513136,2.570253,2.513136,2.513136,0.615099,4200
1980-09-15,2.513136,2.551214,2.513136,2.513136,0.615099,30600
1980-09-16,2.513136,2.551214,2.513136,2.513136,0.615099,200
1980-09-17,2.513136,2.551214,2.513136,2.513136,0.615099,23400
1980-09-18,2.513136,2.551214,2.513136,2.513136,0.615099,28100
1980-09-19,2.513136,2.551214,2.513136,2.513136,0.615099,2600
1980-09-22,2.513136,2.551214,2.513136,2.513136,0.615099,10600
1980-09-23,2.513136,2.551214,2.513136,2.513136,0.615099,25600
