Date,Open,High,Low,Close,Adj Close,Volume
1992-12-18,2.481482,2.629630,2.425926,2.574074,2.574074,14434500
1992-12-21,2.629630,2.629630,2.518518,2.518518,2.518518,1167600
1992-12-22,2.518518,2.592592,2.518518,2.518518,2.518518,1174500
1992-12-23,2.518518,2.685185,2.518518,2.666667,2.666667,467100
1992-12-24,2.740741,2.777778,2.722222,2.759259,2.759259,236100
1992-12-28,2.777778,3.000000,2.759259,2.962963,2.962963,876600
1992-12-29,3.000000,3.037037,2.962963,3.000000,3.000000,688800
1992-12-30,2.962963,3.037037,2.907408,2.925926,2.925926,271200
1992-12-31,2.925926,2.962963,2.888889,2.888889,2.888889,253800
1993-01-04,2.888889,2.962963,2.888889,2.888889,2.888889,228600
1993-01-05,2.888889,2.925926,2.870370,2.888889,2.888889,463500
1993-01-06,2.870370,2.925926,2.870370,2.870370,2.870370,65100
1993-01-07,2.870370,2.888889,2.814815,2.814815,2.814815,153900
1993-01-08,2.814815,2.814815,2.518518,2.592592,2.592592,585000
1993-01-11,2.592592,2.611111,2.537037,2.555556,2.555556,190800
1993-01-12,2.611111,2.611111,2.500000,2.518518,2.518518,696900
1993-01-13,2.574074,2.666667,2.518518,2.592592,2.592592,194400
1993-01-14,2.666667,2.685185,2.611111,2.685185,2.685185,306300
1993-01-15,2.629630,2.703704,2.629630,2.685185,2.685185,171300
1993-01-18,2.629630,2.685185,2.629630,2.629630,2.629630,225900
1993-01-19,2.629630,2.796296,2.629630,2.777778,2.777778,707700
1993-01-20,2.814815,2.833333,2.740741,2.833333,2.833333,180000
1993-01-21,2.777778,2.962963,2.777778,2.962963,2.962963,556200
1993-01-22,2.925926,3.240741,2.925926,3.240741,3.240741,339300
1993-01-25,3.259259,3.333333,3.074074,3.074074,3.074074,684900
1993-01-26,3.148148,3.148148,2.925926,2.925926,2.925926,769800
1993-01-27,2.925926,2.925926,2.666667,2.777778,2.777778,442800
1993-01-28,2.814815,2.888889,2.740741,2.814815,2.814815,464400
1993-01-29,2.777778,2.888889,2.777778,2.888889,2.888889,32400
1993-02-01,2.888889,2.888889,2.777778,2.814815,2.814815,513000
1993-02-02,2.777778,2.962963,2.777778,2.888889,2.888889,869700
1993-02-03,2.851852,2.962963,2.851852,2.888889,2.888889,51300
1993-02-04,2.851852,3.074074,2.851852,3.074074,3.074074,197400
1993-02-05,3.111111,3.111111,2.962963,2.962963,2.962963,252300
1993-02-08,2.962963,3.037037,2.962963,3.037037,3.037037,234900
1993-02-09,3.037037,3.037037,2.962963,3.037037,3.037037,514800
1993-02-10,2.962963,3.037037,2.962963,2.962963,2.962963,138000
1993-02-11,2.962963,3.000000,2.962963,2.962963,2.962963,869700
1993-02-12,2.962963,3.000000,2.962963,2.962963,2.962963,178200
1993-02-16,2.925926,2.962963,2.888889,2.888889,2.888889,434700
1993-02-17,2.851852,2.851852,2.629630,2.629630,2.629630,181200
1993-02-18,2.740741,2.740741,2.629630,2.629630,2.629630,17400
1993-02-19,2.740741,2.740741,2.629630,2.629630,2.629630,25500
1993-02-22,2.629630,2.666667,2.296296,2.296296,2.296296,162000
1993-02-23,2.296296,2.333333,2.148148,2.296296,2.296296,120000
1993-02-24,2.240741,2.296296,2.222222,2.259259,2.259259,672300
1993-02-25,2.185185,2.296296,2.185185,2.296296,2.296296,17400
1993-02-26,2.296296,2.296296,2.222222,2.296296,2.296296,66000
1993-03-01,2.296296,2.370370,2.222222,2.222222,2.222222,516900
1993-03-02,2.296296,2.333333,2.259259,2.259259,2.259259,154200
1993-03-03,2.259259,2.333333,2.259259,2.333333,2.333333,246900
1993-03-04,2.259259,2.296296,2.259259,2.296296,2.296296,49800
1993-03-05,2.259259,2.333333,2.259259,2.296296,2.296296,35400
1993-03-08,2.333333,2.333333,2.296296,2.296296,2.296296,5700
1993-03-09,2.333333,2.370370,2.259259,2.296296,2.296296,213300
1993-03-10,2.296296,2.333333,2.296296,2.296296,2.296296,189000
1993-03-11,2.481482,2.481482,2.370370,2.481482,2.481482,348300
1993-03-12,2.481482,2.555556,2.481482,2.555556,2.555556,666900
1993-03-15,2.555556,2.555556,2.518518,2.555556,2.555556,29700
1993-03-16,2.537037,2.537037,2.444444,2.518518,2.518518,326700
1993-03-17,2.518518,2.518518,2.518518,2.518518,2.518518,8400
1993-03-18,2.444444,2.518518,2.407408,2.407408,2.407408,406200
1993-03-19,2.370370,2.444444,2.370370,2.370370,2.370370,50400
1993-03-22,2.370370,2.370370,2.370370,2.370370,2.370370,0
1993-03-23,2.444444,2.444444,2.370370,2.370370,2.370370,35100
1993-03-24,2.407408,2.425926,2.370370,2.370370,2.370370,1206000
1993-03-25,2.425926,2.462963,2.425926,2.462963,2.462963,302400
1993-03-26,2.407408,2.425926,2.370370,2.407408,2.407408,143400
1993-03-29,2.462963,2.462963,2.462963,2.462963,2.462963,6600
1993-03-30,2.425926,2.425926,2.259259,2.259259,2.259259,192000
1993-03-31,2.259259,2.333333,2.240741,2.240741,2.240741,138900
1993-04-01,2.333333,2.333333,2.277778,2.296296,2.296296,36900
1993-04-02,2.222222,2.333333,2.222222,2.222222,2.222222,4500
1993-04-05,2.277778,2.333333,2.240741,2.296296,2.296296,34200
1993-04-06,2.296296,2.296296,2.296296,2.296296,2.296296,0
1993-04-07,2.222222,2.296296,2.037037,2.037037,2.037037,221400
1993-04-08,2.148148,2.148148,1.925926,1.925926,1.925926,478200
1993-04-12,2.074074,2.074074,2.074074,2.074074,2.074074,5400
1993-04-13,1.962963,1.962963,1.962963,1.962963,1.962963,1200
1993-04-14,2.111111,2.111111,1.962963,1.962963,1.962963,144900
1993-04-15,1.925926,2.037037,1.888889,2.037037,2.037037,22800
1993-04-16,1.888889,2.000000,1.888889,2.000000,2.000000,15300
1993-04-19,2.037037,2.037037,1.888889,1.962963,1.962963,15300
1993-04-20,1.962963,1.962963,1.962963,1.962963,1.962963,300
1993-04-21,1.888889,2.037037,1.888889,1.925926,1.925926,259200
1993-04-22,2.037037,2.037037,1.888889,1.962963,1.962963,8400
1993-04-23,2.037037,2.037037,1.888889,1.888889,1.888889,2700
1993-04-26,1.888889,2.037037,1.777778,1.833333,1.833333,100200
1993-04-27,1.888889,1.962963,1.777778,1.814815,1.814815,187500
1993-04-28,1.833333,1.851852,1.814815,1.814815,1.814815,27300
1993-04-29,1.925926,1.925926,1.851852,1.925926,1.925926,180000
1993-04-30,1.925926,1.962963,1.814815,1.962963,1.962963,128100
1993-05-03,1.962963,2.000000,1.777778,2.000000,2.000000,623700
1993-05-04,2.000000,2.111111,1.981481,2.074074,2.074074,133500
1993-05-05,2.111111,2.148148,2.074074,2.148148,2.148148,61200
1993-05-06,2.092592,2.092592,2.037037,2.037037,2.037037,40500
1993-05-07,2.037037,2.037037,2.037037,2.037037,2.037037,0
1993-05-10,2.037037,2.037037,2.037037,2.037037,2.037037,0
1993-05-11,2.037037,2.185185,2.037037,2.185185,2.185185,8100
1993-05-12,2.037037,2.074074,2.037037,2.055556,2.055556,315900
1993-05-13,2.037037,2.037037,2.037037,2.037037,2.037037,9300
1993-05-14,2.185185,2.185185,2.037037,2.148148,2.148148,310500
1993-05-17,2.037037,2.111111,2.037037,2.074074,2.074074,15300
1993-05-18,2.185185,2.259259,2.185185,2.259259,2.259259,75600
1993-05-19,2.185185,2.185185,2.185185,2.185185,2.185185,20100
1993-05-20,2.185185,2.185185,2.185185,2.185185,2.185185,0
1993-05-21,2.222222,2.370370,2.222222,2.259259,2.259259,145800
1993-05-24,2.333333,2.407408,2.333333,2.333333,2.333333,207000
1993-05-25,2.407408,2.407408,2.333333,2.407408,2.407408,75600
1993-05-26,2.407408,2.407408,2.407408,2.407408,2.407408,0
1993-05-27,2.333333,2.407408,2.333333,2.333333,2.333333,41700
1993-05-28,2.333333,2.407408,2.074074,2.092592,2.092592,492600
1993-06-01,2.074074,2.407408,2.074074,2.407408,2.407408,293400
1993-06-02,2.555556,2.555556,2.407408,2.518518,2.518518,168600
1993-06-03,2.407408,2.518518,2.407408,2.518518,2.518518,117300
1993-06-04,2.370370,2.407408,2.222222,2.240741,2.240741,40800
1993-06-07,2.370370,2.370370,2.370370,2.370370,2.370370,300
1993-06-08,2.370370,2.370370,2.222222,2.222222,2.222222,18900
1993-06-09,2.222222,2.222222,2.222222,2.222222,2.222222,13500
1993-06-10,2.222222,2.296296,2.222222,2.296296,2.296296,58500
1993-06-11,2.296296,2.296296,2.296296,2.296296,2.296296,300
1993-06-14,2.296296,2.296296,2.296296,2.296296,2.296296,0
1993-06-15,2.240741,2.296296,2.240741,2.296296,2.296296,4500
1993-06-16,2.185185,2.240741,2.185185,2.185185,2.185185,113400
1993-06-17,2.148148,2.296296,2.148148,2.296296,2.296296,63300
1993-06-18,2.296296,2.296296,2.296296,2.296296,2.296296,0
1993-06-21,2.296296,2.296296,2.296296,2.296296,2.296296,0
1993-06-22,2.296296,2.296296,2.185185,2.185185,2.185185,12600
1993-06-23,2.333333,2.370370,2.222222,2.370370,2.370370,235200
1993-06-24,2.444444,2.537037,2.351852,2.462963,2.462963,167700
1993-06-25,2.444444,2.703704,2.444444,2.703704,2.703704,282600
1993-06-28,2.703704,2.703704,2.555556,2.666667,2.666667,178200
1993-06-29,2.555556,2.648148,2.555556,2.611111,2.611111,192000
1993-06-30,2.592592,2.962963,2.592592,2.888889,2.888889,163200
1993-07-01,2.925926,2.925926,2.777778,2.777778,2.777778,5400
1993-07-02,2.777778,2.777778,2.740741,2.740741,2.740741,35100
1993-07-06,2.888889,2.888889,2.703704,2.703704,2.703704,10800
1993-07-07,2.703704,2.777778,2.629630,2.666667,2.666667,70200
1993-07-08,2.629630,2.666667,2.629630,2.666667,2.666667,5400
1993-07-09,2.629630,2.814815,2.629630,2.666667,2.666667,108300
1993-07-12,2.851852,2.851852,2.666667,2.814815,2.814815,13500
1993-07-13,2.851852,2.851852,2.703704,2.703704,2.703704,3900
1993-07-14,2.814815,2.814815,2.666667,2.666667,2.666667,50400
1993-07-15,2.666667,2.925926,2.666667,2.888889,2.888889,84000
1993-07-16,2.962963,2.962963,2.814815,2.814815,2.814815,187500
1993-07-19,2.870370,2.962963,2.870370,2.962963,2.962963,27000
1993-07-20,2.833333,2.962963,2.833333,2.833333,2.833333,114600
1993-07-21,2.814815,2.814815,2.814815,2.814815,2.814815,12000
1993-07-22,2.814815,2.925926,2.518518,2.648148,2.648148,278100
1993-07-23,2.703704,2.777778,2.592592,2.703704,2.703704,648000
1993-07-26,2.777778,2.777778,2.629630,2.629630,2.629630,18000
1993-07-27,2.629630,2.629630,2.629630,2.629630,2.629630,1800
1993-07-28,2.629630,2.629630,2.629630,2.629630,2.629630,300
1993-07-29,2.629630,2.629630,2.629630,2.629630,2.629630,300
1993-07-30,2.629630,2.703704,2.629630,2.703704,2.703704,28200
1993-08-02,2.777778,2.777778,2.777778,2.777778,2.777778,300
1993-08-03,2.777778,2.777778,2.703704,2.703704,2.703704,28200
1993-08-04,2.722222,2.722222,2.629630,2.629630,2.629630,162300
1993-08-05,2.777778,2.777778,2.703704,2.703704,2.703704,135000
1993-08-06,2.777778,2.777778,2.629630,2.629630,2.629630,12000
1993-08-09,2.629630,2.629630,2.629630,2.629630,2.629630,0
1993-08-10,2.629630,2.685185,2.592592,2.629630,2.629630,215100
1993-08-11,2.592592,2.666667,2.518518,2.666667,2.666667,5700
1993-08-12,2.537037,2.537037,2.537037,2.537037,2.537037,10800
1993-08-13,2.666667,2.666667,2.592592,2.592592,2.592592,35400
1993-08-16,2.518518,2.592592,2.518518,2.518518,2.518518,8400
1993-08-17,2.518518,2.666667,2.518518,2.518518,2.518518,250200
1993-08-18,2.518518,2.666667,2.518518,2.666667,2.666667,300000
1993-08-19,2.592592,2.592592,2.518518,2.518518,2.518518,63300
1993-08-20,2.666667,2.666667,2.518518,2.518518,2.518518,64800
1993-08-23,2.518518,2.666667,2.518518,2.666667,2.666667,39000
1993-08-24,2.666667,2.666667,2.555556,2.555556,2.555556,42300
1993-08-25,2.555556,2.648148,2.555556,2.611111,2.611111,255000
1993-08-26,2.555556,2.666667,2.555556,2.666667,2.666667,3900
1993-08-27,2.666667,2.814815,2.592592,2.777778,2.777778,183600
1993-08-30,2.666667,2.814815,2.666667,2.740741,2.740741,78600
1993-08-31,2.666667,2.814815,2.666667,2.777778,2.777778,12600
1993-09-01,2.814815,2.888889,2.722222,2.888889,2.888889,78300
1993-09-02,2.740741,2.925926,2.740741,2.925926,2.925926,43200
1993-09-03,2.925926,2.925926,2.925926,2.925926,2.925926,11100
1993-09-07,2.925926,2.925926,2.925926,2.925926,2.925926,11100
1993-09-08,2.925926,2.925926,2.925926,2.925926,2.925926,1200
1993-09-09,2.925926,2.925926,2.777778,2.777778,2.777778,8100
1993-09-10,2.833333,2.925926,2.814815,2.925926,2.925926,18000
1993-09-13,2.777778,2.851852,2.777778,2.851852,2.851852,5700
1993-09-14,2.777778,2.962963,2.777778,2.814815,2.814815,39000
1993-09-15,2.962963,2.962963,2.777778,2.851852,2.851852,54300
1993-09-16,2.962963,2.962963,2.851852,2.851852,2.851852,5400
1993-09-17,2.962963,2.962963,2.962963,2.962963,2.962963,2700
1993-09-20,2.962963,2.962963,2.962963,2.962963,2.962963,13500
1993-09-21,2.962963,2.962963,2.777778,2.777778,2.777778,9900
1993-09-22,2.851852,2.851852,2.777778,2.777778,2.777778,8100
1993-09-23,2.777778,2.962963,2.777778,2.814815,2.814815,62100
1993-09-24,2.870370,2.925926,2.777778,2.925926,2.925926,60600
1993-09-27,2.777778,2.925926,2.777778,2.925926,2.925926,53100
1993-09-28,2.814815,2.814815,2.777778,2.814815,2.814815,14700
1993-09-29,2.814815,2.925926,2.777778,2.870370,2.870370,233400
1993-09-30,2.962963,3.000000,2.851852,3.000000,3.000000,69300
1993-10-01,3.000000,3.222222,2.888889,3.222222,3.222222,448200
1993-10-04,3.259259,3.259259,3.111111,3.259259,3.259259,177300
1993-10-05,3.259259,3.259259,3.111111,3.259259,3.259259,30000
1993-10-06,3.259259,3.259259,3.037037,3.203704,3.203704,54000
1993-10-07,3.222222,3.222222,3.074074,3.222222,3.222222,16200
1993-10-08,3.222222,3.222222,3.037037,3.222222,3.222222,61200
1993-10-11,3.037037,3.222222,3.037037,3.222222,3.222222,1800
1993-10-12,3.111111,3.222222,3.037037,3.222222,3.222222,73200
1993-10-13,3.074074,3.074074,3.074074,3.074074,3.074074,6600
1993-10-14,3.222222,3.333333,3.111111,3.185185,3.185185,137700
1993-10-15,3.333333,3.333333,3.148148,3.185185,3.185185,91800
1993-10-18,3.296296,3.296296,3.148148,3.148148,3.148148,210600
1993-10-19,3.148148,3.148148,3.148148,3.148148,3.148148,17400
1993-10-20,3.148148,3.296296,3.148148,3.296296,3.296296,8400
1993-10-21,3.148148,3.240741,3.111111,3.111111,3.111111,44400
1993-10-22,3.111111,3.111111,2.925926,3.074074,3.074074,105300
1993-10-25,3.074074,3.074074,2.925926,3.074074,3.074074,31500
1993-10-26,2.962963,2.962963,2.925926,2.925926,2.925926,13500
1993-10-27,3.111111,3.111111,2.925926,3.000000,3.000000,92100
1993-10-28,3.037037,3.111111,2.962963,2.962963,2.962963,18000
1993-10-29,3.111111,3.148148,3.037037,3.148148,3.148148,70200
1993-11-01,3.222222,3.296296,3.185185,3.296296,3.296296,81000
1993-11-02,3.111111,3.296296,3.111111,3.296296,3.296296,98400
1993-11-03,3.333333,3.370370,3.185185,3.370370,3.370370,22800
1993-11-04,3.370370,3.370370,3.185185,3.222222,3.222222,124200
1993-11-05,3.333333,3.333333,3.203704,3.203704,3.203704,28800
1993-11-08,3.333333,3.333333,3.148148,3.148148,3.148148,5700
1993-11-09,3.148148,3.333333,3.148148,3.148148,3.148148,97200
1993-11-10,3.259259,3.259259,3.074074,3.074074,3.074074,26100
1993-11-11,3.074074,3.074074,3.074074,3.074074,3.074074,3900
1993-11-12,3.148148,3.148148,3.074074,3.074074,3.074074,16200
1993-11-15,3.111111,3.222222,3.074074,3.185185,3.185185,68700
1993-11-16,3.185185,3.185185,3.148148,3.148148,3.148148,83700
1993-11-17,3.037037,3.111111,2.851852,2.888889,2.888889,194700
1993-11-18,2.814815,2.962963,2.814815,2.851852,2.851852,366300
1993-11-19,2.851852,2.851852,2.703704,2.703704,2.703704,16200
1993-11-22,2.703704,2.851852,2.703704,2.703704,2.703704,81300
1993-11-23,2.814815,2.814815,2.518518,2.703704,2.703704,192900
1993-11-24,2.777778,2.777778,2.592592,2.666667,2.666667,5400
1993-11-26,2.777778,2.777778,2.666667,2.666667,2.666667,16200
1993-11-29,2.814815,2.814815,2.740741,2.740741,2.740741,13500
1993-11-30,2.962963,3.074074,2.851852,3.074074,3.074074,769800
1993-12-01,3.074074,3.074074,2.962963,2.981482,2.981482,114600
1993-12-02,3.074074,3.074074,2.888889,3.037037,3.037037,69300
1993-12-03,3.037037,3.037037,2.851852,3.037037,3.037037,153000
1993-12-06,3.037037,3.037037,2.962963,3.037037,3.037037,39600
1993-12-07,3.037037,3.037037,2.962963,3.037037,3.037037,36300
1993-12-08,3.037037,3.037037,2.962963,3.037037,3.037037,74700
1993-12-09,3.037037,3.037037,2.851852,2.962963,2.962963,74700
1993-12-10,2.944444,3.037037,2.851852,2.851852,2.851852,351000
1993-12-13,2.851852,2.851852,2.851852,2.851852,2.851852,13500
1993-12-14,2.907408,3.037037,2.851852,2.851852,2.851852,37800
1993-12-15,3.000000,3.037037,2.851852,2.888889,2.888889,353700
1993-12-16,3.037037,3.037037,2.814815,2.925926,2.925926,209100
1993-12-17,2.851852,3.037037,2.851852,3.037037,3.037037,22800
1993-12-20,2.851852,3.037037,2.851852,3.037037,3.037037,7200
1993-12-21,3.037037,3.037037,2.925926,3.037037,3.037037,126000
1993-12-22,3.037037,3.037037,2.851852,3.037037,3.037037,268500
1993-12-23,3.037037,3.037037,3.037037,3.037037,3.037037,0
1993-12-27,3.037037,3.037037,2.851852,3.037037,3.037037,13800
1993-12-28,3.037037,3.037037,2.925926,3.037037,3.037037,19200
1993-12-29,2.851852,3.037037,2.851852,2.888889,2.888889,227100
1993-12-30,3.037037,3.037037,2.851852,2.962963,2.962963,30900
1993-12-31,3.037037,3.037037,2.888889,2.962963,2.962963,66600
1994-01-03,2.851852,3.037037,2.851852,2.925926,2.925926,270000
1994-01-04,3.037037,3.259259,2.962963,3.259259,3.259259,1008300
1994-01-05,3.259259,3.555556,3.111111,3.518518,3.518518,379800
1994-01-06,3.555556,3.592592,3.370370,3.500000,3.500000,231300
1994-01-07,3.481482,3.481482,3.370370,3.481482,3.481482,29700
1994-01-10,3.481482,3.481482,3.370370,3.407408,3.407408,72000
1994-01-11,3.370370,3.481482,3.222222,3.370370,3.370370,105600
1994-01-12,3.222222,3.518518,3.148148,3.444444,3.444444,361800
1994-01-13,3.370370,3.481482,3.333333,3.481482,3.481482,204300
1994-01-14,3.481482,3.555556,3.370370,3.555556,3.555556,82800
1994-01-17,3.555556,3.740741,3.481482,3.703704,3.703704,82800
1994-01-18,3.574074,3.703704,3.574074,3.703704,3.703704,94500
1994-01-19,3.629630,3.925926,3.629630,3.777778,3.777778,320400
1994-01-20,3.796296,4.000000,3.796296,4.000000,4.000000,124500
1994-01-21,3.851852,4.000000,3.851852,3.925926,3.925926,194700
1994-01-24,3.851852,4.000000,3.851852,4.000000,4.000000,89100
1994-01-25,4.000000,4.000000,3.777778,3.777778,3.777778,126900
1994-01-26,3.777778,3.925926,3.703704,3.703704,3.703704,94800
1994-01-27,3.925926,3.925926,3.722222,3.925926,3.925926,167400
1994-01-28,3.925926,3.925926,3.703704,3.703704,3.703704,61200
