Date,Open,High,Low,Close,Adj Close,Volume
2020-07-01,103.000000,110.879997,100.220001,106.709999,106.709999,8900200
2020-07-02,108.370003,115.720001,108.250000,113.760002,113.760002,6127300
2020-07-06,115.989998,125.260002,115.760002,123.190002,123.190002,7627500
2020-07-07,122.860001,126.394997,118.790001,125.610001,125.610001,3839200
2020-07-08,127.139999,127.595001,122.110001,122.860001,122.860001,2776300
2020-07-09,123.580002,126.165001,122.040001,124.849998,124.849998,1717100
2020-07-10,124.379997,127.949997,124.379997,127.489998,127.489998,1634600
2020-07-13,129.149994,129.149994,121.970001,122.279999,122.279999,1364800
2020-07-14,121.120003,128.360001,120.879997,127.570000,127.570000,3026200
2020-07-15,128.929993,130.699997,125.404999,129.839996,129.839996,1240700
2020-07-16,128.940002,128.990005,121.860001,125.220001,125.220001,1532000
2020-07-17,127.919998,129.149994,123.550003,125.279999,125.279999,1286200
2020-07-20,126.000000,131.929993,125.769997,131.169998,131.169998,2772900
2020-07-21,132.729996,132.990005,127.279999,128.320007,128.320007,1010900
2020-07-22,128.360001,129.190002,125.599998,126.690002,126.690002,1156200
2020-07-23,126.680000,129.580002,123.720001,125.500000,125.500000,963300
2020-07-24,124.440002,126.449997,122.660004,125.790001,125.790001,1081900
2020-07-27,127.000000,129.570007,126.665001,127.800003,127.800003,1671700
2020-07-28,126.279999,127.449997,125.389999,125.959999,125.959999,994100
2020-07-29,127.589996,131.419998,126.910004,130.509995,130.509995,1033900
2020-07-30,129.160004,134.259995,128.800003,132.520004,132.520004,755000
2020-07-31,135.009995,135.039993,130.259995,132.419998,132.419998,844600
2020-08-03,133.539993,135.889999,132.419998,134.020004,134.020004,1020000
2020-08-04,134.199997,134.639999,131.779999,133.850006,133.850006,516800
2020-08-05,134.089996,136.000000,133.785004,133.990005,133.990005,687400
2020-08-06,134.389999,136.018997,131.000000,131.279999,131.279999,497900
2020-08-07,131.000000,134.440002,130.729996,133.050003,133.050003,743300
2020-08-10,133.009995,135.350006,128.399994,131.270004,131.270004,1334500
2020-08-11,129.320007,129.720001,120.629997,120.970001,120.970001,1878300
2020-08-12,123.169998,124.000000,120.980003,123.050003,123.050003,1145900
2020-08-13,123.980003,125.580002,122.000000,124.959999,124.959999,2681900
2020-08-14,124.389999,125.389999,122.610001,123.410004,123.410004,1234200
2020-08-17,123.930000,128.255005,123.930000,126.970001,126.970001,1438800
2020-08-18,128.550003,131.395004,128.339996,128.990005,128.990005,941400
2020-08-19,129.830002,130.929993,126.349998,127.269997,127.269997,890800
2020-08-20,126.940002,128.289993,126.500000,127.099998,127.099998,897600
2020-08-21,127.309998,128.089996,126.639999,127.370003,127.370003,1013800
2020-08-24,129.479996,132.259995,127.559998,130.649994,130.649994,1061500
2020-08-25,130.279999,132.240005,129.029999,130.929993,130.929993,840600
2020-08-26,130.960007,133.600006,130.410004,133.160004,133.160004,797000
2020-08-27,132.800003,133.649994,130.570007,131.089996,131.089996,697300
2020-08-28,132.000000,133.960007,131.000000,132.639999,132.639999,671100
2020-08-31,135.800003,136.360001,131.529999,132.990005,132.990005,1200200
2020-09-01,132.320007,136.679993,132.320007,134.899994,134.899994,780500
2020-09-02,136.429993,137.970001,133.350006,137.460007,137.460007,813600
2020-09-03,136.029999,136.029999,127.809998,129.809998,129.809998,1301000
2020-09-04,128.990005,129.639999,122.410004,126.199997,126.199997,1694500
2020-09-08,122.169998,126.150002,121.040001,121.089996,121.089996,805700
2020-09-09,125.085999,126.690002,122.560997,125.970001,125.970001,1079900
2020-09-10,126.839996,128.750000,123.040001,123.330002,123.330002,932800
2020-09-11,124.650002,124.870003,120.223999,121.910004,121.910004,465600
2020-09-14,123.330002,124.180000,120.790001,121.290001,121.290001,721100
2020-09-15,124.150002,127.989998,123.695000,126.080002,126.080002,1040600
