Date,Open,High,Low,Close,Adj Close,Volume
1981-11-12,3.250000,3.375000,3.250000,3.250000,2.686832,205600
1981-11-13,3.250000,3.375000,3.125000,3.125000,2.583492,55100
1981-11-16,3.125000,3.125000,2.875000,2.875000,2.376813,42600
1981-11-17,3.000000,3.125000,3.000000,3.000000,2.480153,34000
1981-11-18,3.000000,3.125000,3.000000,3.000000,2.480153,54000
1981-11-19,3.250000,3.500000,3.250000,3.250000,2.686832,40000
1981-11-20,3.250000,3.500000,3.125000,3.125000,2.583492,27700
1981-11-23,3.250000,3.500000,3.250000,3.250000,2.686832,34100
1981-11-24,3.375000,3.875000,3.375000,3.375000,2.790172,14900
1981-11-25,3.375000,3.625000,3.250000,3.250000,2.686832,44900
1981-11-27,3.375000,3.875000,3.375000,3.375000,2.790172,24500
1981-11-30,3.375000,3.375000,3.125000,3.125000,2.583492,17800
1981-12-01,3.125000,3.250000,3.000000,3.000000,2.480153,12000
1981-12-02,3.000000,3.250000,3.000000,3.000000,2.480153,5700
1981-12-03,3.000000,3.375000,3.000000,3.000000,2.480153,7700
1981-12-04,3.000000,3.375000,3.000000,3.000000,2.480153,15900
1981-12-07,3.000000,3.375000,3.000000,3.000000,2.480153,9800
1981-12-08,3.000000,3.250000,3.000000,3.000000,2.480153,15400
1981-12-09,3.000000,3.250000,2.875000,2.875000,2.376813,3700
1981-12-10,2.875000,3.125000,2.875000,2.875000,2.376813,3600
1981-12-11,2.875000,3.125000,2.875000,2.875000,2.376813,5400
1981-12-14,2.875000,3.125000,2.875000,2.875000,2.376813,5100
1981-12-15,2.875000,3.000000,2.625000,2.625000,2.170134,1400
1981-12-16,2.875000,3.125000,2.875000,2.875000,2.376813,11300
1981-12-17,2.875000,3.125000,2.875000,2.875000,2.376813,6700
1981-12-18,3.000000,3.250000,3.000000,3.000000,2.480153,19600
1981-12-21,3.000000,3.250000,3.000000,3.000000,2.480153,16900
1981-12-22,3.000000,3.125000,2.875000,2.875000,2.376813,68500
1981-12-23,3.000000,3.250000,3.000000,3.000000,2.480153,11900
1981-12-24,3.000000,3.125000,2.875000,2.875000,2.376813,4700
1981-12-28,2.875000,3.125000,2.875000,2.875000,2.376813,2500
1981-12-29,2.875000,3.125000,2.875000,2.875000,2.376813,3000
1981-12-30,2.875000,3.125000,2.875000,2.875000,2.376813,5300
1981-12-31,2.875000,3.125000,2.875000,2.875000,2.376813,2900
1982-01-04,2.875000,2.875000,2.500000,2.500000,2.066795,15400
1982-01-05,2.500000,2.750000,2.500000,2.500000,2.066795,17400
1982-01-06,2.625000,3.000000,2.625000,2.625000,2.170134,5800
1982-01-07,3.000000,3.250000,3.000000,3.000000,2.480153,52200
1982-01-08,3.250000,3.625000,3.250000,3.250000,2.686832,29600
1982-01-11,3.250000,3.500000,3.125000,3.125000,2.583492,24100
