Date,Open,High,Low,Close,Adj Close,Volume
1992-03-17,4.687500,4.812500,4.687500,4.687500,2.679756,17400
1992-03-18,4.812500,4.812500,4.687500,4.781250,2.733352,17000
1992-03-19,4.812500,4.875000,4.812500,4.875000,2.786945,8000
1992-03-20,4.875000,5.000000,4.875000,5.000000,2.858406,1600
1992-03-23,4.875000,5.000000,4.875000,5.000000,2.858406,5000
1992-03-24,5.062500,5.062500,5.062500,5.062500,2.894136,131800
1992-03-25,5.000000,5.062500,5.000000,5.062500,2.894136,30000
1992-03-26,5.000000,5.125000,5.000000,5.125000,2.929866,4600
1992-03-27,5.187500,5.187500,5.125000,5.125000,2.929866,15000
1992-03-30,5.062500,5.062500,5.000000,5.000000,2.858406,2800
1992-03-31,5.000000,5.062500,5.000000,5.062500,2.894136,4400
1992-04-01,5.062500,5.125000,5.062500,5.125000,2.929866,4400
1992-04-02,5.000000,5.000000,5.000000,5.000000,2.858406,1400
1992-04-03,5.000000,5.000000,4.812500,4.875000,2.786945,1600
1992-04-06,4.875000,5.000000,4.875000,5.000000,2.858406,51000
1992-04-07,4.875000,4.875000,4.812500,4.812500,2.751215,2400
1992-04-08,4.687500,4.687500,4.625000,4.625000,2.644026,3800
1992-04-09,4.687500,4.687500,4.687500,4.687500,2.679756,1800
1992-04-10,4.750000,4.750000,4.687500,4.687500,2.679756,2400
1992-04-13,4.687500,4.687500,4.687500,4.687500,2.679756,2000
1992-04-14,4.562500,4.625000,4.562500,4.625000,2.644026,8600
1992-04-15,4.687500,4.687500,4.625000,4.625000,2.644026,3000
1992-04-16,4.687500,4.687500,4.687500,4.687500,2.679756,4000
1992-04-20,4.625000,4.625000,4.625000,4.625000,2.644026,200
1992-04-21,4.625000,4.625000,4.500000,4.500000,2.572565,7400
1992-04-22,4.562500,4.625000,4.562500,4.625000,2.644026,4200
1992-04-23,4.687500,4.750000,4.687500,4.687500,2.679756,14600
1992-04-24,4.750000,4.750000,4.750000,4.750000,2.715485,19400
1992-04-27,4.750000,4.750000,4.750000,4.750000,2.715485,0
1992-04-28,4.750000,4.875000,4.750000,4.875000,2.786945,8800
1992-04-29,4.812500,4.812500,4.812500,4.812500,2.751215,600
1992-04-30,4.812500,4.812500,4.812500,4.812500,2.751215,1200
1992-05-01,4.812500,4.812500,4.812500,4.812500,2.751215,0
1992-05-04,4.875000,4.875000,4.875000,4.875000,2.786945,200
1992-05-05,4.875000,4.875000,4.875000,4.875000,2.786945,2400
1992-05-06,4.875000,4.875000,4.812500,4.875000,2.786945,4000
1992-05-07,4.875000,4.875000,4.750000,4.812500,2.751215,7800
1992-05-08,4.750000,4.750000,4.750000,4.750000,2.715485,200
1992-05-11,4.750000,4.750000,4.625000,4.625000,2.644026,8000
1992-05-12,4.687500,4.687500,4.562500,4.562500,2.608296,157200
1992-05-13,4.687500,4.687500,4.687500,4.687500,2.679756,400
1992-05-14,4.687500,4.687500,4.687500,4.687500,2.679756,2000
1992-05-15,4.687500,4.687500,4.687500,4.687500,2.679756,1200
1992-05-18,4.562500,4.687500,4.562500,4.687500,2.679756,4600
1992-05-19,4.687500,4.687500,4.687500,4.687500,2.679756,0
1992-05-20,4.687500,4.812500,4.687500,4.812500,2.751215,4600
1992-05-21,4.687500,4.750000,4.687500,4.750000,2.715485,5000
1992-05-22,4.687500,4.687500,4.687500,4.687500,2.679756,200
1992-05-26,4.812500,4.812500,4.812500,4.812500,2.751215,5600
1992-05-27,4.812500,4.812500,4.812500,4.812500,2.751215,0
1992-05-28,4.937500,4.937500,4.937500,4.937500,2.822675,5200
1992-05-29,4.937500,5.250000,4.937500,5.250000,3.001328,9400
1992-06-01,5.250000,5.250000,5.125000,5.125000,2.929866,40000
1992-06-02,5.125000,5.125000,5.125000,5.125000,2.929866,3200
1992-06-03,5.125000,5.187500,5.062500,5.125000,2.929866,10800
1992-06-04,5.125000,5.125000,5.125000,5.125000,2.929866,0
1992-06-05,5.062500,5.125000,5.062500,5.125000,2.929866,3000
1992-06-08,5.062500,5.062500,5.000000,5.062500,2.894136,11000
1992-06-09,5.000000,5.000000,4.812500,4.812500,2.767616,4400
1992-06-10,4.687500,4.812500,4.687500,4.687500,2.695730,49400
1992-06-11,4.625000,4.625000,4.625000,4.625000,2.659789,3400
1992-06-12,4.500000,4.500000,4.500000,4.500000,2.587901,400
1992-06-15,4.625000,4.625000,4.562500,4.562500,2.623845,7400
1992-06-16,4.500000,4.500000,4.500000,4.500000,2.587901,400
1992-06-17,4.562500,4.562500,4.562500,4.562500,2.623845,1400
1992-06-18,4.625000,4.625000,4.625000,4.625000,2.659789,8800
1992-06-19,4.625000,4.625000,4.625000,4.625000,2.659789,200
1992-06-22,4.625000,4.687500,4.625000,4.687500,2.695730,4400
1992-06-23,4.625000,4.625000,4.625000,4.625000,2.659789,1400
1992-06-24,4.625000,4.625000,4.625000,4.625000,2.659789,400
1992-06-25,4.687500,4.687500,4.687500,4.687500,2.695730,23000
1992-06-26,4.625000,4.625000,4.625000,4.625000,2.659789,1800
1992-06-29,4.562500,4.625000,4.562500,4.625000,2.659789,20200
1992-06-30,4.687500,4.687500,4.687500,4.687500,2.695730,1000
1992-07-01,4.687500,4.687500,4.687500,4.687500,2.695730,8400
1992-07-02,4.625000,4.687500,4.625000,4.687500,2.695730,30200
1992-07-06,4.687500,4.687500,4.687500,4.687500,2.695730,400
1992-07-07,4.687500,4.687500,4.625000,4.625000,2.659789,2600
1992-07-08,4.687500,4.687500,4.687500,4.687500,2.695730,800
1992-07-09,4.687500,4.687500,4.687500,4.687500,2.695730,1000
1992-07-10,4.625000,4.687500,4.625000,4.687500,2.695730,2600
1992-07-13,4.625000,4.687500,4.625000,4.687500,2.695730,2600
1992-07-14,4.625000,4.625000,4.625000,4.625000,2.659789,800
1992-07-15,4.687500,4.875000,4.687500,4.875000,2.803559,9000
1992-07-16,5.000000,5.062500,5.000000,5.062500,2.911388,22000
1992-07-17,4.937500,5.000000,4.937500,5.000000,2.875446,5600
1992-07-20,4.875000,4.875000,4.875000,4.875000,2.803559,400
1992-07-21,4.937500,4.937500,4.875000,4.875000,2.803559,800
1992-07-22,4.875000,4.875000,4.875000,4.875000,2.803559,400
