Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,6.144000,6.371555,6.144000,6.144000,3.304304,18200
1980-03-18,6.144000,6.219852,5.992296,5.992296,3.222716,18200
1980-03-19,5.992296,6.144000,5.916444,5.916444,3.181920,18200
1980-03-20,5.916444,6.068148,5.840592,5.840592,3.141126,8800
1980-03-21,5.840592,5.840592,5.613037,5.613037,3.018745,24700
1980-03-24,5.613037,5.840592,5.613037,5.613037,3.018745,5100
1980-03-25,5.613037,5.840592,5.613037,5.613037,3.018745,3700
1980-03-26,5.613037,5.613037,5.385481,5.385481,2.896364,35700
1980-03-27,5.385481,5.461333,5.233778,5.233778,2.814775,10300
1980-03-28,5.309629,5.537185,5.309629,5.309629,2.855570,10300
1980-03-31,5.802667,5.802667,5.461333,5.461333,2.937157,4600
1980-04-01,5.461333,5.802667,5.461333,5.461333,2.937157,100
1980-04-02,5.575111,5.916444,5.575111,5.575111,2.998349,5200
1980-04-03,5.802667,6.144000,5.802667,5.802667,3.120728,4600
1980-04-07,5.802667,6.144000,5.802667,5.802667,3.120728,7100
1980-04-08,5.802667,6.144000,5.802667,5.802667,3.120728,19100
1980-04-09,5.916444,6.257778,5.916444,5.916444,3.181920,100
1980-04-10,6.030222,6.371555,6.030222,6.030222,3.243111,3700
1980-04-11,6.030222,6.371555,6.030222,6.030222,3.243111,2700
1980-04-14,6.030222,6.371555,6.030222,6.030222,3.243111,35700
1980-04-15,6.030222,6.371555,6.030222,6.030222,3.243111,9700
1980-04-16,6.030222,6.371555,6.030222,6.030222,3.243111,37800
1980-04-17,6.030222,6.371555,6.030222,6.030222,3.243111,4100
1980-04-18,6.030222,6.371555,6.030222,6.030222,3.243111,1000
1980-04-21,6.030222,6.030222,5.688889,5.688889,3.059541,12200
1980-04-22,5.688889,6.030222,5.688889,5.688889,3.059541,600
1980-04-23,5.688889,6.030222,5.688889,5.688889,3.059541,5100
1980-04-24,5.688889,6.030222,5.688889,5.688889,3.059541,14000
1980-04-25,5.688889,6.030222,5.688889,5.688889,3.059541,3300
1980-04-28,5.802667,6.144000,5.802667,5.802667,3.120728,6000
1980-04-29,5.802667,6.144000,5.802667,5.802667,3.120728,1000
1980-04-30,5.802667,6.144000,5.802667,5.802667,3.120728,1000
1980-05-01,5.802667,6.030222,5.688889,5.688889,3.059541,12200
1980-05-02,5.688889,5.688889,5.688889,5.688889,3.059541,0
1980-05-05,5.688889,6.030222,5.688889,5.688889,3.059541,4100
1980-05-06,5.688889,6.030222,5.688889,5.688889,3.059541,3700
1980-05-07,5.688889,6.030222,5.688889,5.688889,3.059541,9500
1980-05-08,5.802667,6.144000,5.802667,5.802667,3.120728,5100
1980-05-09,5.802667,6.144000,5.802667,5.802667,3.120728,8500
1980-05-12,5.802667,6.144000,5.802667,5.802667,3.120728,1800
1980-05-13,5.802667,6.144000,5.802667,5.802667,3.120728,1800
1980-05-14,5.802667,5.802667,5.802667,5.802667,3.120728,0
1980-05-15,5.802667,6.030222,5.688889,5.688889,3.059541,1800
1980-05-16,5.688889,5.916444,5.575111,5.575111,2.998349,8800
1980-05-19,5.575111,5.575111,5.233778,5.233778,2.814775,14000
1980-05-20,5.233778,5.575111,5.233778,5.233778,2.814775,1500
1980-05-21,5.233778,5.575111,5.233778,5.233778,2.814775,4100
1980-05-22,5.233778,5.575111,5.233778,5.233778,2.814775,14100
1980-05-23,5.461333,5.802667,5.461333,5.461333,2.937157,15800
1980-05-27,5.461333,5.688889,5.347556,5.347556,2.875967,15100
1980-05-28,5.461333,5.802667,5.461333,5.461333,2.937157,23500
1980-05-29,5.518222,5.859556,5.518222,5.518222,2.967755,2500
1980-05-30,5.575111,5.916444,5.575111,5.575111,2.998349,8100
1980-06-02,5.575111,5.916444,5.575111,5.575111,2.998349,4100
1980-06-03,5.688889,6.030222,5.688889,5.688889,3.059541,5200
1980-06-04,5.688889,6.030222,5.688889,5.688889,3.059541,30600
1980-06-05,5.916444,6.257778,5.916444,5.916444,3.181920,43200
1980-06-06,5.916444,6.257778,5.916444,5.916444,3.181920,15600
1980-06-09,5.916444,6.144000,5.802667,5.802667,3.120728,8100
1980-06-10,5.802667,6.144000,5.802667,5.802667,3.120728,15600
1980-06-11,5.802667,6.144000,5.802667,5.802667,3.120728,8500
1980-06-12,5.802667,6.144000,5.802667,5.802667,3.120728,1500
1980-06-13,5.802667,6.087111,5.745778,5.745778,3.090132,4600
1980-06-16,5.745778,6.030222,5.688889,5.688889,3.059541,19300
1980-06-17,5.688889,6.030222,5.688889,5.688889,3.059541,8500
1980-06-18,5.688889,6.030222,5.688889,5.688889,3.059541,2500
1980-06-19,5.688889,6.030222,5.688889,5.688889,3.059541,1500
1980-06-20,5.688889,6.030222,5.688889,5.688889,3.059541,19300
1980-06-23,5.688889,6.030222,5.688889,5.688889,3.059541,9700
1980-06-24,5.688889,6.030222,5.688889,5.688889,3.059541,1800
1980-06-25,5.688889,6.030222,5.688889,5.688889,3.059541,4600
1980-06-26,5.688889,6.030222,5.688889,5.688889,3.059541,1500
1980-06-27,5.688889,5.688889,5.688889,5.688889,3.059541,0
1980-06-30,5.688889,6.030222,5.688889,5.688889,3.059541,7100
1980-07-01,5.916444,6.257778,5.916444,5.916444,3.181920,103500
1980-07-02,6.030222,6.371555,6.030222,6.030222,3.243111,600
1980-07-03,6.030222,6.371555,6.030222,6.030222,3.243111,18200
