Date,Open,High,Low,Close,Adj Close,Volume
1994-03-28,4.924699,5.039227,4.695643,4.810171,1.302964,1190200
1994-03-29,4.924699,4.924699,4.581115,4.581115,1.240919,718400
1994-03-30,4.695643,4.695643,4.581115,4.695643,1.271941,427400
1994-03-31,4.581115,4.695643,4.581115,4.638379,1.256430,166700
1994-04-04,4.695643,4.695643,4.466588,4.695643,1.271941,217900
1994-04-05,4.695643,4.695643,4.581115,4.638379,1.256430,155300
1994-04-06,4.638379,4.810171,4.638379,4.810171,1.302964,59600
1994-04-07,4.810171,4.810171,4.581115,4.695643,1.271941,35700
1994-04-08,4.810171,4.810171,4.638379,4.695643,1.271941,197000
1994-04-11,4.638379,4.810171,4.638379,4.695643,1.271941,93900
1994-04-12,4.810171,4.810171,4.581115,4.638379,1.256430,18600
1994-04-13,4.695643,4.695643,4.581115,4.638379,1.256430,12200
1994-04-14,4.695643,4.695643,4.695643,4.695643,1.271941,200
1994-04-15,4.581115,4.581115,4.466588,4.523851,1.225407,32700
1994-04-18,4.466588,4.581115,4.466588,4.466588,1.209895,63300
1994-04-19,4.466588,4.466588,4.466588,4.466588,1.209895,0
1994-04-20,4.523851,4.523851,4.523851,4.523851,1.225407,1100
1994-04-21,4.638379,4.638379,4.523851,4.523851,1.225407,4200
1994-04-22,4.523851,4.523851,4.523851,4.523851,1.225407,0
1994-04-25,4.581115,4.695643,4.581115,4.581115,1.240919,16700
1994-04-26,4.466588,4.695643,4.466588,4.638379,1.256430,6300
1994-04-28,4.523851,4.638379,4.523851,4.638379,1.256430,3700
1994-04-29,4.638379,4.638379,4.466588,4.523851,1.225407,37700
1994-05-02,4.581115,4.581115,4.466588,4.581115,1.240919,20500
1994-05-03,4.581115,4.581115,4.523851,4.581115,1.240919,117000
1994-05-04,4.581115,4.638379,4.466588,4.581115,1.240919,39500
1994-05-05,4.638379,4.638379,4.638379,4.638379,1.256430,4100
1994-05-06,4.581115,4.695643,4.581115,4.638379,1.256430,62800
1994-05-09,4.581115,4.638379,4.581115,4.581115,1.240919,40000
1994-05-10,4.523851,4.638379,4.523851,4.581115,1.240919,37100
