Date,Open,High,Low,Close,Adj Close,Volume
1985-03-12,2.587654,2.607407,2.587654,2.587654,1.210826,4779000
1985-03-13,2.469136,2.469136,2.449383,2.449383,1.146125,998300
1985-03-14,2.528395,2.567901,2.528395,2.528395,1.183097,683600
1985-03-15,2.686420,2.725926,2.686420,2.686420,1.257040,483700
1985-03-18,2.587654,2.587654,2.548148,2.548148,1.192340,361800
1985-03-19,2.607407,2.666667,2.607407,2.607407,1.220068,615300
1985-03-20,2.587654,2.587654,2.567901,2.567901,1.201583,336800
1985-03-21,2.567901,2.567901,2.528395,2.528395,1.183097,210300
1985-03-22,2.528395,2.548148,2.528395,2.528395,1.183097,252100
1985-03-25,2.508642,2.508642,2.469136,2.469136,1.155368,283500
1985-03-26,2.488889,2.508642,2.488889,2.488889,1.164611,123100
1985-03-27,2.548148,2.587654,2.548148,2.548148,1.192340,286200
1985-03-28,2.567901,2.587654,2.567901,2.567901,1.201583,211100
1985-03-29,2.587654,2.627161,2.587654,2.587654,1.210826,86000
1985-04-01,2.646914,2.666667,2.646914,2.646914,1.238554,115500
1985-04-02,2.666667,2.686420,2.666667,2.666667,1.247797,206000
1985-04-03,2.627161,2.627161,2.607407,2.607407,1.220068,175600
1985-04-04,2.607407,2.607407,2.587654,2.587654,1.210826,77600
1985-04-08,2.587654,2.587654,2.587654,2.587654,1.210826,0
1985-04-09,2.508642,2.508642,2.488889,2.488889,1.164611,121500
1985-04-10,2.548148,2.587654,2.548148,2.548148,1.192340,200200
1985-04-11,2.627161,2.646914,2.627161,2.627161,1.229312,162000
1985-04-12,2.627161,2.666667,2.627161,2.627161,1.229312,168700
1985-04-15,2.666667,2.725926,2.666667,2.666667,1.247797,155300
1985-04-16,2.824691,2.864197,2.824691,2.824691,1.321741,264800
1985-04-17,2.883951,2.903704,2.883951,2.883951,1.349469,212700
1985-04-18,2.943210,2.962963,2.943210,2.943210,1.377199,161000
1985-04-19,2.982716,3.022222,2.982716,2.982716,1.395685,236300
1985-04-22,2.982716,3.022222,2.982716,2.982716,1.395685,68200
1985-04-23,3.120988,3.140741,3.120988,3.120988,1.460385,199800
1985-04-24,3.101235,3.101235,3.061728,3.061728,1.432656,167200
1985-04-25,3.061728,3.081481,3.061728,3.061728,1.432656,151800
1985-04-26,3.002469,3.002469,2.962963,2.962963,1.386441,842700
1985-04-29,2.923457,2.923457,2.883951,2.883951,1.349469,149200
1985-04-30,2.864197,2.864197,2.844445,2.844445,1.330984,284600
1985-05-01,2.844445,2.844445,2.804938,2.804938,1.312498,113700
1985-05-02,2.804938,2.824691,2.785185,2.785185,1.303255,48300
1985-05-03,2.785185,2.824691,2.785185,2.785185,1.303255,47200
1985-05-06,2.824691,2.844445,2.824691,2.824691,1.321741,258300
1985-05-07,2.765432,2.765432,2.725926,2.725926,1.275526,163600
1985-05-08,2.745679,2.785185,2.745679,2.745679,1.284769,96100
1985-05-09,2.765432,2.804938,2.765432,2.765432,1.294011,95200
1985-05-10,2.864197,2.883951,2.864197,2.864197,1.340227,233000
1985-05-13,2.864197,2.883951,2.864197,2.864197,1.340227,69800
1985-05-14,2.864197,2.903704,2.864197,2.864197,1.340227,40600
1985-05-15,2.962963,3.002469,2.962963,2.962963,1.386441,224300
1985-05-16,3.061728,3.081481,3.061728,3.061728,1.432656,148500
1985-05-17,3.081481,3.101235,3.081481,3.081481,1.441900,140700
1985-05-20,3.101235,3.120988,3.101235,3.101235,1.451142,208600
1985-05-21,3.101235,3.120988,3.101235,3.101235,1.451142,75000
1985-05-22,3.101235,3.101235,3.041975,3.041975,1.423414,124200
1985-05-23,3.041975,3.041975,3.002469,3.022222,1.414170,80000
1985-05-24,3.022222,3.041975,3.002469,3.002469,1.404928,10200
1985-05-28,3.002469,3.022222,2.962963,2.982716,1.395685,31500
1985-05-29,2.982716,2.982716,2.943210,2.943210,1.377199,30500
1985-05-30,2.943210,2.962963,2.943210,2.943210,1.377199,56700
1985-05-31,2.943210,2.982716,2.943210,2.943210,1.377199,72000
1985-06-03,2.962963,3.002469,2.962963,2.962963,1.386441,92200
1985-06-04,2.962963,2.982716,2.943210,2.982716,1.395685,101300
1985-06-05,2.982716,2.982716,2.962963,2.962963,1.386441,37100
1985-06-06,2.962963,2.962963,2.962963,2.962963,1.386441,20200
1985-06-07,2.962963,2.962963,2.923457,2.923457,1.367955,96300
1985-06-10,2.923457,2.943210,2.883951,2.883951,1.349469,31500
1985-06-11,2.883951,2.923457,2.844445,2.844445,1.330984,37100
1985-06-12,2.844445,2.844445,2.804938,2.804938,1.312498,78700
1985-06-13,2.804938,2.844445,2.785185,2.785185,1.303255,35600
1985-06-14,2.804938,2.824691,2.804938,2.804938,1.312498,7800
1985-06-17,2.804938,2.804938,2.785185,2.785185,1.303255,23000
1985-06-18,2.785185,2.824691,2.785185,2.785185,1.303255,8600
1985-06-19,2.785185,2.824691,2.785185,2.785185,1.303255,7500
1985-06-20,2.785185,2.824691,2.785185,2.824691,1.321741,9100
1985-06-21,2.824691,2.824691,2.785185,2.785185,1.303255,18700
1985-06-24,2.785185,2.844445,2.785185,2.804938,1.312498,38200
1985-06-25,2.844445,2.923457,2.844445,2.864197,1.340227,157100
1985-06-26,2.864197,2.903704,2.864197,2.864197,1.340227,6100
1985-06-27,2.903704,2.982716,2.903704,2.962963,1.386441,74300
1985-06-28,2.962963,2.982716,2.962963,2.982716,1.395685,23700
1985-07-01,2.982716,3.022222,2.962963,2.982716,1.395685,129300
1985-07-02,3.022222,3.061728,3.022222,3.061728,1.432656,127600
1985-07-03,3.061728,3.081481,3.022222,3.061728,1.432656,129300
1985-07-05,3.081481,3.120988,3.081481,3.101235,1.451142,121500
1985-07-08,3.120988,3.160494,3.120988,3.160494,1.478872,97200
1985-07-09,3.160494,3.200000,3.160494,3.160494,1.478872,159700
1985-07-10,3.160494,3.377778,3.160494,3.318518,1.552815,185700
1985-07-11,3.318518,3.417284,3.298765,3.338272,1.562057,194000
1985-07-12,3.338272,3.377778,3.338272,3.338272,1.562057,162000
1985-07-15,3.338272,3.358025,3.279012,3.279012,1.534328,58500
1985-07-16,3.279012,3.298765,3.259259,3.279012,1.534328,58500
1985-07-17,3.298765,3.377778,3.298765,3.338272,1.562057,41600
1985-07-18,3.338272,3.496296,3.338272,3.456790,1.617516,175600
1985-07-19,3.476543,3.614815,3.476543,3.595062,1.682215,424200
1985-07-22,3.634568,3.792593,3.634568,3.753086,1.756159,141700
1985-07-23,3.753086,3.950617,3.753086,3.871605,1.811617,228000
1985-07-24,3.871605,3.871605,3.812346,3.851852,1.802374,102300
1985-07-25,3.851852,3.911111,3.832099,3.871605,1.811617,35600
1985-07-26,3.871605,3.911111,3.871605,3.871605,1.811617,17600
1985-07-29,3.871605,3.911111,3.851852,3.851852,1.802374,111300
1985-07-30,3.851852,3.871605,3.832099,3.832099,1.793131,31500
1985-07-31,3.832099,3.911111,3.832099,3.911111,1.830102,39500
1985-08-01,3.930864,4.049383,3.930864,4.009877,1.876317,62300
1985-08-02,4.009877,4.029630,3.990124,4.009877,1.876317,44000
1985-08-05,3.990124,3.990124,3.891358,3.891358,1.820859,53000
1985-08-06,3.891358,3.891358,3.792593,3.792593,1.774645,107300
1985-08-07,3.792593,3.792593,3.634568,3.654321,1.709944,121600
1985-08-08,3.654321,3.693827,3.654321,3.654321,1.709944,33100
1985-08-09,3.654321,3.693827,3.654321,3.693827,1.728430,70800
1985-08-12,3.693827,3.693827,3.634568,3.634568,1.700701,24300
1985-08-13,3.634568,3.634568,3.575309,3.575309,1.672973,27700
1985-08-14,3.575309,3.575309,3.555556,3.555556,1.663730,37800
1985-08-15,3.555556,3.575309,3.358025,3.358025,1.571300,174500
1985-08-16,3.298765,3.298765,3.219753,3.259259,1.525086,155300
1985-08-19,3.259259,3.298765,3.259259,3.259259,1.525086,14200
1985-08-20,3.259259,3.298765,3.259259,3.259259,1.525086,22600
1985-08-21,3.298765,3.377778,3.298765,3.358025,1.571300,55600
1985-08-22,3.358025,3.417284,3.318518,3.358025,1.571300,54100
1985-08-23,3.358025,3.397531,3.338272,3.397531,1.589787,42800
1985-08-26,3.397531,3.397531,3.338272,3.338272,1.562057,23700
1985-08-27,3.338272,3.358025,3.318518,3.358025,1.571300,10100
1985-08-28,3.358025,3.358025,3.298765,3.338272,1.562057,28100
1985-08-29,3.338272,3.338272,3.298765,3.298765,1.543571,6700
1985-08-30,3.298765,3.338272,3.279012,3.279012,1.534328,5000
1985-09-03,3.407408,3.407408,3.318518,3.318518,1.552815,26000
1985-09-04,3.348148,3.348148,3.348148,3.348148,1.566678,5000
1985-09-05,3.348148,3.348148,3.288889,3.348148,1.566678,11700
1985-09-06,3.318518,3.318518,3.288889,3.318518,1.552815,25500
1985-09-09,3.318518,3.318518,3.259259,3.259259,1.525086,26300
1985-09-10,3.259259,3.259259,3.140741,3.140741,1.469628,22100
1985-09-11,3.140741,3.140741,3.022222,3.022222,1.414170,21800
1985-09-12,3.022222,3.081481,2.962963,2.962963,1.386441,19200
1985-09-13,2.962963,3.022222,2.933333,3.022222,1.414170,15300
1985-09-16,3.022222,3.022222,2.933333,2.992593,1.400306,17600
1985-09-17,2.992593,2.992593,2.696296,2.755556,1.289391,82600
1985-09-18,2.755556,2.785185,2.637037,2.725926,1.275526,51300
1985-09-19,2.725926,2.814815,2.666667,2.755556,1.289391,40500
1985-09-20,2.755556,2.814815,2.696296,2.696296,1.261662,203200
1985-09-23,2.696296,2.814815,2.696296,2.814815,1.317120,34500
1985-09-24,2.814815,2.814815,2.755556,2.814815,1.317120,30500
1985-09-25,2.814815,2.844445,2.814815,2.844445,1.330984,43800
1985-09-26,2.844445,2.844445,2.785185,2.785185,1.303255,17600
1985-09-30,2.844445,2.962963,2.844445,2.933333,1.372577,53000
1985-10-01,2.962963,3.170370,2.962963,3.170370,1.483492,80000
1985-10-02,3.170370,3.170370,3.140741,3.140741,1.469628,18000
1985-10-03,3.140741,3.200000,3.111111,3.140741,1.469628,59200
1985-10-04,3.140741,3.170370,3.111111,3.111111,1.455764,69300
1985-10-07,3.111111,3.140741,3.081481,3.081481,1.441900,32700
1985-10-08,3.081481,3.140741,3.081481,3.140741,1.469628,11700
1985-10-09,3.140741,3.140741,3.081481,3.081481,1.441900,15800
1985-10-10,3.081481,3.318518,3.081481,3.318518,1.552815,51300
1985-10-11,3.318518,3.318518,3.259259,3.259259,1.525086,16800
1985-10-14,3.318518,3.377778,3.318518,3.377778,1.580543,3500
1985-10-15,3.377778,3.437037,3.348148,3.377778,1.580543,44600
1985-10-16,3.377778,3.437037,3.377778,3.437037,1.608271,20300
1985-10-17,3.437037,3.496296,3.437037,3.466667,1.622137,31500
1985-10-18,3.466667,3.496296,3.437037,3.437037,1.608271,39500
1985-10-21,3.437037,3.466667,3.407408,3.407408,1.594407,38200
