Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,3.592592,3.740741,3.592592,3.592592,0.506519,3300
1980-03-18,3.592592,3.740741,3.592592,3.592592,0.506519,7300
1980-03-19,3.629630,3.777778,3.629630,3.629630,0.511740,9600
1980-03-20,3.629630,3.777778,3.629630,3.629630,0.511740,4000
1980-03-21,3.629630,3.777778,3.629630,3.629630,0.511740,4600
1980-03-24,3.629630,3.740741,3.592592,3.592592,0.506519,6900
1980-03-25,3.592592,3.740741,3.592592,3.592592,0.506519,8200
1980-03-26,3.629630,3.777778,3.629630,3.629630,0.511740,7600
1980-03-27,3.592592,3.592592,3.444444,3.444444,0.485631,27600
1980-03-28,3.481482,3.629630,3.481482,3.481482,0.490853,5500
1980-03-31,3.518518,3.666667,3.518518,3.518518,0.496075,9400
1980-04-01,3.555556,3.703704,3.555556,3.555556,0.501296,8700
1980-04-02,3.592592,3.740741,3.592592,3.592592,0.506519,10300
1980-04-03,3.629630,3.777778,3.629630,3.629630,0.511740,12300
1980-04-07,3.666667,3.814815,3.666667,3.666667,0.516962,14400
1980-04-08,3.666667,3.814815,3.666667,3.666667,0.516962,10900
1980-04-09,3.703704,3.851852,3.703704,3.703704,0.522184,15700
1980-04-10,3.851852,4.000000,3.851852,3.851852,0.543071,24400
1980-04-11,4.000000,4.148148,4.000000,4.000000,0.563959,27600
1980-04-14,4.000000,4.148148,4.000000,4.000000,0.563959,13600
1980-04-15,4.000000,4.148148,4.000000,4.000000,0.563959,14400
1980-04-16,4.074074,4.222222,4.074074,4.074074,0.574402,27000
1980-04-17,4.111111,4.259259,4.111111,4.111111,0.579624,24400
1980-04-18,4.185185,4.333333,4.185185,4.185185,0.590068,40000
1980-04-21,4.185185,4.333333,4.185185,4.185185,0.590068,10800
1980-04-22,4.296296,4.444445,4.296296,4.296296,0.605733,37900
1980-04-23,4.370370,4.518518,4.370370,4.370370,0.616177,43200
1980-04-24,4.370370,4.518518,4.370370,4.370370,0.616177,6000
1980-04-25,4.370370,4.518518,4.370370,4.370370,0.616177,16800
1980-04-28,4.370370,4.518518,4.370370,4.370370,0.616177,3300
1980-04-29,4.370370,4.518518,4.370370,4.370370,0.616177,12700
1980-04-30,4.370370,4.518518,4.370370,4.370370,0.616177,17700
1980-05-01,4.407407,4.555555,4.407407,4.407407,0.621399,14100
1980-05-02,4.444445,4.592593,4.444445,4.444445,0.626621,11700
1980-05-05,4.444445,4.592593,4.444445,4.444445,0.626621,8100
1980-05-06,4.518518,4.666667,4.518518,4.518518,0.637064,18100
1980-05-07,4.555555,4.703704,4.555555,4.555555,0.642286,11700
1980-05-08,4.555555,4.666667,4.518518,4.518518,0.637064,24300
1980-05-09,4.518518,4.666667,4.518518,4.518518,0.637064,8200
1980-05-12,4.518518,4.666667,4.518518,4.518518,0.637064,11700
1980-05-13,4.518518,4.666667,4.518518,4.518518,0.637064,7300
1980-05-14,4.518518,4.666667,4.518518,4.518518,0.637064,6300
1980-05-15,4.518518,4.555555,4.407407,4.407407,0.621399,39300
1980-05-16,4.444445,4.592593,4.444445,4.444445,0.626621,20200
1980-05-19,4.444445,4.592593,4.444445,4.444445,0.626621,9000
1980-05-20,4.444445,4.592593,4.444445,4.444445,0.626621,6000
1980-05-21,4.444445,4.555555,4.407407,4.407407,0.621399,8200
1980-05-22,4.407407,4.555555,4.407407,4.407407,0.621399,8200
1980-05-23,4.444445,4.592593,4.444445,4.444445,0.626621,20200
1980-05-27,4.444445,4.555555,4.407407,4.407407,0.621399,10800
1980-05-28,4.407407,4.518518,4.370370,4.370370,0.616177,13500
1980-05-29,4.370370,4.518518,4.370370,4.370370,0.616177,7600
1980-05-30,4.370370,4.518518,4.370370,4.370370,0.616177,9400
1980-06-02,4.407407,4.555555,4.407407,4.407407,0.621399,19000
1980-06-03,4.444445,4.592593,4.444445,4.444445,0.626621,16800
1980-06-04,4.481482,4.629630,4.481482,4.481482,0.631843,11400
1980-06-05,4.481482,4.629630,4.481482,4.481482,0.631843,10800
1980-06-06,4.481482,4.629630,4.481482,4.481482,0.631843,1500
1980-06-09,4.481482,4.629630,4.481482,4.481482,0.631843,15700
1980-06-10,4.481482,4.629630,4.481482,4.481482,0.631843,5400
1980-06-11,4.481482,4.629630,4.481482,4.481482,0.631843,17500
1980-06-12,4.481482,4.629630,4.481482,4.481482,0.631843,52600
1980-06-13,4.518518,4.666667,4.518518,4.518518,0.637064,15000
1980-06-16,4.518518,4.666667,4.518518,4.518518,0.637064,15400
1980-06-17,4.555555,4.703704,4.555555,4.555555,0.642286,20800
1980-06-18,4.592593,4.740741,4.592593,4.592593,0.647508,22900
1980-06-19,4.592593,4.740741,4.592593,4.592593,0.647508,7600
1980-06-20,4.592593,4.740741,4.592593,4.592593,0.647508,11700
1980-06-23,4.592593,4.740741,4.592593,4.592593,0.647508,9600
1980-06-24,4.592593,4.740741,4.592593,4.592593,0.647508,15400
1980-06-25,4.629630,4.777778,4.629630,4.629630,0.652730,12700
1980-06-26,4.629630,4.740741,4.592593,4.592593,0.647508,21600
1980-06-27,4.592593,4.740741,4.592593,4.592593,0.647508,10800
1980-06-30,4.592593,4.666667,4.518518,4.518518,0.637064,16200
1980-07-01,4.518518,4.666667,4.518518,4.518518,0.637064,8200
1980-07-02,4.518518,4.666667,4.518518,4.518518,0.637064,19500
1980-07-03,4.518518,4.666667,4.518518,4.518518,0.637064,8100
1980-07-07,4.592593,4.629630,4.592593,4.592593,0.647508,8100
1980-07-08,4.592593,4.629630,4.555555,4.555555,0.642286,9600
1980-07-09,4.555555,4.592593,4.555555,4.555555,0.642286,6000
1980-07-10,4.555555,4.592593,4.555555,4.555555,0.642286,6300
1980-07-11,4.555555,4.592593,4.555555,4.555555,0.642286,9600
1980-07-14,4.555555,4.592593,4.555555,4.555555,0.642286,12300
1980-07-15,4.555555,4.592593,4.555555,4.555555,0.642286,20800
1980-07-16,4.555555,4.592593,4.555555,4.555555,0.642286,9400
1980-07-17,4.555555,4.592593,4.555555,4.555555,0.642286,4000
1980-07-18,4.555555,4.592593,4.555555,4.555555,0.642286,25200
1980-07-21,4.555555,4.592593,4.518518,4.518518,0.637064,12300
1980-07-22,4.518518,4.555555,4.481482,4.481482,0.631843,10000
1980-07-23,4.481482,4.555555,4.481482,4.481482,0.631843,4200
1980-07-24,4.481482,4.518518,4.481482,4.481482,0.631843,7300
1980-07-25,4.481482,4.481482,4.407407,4.407407,0.621399,19800
1980-07-28,4.407407,4.481482,4.407407,4.407407,0.621399,15000
1980-07-29,4.407407,4.444445,4.333333,4.333333,0.610955,17700
1980-07-30,4.333333,4.444445,4.333333,4.333333,0.610955,100
1980-07-31,4.333333,4.333333,4.259259,4.259259,0.600512,31000
1980-08-01,4.259259,4.259259,4.148148,4.148148,0.584846,29700
1980-08-04,4.148148,4.222222,4.111111,4.111111,0.579624,7300
1980-08-05,4.111111,4.222222,4.111111,4.111111,0.579624,7600
1980-08-06,4.148148,4.222222,4.148148,4.148148,0.584846,11700
1980-08-07,4.222222,4.296296,4.222222,4.222222,0.595289,17500
1980-08-08,4.259259,4.296296,4.259259,4.259259,0.600512,19800
1980-08-11,4.259259,4.333333,4.259259,4.259259,0.600512,13000
1980-08-12,4.259259,4.333333,4.259259,4.259259,0.600512,15700
1980-08-13,4.259259,4.333333,4.259259,4.259259,0.600512,9400
1980-08-14,4.259259,4.333333,4.259259,4.259259,0.600512,1500
1980-08-15,4.259259,4.333333,4.259259,4.259259,0.600512,3600
1980-08-18,4.259259,4.333333,4.259259,4.259259,0.600512,25200
1980-08-19,4.259259,4.296296,4.259259,4.259259,0.600512,23100
1980-08-20,4.259259,4.259259,4.185185,4.185185,0.590068,13500
1980-08-21,4.185185,4.259259,4.185185,4.185185,0.590068,12300
1980-08-22,4.185185,4.259259,4.185185,4.185185,0.590068,2800
1980-08-25,4.185185,4.259259,4.185185,4.185185,0.590068,16800
1980-08-26,4.185185,4.185185,4.111111,4.111111,0.579624,22200
1980-08-27,4.111111,4.185185,4.111111,4.111111,0.579624,8100
1980-08-28,4.111111,4.148148,4.074074,4.074074,0.574402,15700
1980-08-29,4.074074,4.111111,4.037037,4.037037,0.569180,14400
1980-09-02,4.037037,4.111111,4.037037,4.037037,0.569180,8100
1980-09-03,4.148148,4.222222,4.148148,4.148148,0.584846,25600
1980-09-04,4.148148,4.148148,4.111111,4.111111,0.579624,24900
1980-09-05,4.111111,4.111111,4.074074,4.074074,0.574402,31900
1980-09-08,4.074074,4.111111,4.037037,4.037037,0.569180,12700
1980-09-09,4.037037,4.111111,4.037037,4.037037,0.569180,28300
1980-09-10,4.037037,4.074074,4.000000,4.000000,0.563959,6900
1980-09-11,4.037037,4.111111,4.037037,4.037037,0.569180,10900
1980-09-12,4.074074,4.148148,4.074074,4.074074,0.574402,8100
1980-09-15,4.074074,4.148148,4.074074,4.074074,0.574402,6000
1980-09-16,4.074074,4.148148,4.074074,4.074074,0.574402,14100
1980-09-17,4.074074,4.148148,4.074074,4.074074,0.574402,9400
1980-09-18,4.111111,4.185185,4.111111,4.111111,0.579624,21600
1980-09-19,4.111111,4.148148,4.111111,4.111111,0.579624,8100
1980-09-22,4.111111,4.111111,4.074074,4.074074,0.574402,24900
1980-09-23,4.074074,4.111111,4.037037,4.037037,0.569180,4000
1980-09-24,4.037037,4.111111,4.037037,4.037037,0.569180,4200
1980-09-25,4.037037,4.111111,4.037037,4.037037,0.569180,7600
1980-09-26,4.037037,4.111111,4.037037,4.037037,0.569180,10800
1980-09-29,4.037037,4.074074,4.000000,4.000000,0.563959,20800
1980-09-30,4.000000,4.074074,4.000000,4.000000,0.563959,14400
1980-10-01,4.000000,4.074074,4.000000,4.000000,0.563959,10900
1980-10-02,4.000000,4.074074,4.000000,4.000000,0.563959,10900
1980-10-03,4.000000,4.074074,4.000000,4.000000,0.563959,7300
1980-10-06,4.111111,4.185185,4.111111,4.111111,0.579624,22500
1980-10-07,4.259259,4.370370,4.259259,4.259259,0.600512,24300
1980-10-08,4.259259,4.333333,4.259259,4.259259,0.600512,6000
1980-10-09,4.259259,4.370370,4.259259,4.259259,0.600512,2800
1980-10-10,4.259259,4.370370,4.259259,4.259259,0.600512,8100
1980-10-13,4.259259,4.370370,4.259259,4.259259,0.600512,2800
1980-10-14,4.259259,4.370370,4.259259,4.259259,0.600512,4000
1980-10-15,4.296296,4.370370,4.296296,4.296296,0.605733,8200
1980-10-16,4.296296,4.370370,4.296296,4.296296,0.605733,9000
1980-10-17,4.296296,4.296296,4.259259,4.259259,0.600512,14800
1980-10-20,4.259259,4.296296,4.222222,4.222222,0.595289,7300
1980-10-21,4.222222,4.259259,4.148148,4.148148,0.584846,6300
1980-10-22,4.185185,4.222222,4.185185,4.185185,0.590068,13500
1980-10-23,4.148148,4.148148,4.111111,4.111111,0.579624,10900
1980-10-24,4.111111,4.148148,4.074074,4.074074,0.574402,13600
1980-10-27,4.074074,4.148148,4.037037,4.037037,0.569180,900
1980-10-28,4.037037,4.111111,4.000000,4.000000,0.563959,12300
1980-10-29,4.000000,4.074074,4.000000,4.000000,0.563959,4200
1980-10-30,4.000000,4.074074,4.000000,4.000000,0.563959,6000
1980-10-31,4.000000,4.074074,4.000000,4.000000,0.563959,8700
1980-11-03,4.000000,4.074074,4.000000,4.000000,0.563959,9400
1980-11-05,4.000000,4.074074,4.000000,4.000000,0.563959,15700
1980-11-06,4.000000,4.037037,4.000000,4.000000,0.563959,6900
1980-11-07,4.000000,4.000000,3.962963,3.962963,0.558737,19500
1980-11-10,3.962963,4.000000,3.962963,3.962963,0.558737,24400
1980-11-11,3.962963,4.000000,3.925926,3.925926,0.553515,9400
1980-11-12,3.962963,4.037037,3.962963,3.962963,0.558737,22500
1980-11-13,4.000000,4.074074,4.000000,4.000000,0.563959,17500
1980-11-14,4.037037,4.074074,4.037037,4.037037,0.569180,3600
1980-11-17,4.037037,4.074074,4.037037,4.037037,0.569180,10800
1980-11-18,4.037037,4.074074,4.000000,4.000000,0.563959,4900
1980-11-19,4.000000,4.037037,4.000000,4.000000,0.563959,26500
1980-11-20,4.000000,4.000000,3.962963,3.962963,0.558737,23500
1980-11-21,3.814815,3.814815,3.740741,3.740741,0.527406,43800
1980-11-24,3.740741,3.740741,3.666667,3.666667,0.516962,18100
1980-11-25,3.666667,3.740741,3.666667,3.666667,0.516962,14100
1980-11-26,3.666667,3.740741,3.666667,3.666667,0.516962,13500
1980-11-28,3.666667,3.740741,3.666667,3.666667,0.516962,24400
1980-12-01,3.703704,3.740741,3.703704,3.703704,0.522184,22200
1980-12-02,3.703704,3.740741,3.666667,3.666667,0.516962,29700
1980-12-03,3.703704,3.740741,3.703704,3.703704,0.522184,27100
1980-12-04,3.703704,3.703704,3.666667,3.666667,0.516962,9000
1980-12-05,3.703704,3.740741,3.703704,3.703704,0.522184,34300
1980-12-08,3.703704,3.703704,3.666667,3.666667,0.516962,18100
1980-12-09,3.666667,3.703704,3.666667,3.666667,0.516962,37800
1980-12-10,3.666667,3.666667,3.629630,3.629630,0.511740,8100
1980-12-11,3.592592,3.592592,3.518518,3.518518,0.496075,17500
1980-12-12,3.518518,3.592592,3.518518,3.518518,0.496075,13500
1980-12-15,3.518518,3.555556,3.518518,3.518518,0.496075,15400
1980-12-16,3.555556,3.592592,3.555556,3.555556,0.501296,29700
1980-12-17,3.629630,3.703704,3.629630,3.629630,0.511740,33700
1980-12-18,3.740741,3.777778,3.740741,3.740741,0.527406,40500
1980-12-19,4.037037,4.074074,4.037037,4.037037,0.569180,58200
1980-12-22,4.074074,4.185185,4.074074,4.074074,0.574402,60900
1980-12-23,4.111111,4.148148,4.111111,4.111111,0.579624,34600
1980-12-24,4.111111,4.148148,4.037037,4.037037,0.569180,19500
1980-12-26,4.037037,4.111111,4.037037,4.037037,0.569180,4200
1980-12-29,4.074074,4.148148,4.074074,4.074074,0.574402,18900
1980-12-30,4.074074,4.148148,4.074074,4.074074,0.574402,10800
1980-12-31,4.074074,4.148148,4.074074,4.074074,0.574402,14100
1981-01-02,4.074074,4.148148,4.074074,4.074074,0.574402,9400
1981-01-05,4.074074,4.148148,4.074074,4.074074,0.574402,12100
1981-01-06,4.111111,4.185185,4.111111,4.111111,0.579624,15400
1981-01-07,4.037037,4.037037,4.000000,4.000000,0.563959,47800
1981-01-08,4.037037,4.074074,4.037037,4.037037,0.569180,7600
1981-01-09,4.037037,4.111111,4.037037,4.037037,0.569180,14100
1981-01-12,4.037037,4.111111,4.037037,4.037037,0.569180,6700
1981-01-13,4.074074,4.111111,4.074074,4.074074,0.574402,11400
1981-01-14,4.111111,4.185185,4.111111,4.111111,0.579624,16300
1981-01-15,4.148148,4.222222,4.148148,4.148148,0.584846,8100
1981-01-16,4.148148,4.222222,4.148148,4.148148,0.584846,1500
1981-01-19,4.148148,4.222222,4.148148,4.148148,0.584846,19800
