Date,Open,High,Low,Close,Adj Close,Volume
1988-10-21,4.916667,4.958333,4.916667,4.916667,3.260132,346800
1988-10-24,5.041667,5.125000,5.041667,5.041667,3.343018,132800
1988-10-25,5.083333,5.125000,5.083333,5.083333,3.370645,206000
1988-10-26,5.083333,5.166667,5.083333,5.083333,3.370645,203400
1988-10-27,5.083333,5.083333,5.041667,5.041667,3.343018,74400
1988-10-28,5.041667,5.041667,5.000000,5.000000,3.315388,87800
1988-10-31,5.000000,5.041667,5.000000,5.000000,3.315388,34400
1988-11-01,5.000000,5.041667,5.000000,5.041667,3.343018,33600
1988-11-02,5.041667,5.041667,5.000000,5.000000,3.315388,16200
1988-11-03,5.041667,5.166667,5.041667,5.166667,3.425901,81000
1988-11-04,5.166667,5.166667,5.041667,5.041667,3.343018,98000
1988-11-07,5.041667,5.083333,5.000000,5.041667,3.343018,42000
1988-11-08,5.041667,5.041667,4.958333,5.000000,3.315388,56000
1988-11-09,5.000000,5.041667,5.000000,5.041667,3.343018,76800
1988-11-10,5.041667,5.333333,5.041667,5.250000,3.481159,110000
1988-11-11,5.250000,5.333333,5.208333,5.208333,3.453530,60000
1988-11-14,5.250000,5.375000,5.250000,5.250000,3.481159,78600
1988-11-15,5.250000,5.541667,5.250000,5.458333,3.619301,104000
1988-11-16,5.458333,5.541667,5.333333,5.416667,3.591670,160400
1988-11-17,5.416667,5.541667,5.333333,5.416667,3.591670,62600
1988-11-18,5.416667,5.625000,5.416667,5.500000,3.646929,156800
1988-11-21,5.500000,5.666667,5.500000,5.625000,3.729812,40400
1988-11-22,5.625000,5.875000,5.625000,5.791667,3.840323,300200
1988-11-23,5.791667,5.958333,5.791667,5.958333,3.950838,144600
1988-11-25,5.916667,5.916667,5.791667,5.916667,3.923210,37800
1988-11-28,5.916667,5.958333,5.833333,5.916667,3.923210,61800
1988-11-29,5.916667,5.958333,5.833333,5.916667,3.923210,124200
1988-11-30,5.916667,5.916667,5.833333,5.833333,3.867954,25200
1988-12-01,5.833333,5.916667,5.833333,5.833333,3.867954,9000
1988-12-02,5.833333,6.041667,5.833333,6.000000,3.978467,203600
1988-12-05,6.041667,6.250000,6.041667,6.125000,4.061353,161000
1988-12-06,6.125000,6.291667,6.125000,6.291667,4.171864,62400
1988-12-07,6.291667,6.291667,6.208333,6.250000,4.144236,53000
1988-12-08,6.250000,6.291667,6.166667,6.166667,4.088980,15600
1988-12-09,6.166667,6.250000,6.166667,6.208333,4.116608,9800
1988-12-12,6.208333,6.333333,6.166667,6.250000,4.144236,188600
1988-12-13,6.291667,6.458333,6.291667,6.458333,4.282377,31400
1988-12-14,6.458333,6.583333,6.375000,6.583333,4.365263,70400
1988-12-15,6.583333,6.583333,6.541667,6.583333,4.365263,19200
1988-12-16,6.583333,6.583333,6.541667,6.583333,4.387475,34400
1988-12-19,6.583333,6.583333,6.375000,6.375000,4.248630,52400
1988-12-20,6.375000,6.458333,6.375000,6.416667,4.276399,12200
1988-12-21,6.416667,6.458333,6.375000,6.375000,4.248630,55400
1988-12-22,6.375000,6.458333,6.208333,6.291667,4.193093,49200
1988-12-23,6.291667,6.333333,6.208333,6.333333,4.220863,53000
1988-12-27,6.333333,6.333333,6.250000,6.291667,4.193093,18200
1988-12-28,6.291667,6.500000,6.250000,6.500000,4.331937,135200
1988-12-29,6.500000,6.666667,6.416667,6.666667,4.443013,46800
1988-12-30,6.666667,6.791667,6.625000,6.708333,4.470782,35400
1989-01-03,6.708333,6.833333,6.583333,6.666667,4.443013,37800
1989-01-04,6.666667,6.708333,6.583333,6.625000,4.415244,30200
1989-01-05,6.666667,6.958333,6.666667,6.958333,4.637393,228000
1989-01-06,6.958333,7.083333,6.875000,7.083333,4.720702,88800
1989-01-09,7.083333,7.083333,7.000000,7.000000,4.698327,58200
1989-01-10,7.000000,7.041667,6.958333,6.958333,4.670360,60200
1989-01-11,6.958333,7.000000,6.916667,6.916667,4.642394,14000
1989-01-12,6.916667,7.000000,6.916667,7.000000,4.698327,14600
1989-01-13,7.000000,7.000000,6.875000,6.958333,4.670360,29000
1989-01-16,6.958333,7.041667,6.958333,7.041667,4.726295,21800
1989-01-17,7.041667,7.041667,6.958333,6.958333,4.670360,2600
1989-01-18,6.958333,7.041667,6.958333,7.041667,4.726295,40800
1989-01-19,7.041667,7.041667,6.958333,7.000000,4.698327,42000
1989-01-20,7.000000,7.166667,7.000000,7.125000,4.782226,99000
1989-01-23,7.125000,7.416667,7.083333,7.333333,4.922059,117200
1989-01-24,7.416667,7.750000,7.416667,7.666667,5.145788,139200
1989-01-25,7.666667,7.791667,7.625000,7.791667,5.229685,40200
1989-01-26,7.791667,7.833333,7.750000,7.791667,5.229685,51600
1989-01-27,7.791667,7.875000,7.791667,7.791667,5.229685,43200
1989-01-30,7.791667,7.958333,7.791667,7.958333,5.341551,55200
1989-01-31,7.958333,8.125000,7.958333,8.125000,5.453416,36000
1989-02-01,8.125000,8.208333,8.041667,8.208333,5.509347,70400
1989-02-02,8.208333,8.208333,8.125000,8.208333,5.509347,8600
1989-02-03,8.125000,8.125000,7.875000,7.875000,5.285619,258000
1989-02-06,7.875000,7.958333,7.875000,7.875000,5.285619,98400
1989-02-07,7.875000,7.958333,7.833333,7.916667,5.313586,72200
1989-02-08,7.916667,7.916667,7.833333,7.916667,5.313586,30000
1989-02-09,7.916667,7.958333,7.833333,7.833333,5.257652,51600
1989-02-10,7.833333,7.916667,7.833333,7.833333,5.257652,88400
1989-02-13,7.833333,7.916667,7.791667,7.916667,5.313586,86000
1989-02-14,7.916667,8.375000,7.916667,8.250000,5.537313,148200
1989-02-15,8.250000,8.333333,8.208333,8.333333,5.593249,13400
1989-02-16,8.333333,8.333333,8.166667,8.166667,5.481382,25400
1989-02-17,8.166667,8.250000,8.083333,8.083333,5.425448,16800
1989-02-21,8.083333,8.083333,7.916667,7.916667,5.313586,48000
1989-02-22,7.916667,7.958333,7.791667,7.791667,5.229685,49400
1989-02-23,7.791667,7.833333,7.708333,7.708333,5.173755,28400
1989-02-24,7.708333,7.708333,7.541667,7.541667,5.061890,36200
1989-02-27,7.541667,7.625000,7.541667,7.625000,5.117821,10200
1989-02-28,7.625000,8.041667,7.625000,7.916667,5.313586,83000
1989-03-01,7.916667,8.125000,7.916667,8.041667,5.397484,262200
1989-03-02,8.041667,8.166667,8.041667,8.125000,5.453416,134600
1989-03-03,8.125000,8.333333,8.041667,8.333333,5.593249,147600
1989-03-06,8.333333,8.541667,8.333333,8.500000,5.705112,24000
1989-03-07,8.500000,8.500000,8.250000,8.416667,5.649180,53600
1989-03-08,8.416667,8.666667,8.333333,8.541667,5.733078,60600
1989-03-09,8.541667,8.666667,8.541667,8.666667,5.816977,67400
1989-03-10,8.666667,8.666667,8.375000,8.416667,5.649180,104400
1989-03-13,8.416667,8.458333,8.291667,8.416667,5.649180,16800
1989-03-14,8.416667,8.416667,8.291667,8.291667,5.565282,9200
1989-03-15,8.291667,8.416667,8.291667,8.416667,5.649180,20000
1989-03-16,8.375000,8.375000,8.291667,8.291667,5.565282,26000
1989-03-17,8.250000,8.250000,8.125000,8.250000,5.537313,26400
1989-03-20,8.166667,8.166667,8.083333,8.166667,5.481382,21200
1989-03-21,8.166667,8.208333,8.083333,8.083333,5.425448,21800
1989-03-22,8.083333,8.250000,8.083333,8.125000,5.453416,96200
1989-03-23,8.125000,8.166667,8.125000,8.166667,5.481382,9600
1989-03-27,8.166667,8.166667,8.166667,8.166667,5.481382,600
1989-03-28,8.166667,8.291667,8.083333,8.208333,5.509347,50600
1989-03-29,8.291667,8.500000,8.291667,8.416667,5.649180,43200
1989-03-30,8.416667,8.458333,8.291667,8.375000,5.621212,15800
1989-03-31,8.375000,8.375000,8.291667,8.291667,5.565282,3000
1989-04-03,8.291667,8.375000,8.291667,8.375000,5.621212,25200
1989-04-04,8.375000,8.416667,8.333333,8.416667,5.649180,12600
1989-04-05,8.375000,8.375000,8.291667,8.291667,5.565282,17400
1989-04-06,8.291667,8.375000,8.291667,8.375000,5.621212,50400
1989-04-07,8.375000,8.375000,8.291667,8.333333,5.593249,35000
1989-04-10,8.333333,8.375000,8.291667,8.375000,5.655143,58400
1989-04-11,8.375000,8.416667,8.291667,8.375000,5.655143,8400
1989-04-12,8.375000,8.375000,8.291667,8.291667,5.598874,22400
1989-04-13,8.291667,8.333333,8.291667,8.333333,5.627007,10400
1989-04-14,8.333333,8.416667,8.291667,8.375000,5.655143,18800
1989-04-17,8.375000,8.416667,8.333333,8.333333,5.627007,31800
1989-04-18,8.375000,8.500000,8.375000,8.375000,5.655143,16400
1989-04-19,8.375000,8.500000,8.375000,8.458333,5.711415,44600
1989-04-20,8.458333,8.458333,8.375000,8.375000,5.655143,27600
1989-04-21,8.375000,8.541667,8.375000,8.541667,5.767684,19200
1989-04-24,8.458333,8.458333,8.458333,8.458333,5.711415,2400
1989-04-25,8.458333,8.541667,8.458333,8.458333,5.711415,3800
1989-04-26,8.458333,8.458333,8.458333,8.458333,5.711415,9000
1989-04-27,8.458333,8.541667,8.458333,8.500000,5.739550,6800
1989-04-28,8.500000,8.541667,8.458333,8.458333,5.711415,59000
1989-05-01,8.458333,8.541667,8.458333,8.541667,5.767684,56000
1989-05-02,8.541667,8.541667,8.541667,8.541667,5.767684,5000
1989-05-03,8.541667,8.583333,8.500000,8.500000,5.739550,18000
1989-05-04,8.500000,8.583333,8.166667,8.166667,5.514469,78000
