Date,Open,High,Low,Close,Adj Close,Volume
1992-03-17,5.710832,6.218462,5.710832,6.091554,2.225717,22100
1992-03-18,5.710832,6.218462,5.710832,6.218462,2.272085,9300
1992-03-19,5.901193,6.472276,5.710832,6.218462,2.272085,17800
1992-03-20,6.218462,6.218462,6.218462,6.218462,2.272085,0
1992-03-23,5.710832,5.710832,5.710832,5.710832,2.086610,800
1992-03-24,6.091554,6.091554,5.774286,5.774286,2.109793,1700
1992-03-25,6.345369,6.345369,5.710832,5.710832,2.086610,4500
1992-03-26,6.345369,6.345369,6.345369,6.345369,2.318455,100
1992-03-27,6.091554,6.091554,6.091554,6.091554,2.225717,1400
1992-03-30,6.091554,6.091554,6.091554,6.091554,2.225717,1200
1992-03-31,6.218462,6.218462,6.218462,6.218462,2.272085,400
1992-04-01,6.091554,6.091554,6.091554,6.091554,2.225717,500
1992-04-02,5.710832,6.091554,5.710832,6.091554,2.225717,1600
1992-04-03,6.218462,6.218462,5.710832,5.710832,2.086610,2400
1992-04-06,6.218462,6.218462,6.218462,6.218462,2.272085,100
1992-04-07,5.710832,6.091554,5.710832,6.091554,2.225717,1200
1992-04-08,6.091554,6.091554,6.091554,6.091554,2.225717,400
1992-04-09,6.091554,6.091554,6.028100,6.091554,2.225717,4000
1992-04-10,6.091554,6.091554,6.091554,6.091554,2.225717,600
1992-04-13,5.837739,6.091554,5.837739,6.091554,2.225717,4400
1992-04-14,6.091554,6.091554,5.837739,5.837739,2.132979,4500
1992-04-15,6.091554,6.091554,5.837739,5.837739,2.132979,1200
1992-04-16,6.091554,6.091554,5.837739,5.964647,2.179346,13400
1992-04-20,5.964647,5.964647,5.964647,5.964647,2.179346,500
1992-04-21,5.964647,5.964647,5.964647,5.964647,2.179346,1400
1992-04-22,5.964647,5.964647,5.647378,5.964647,2.179346,2600
1992-04-23,5.710832,5.964647,5.710832,5.710832,2.086610,7600
1992-04-24,5.710832,5.710832,5.710832,5.710832,2.086610,0
1992-04-27,5.964647,5.964647,5.583925,5.964647,2.179346,10000
1992-04-28,5.964647,5.964647,5.964647,5.964647,2.179346,1000
1992-04-29,5.964647,6.091554,5.837739,6.091554,2.225717,14900
1992-04-30,5.837739,5.964647,5.837739,5.837739,2.132979,25300
1992-05-01,5.837739,6.218462,5.837739,6.218462,2.272085,1800
1992-05-04,6.218462,6.218462,5.964647,5.964647,2.179346,1600
1992-05-05,5.964647,5.964647,5.964647,5.964647,2.179346,900
1992-05-06,6.091554,6.091554,5.837739,5.837739,2.132979,800
1992-05-07,6.218462,6.218462,5.901193,5.901193,2.156163,600
1992-05-08,5.964647,5.964647,5.964647,5.964647,2.179346,200
1992-05-11,5.964647,6.218462,5.964647,6.218462,2.272085,2400
1992-05-12,5.964647,6.091554,5.901193,6.091554,2.225717,20200
1992-05-13,6.218462,6.218462,6.218462,6.218462,2.272085,1300
1992-05-14,6.345369,6.345369,6.345369,6.345369,2.318455,900
1992-05-15,6.345369,6.345369,6.345369,6.345369,2.318455,0
1992-05-18,6.345369,6.345369,6.345369,6.345369,2.318455,500
1992-05-19,6.345369,6.345369,6.345369,6.345369,2.318455,0
1992-05-20,6.472276,6.472276,6.472276,6.472276,2.364823,100
1992-05-21,5.964647,5.964647,5.964647,5.964647,2.179346,100
1992-05-22,6.472276,6.472276,6.091554,6.091554,2.225717,1200
1992-05-26,6.155008,6.155008,6.091554,6.091554,2.245743,4600
1992-05-27,6.281915,6.599184,6.281915,6.599184,2.432887,13200
1992-05-28,6.218462,6.852999,6.218462,6.218462,2.292529,7600
1992-05-29,6.218462,6.218462,6.218462,6.218462,2.292529,800
1992-06-01,6.408823,6.852999,6.408823,6.852999,2.526460,500
1992-06-02,6.852999,7.106813,6.218462,6.726091,2.479674,11000
1992-06-03,6.345369,6.726091,6.345369,6.726091,2.479674,7900
1992-06-04,7.106813,7.233721,7.106813,7.106813,2.620033,1400
1992-06-05,6.599184,6.979906,6.599184,6.599184,2.432887,2400
1992-06-08,6.979906,6.979906,6.852999,6.852999,2.526460,3600
1992-06-09,6.599184,7.106813,6.599184,7.106813,2.620033,500
1992-06-10,6.662637,6.662637,6.662637,6.662637,2.456280,400
1992-06-11,6.979906,6.979906,6.852999,6.979906,2.573247,6700
1992-06-12,7.233721,7.233721,7.233721,7.233721,2.666818,900
1992-06-15,7.233721,7.233721,7.233721,7.233721,2.666818,0
1992-06-16,7.233721,7.487535,7.106813,7.487535,2.760392,10000
1992-06-17,6.852999,6.852999,6.852999,6.852999,2.526460,3600
1992-06-18,6.852999,6.852999,6.852999,6.852999,2.526460,0
1992-06-19,6.852999,6.852999,6.852999,6.852999,2.526460,0
1992-06-22,7.614443,7.614443,6.852999,6.852999,2.526460,1700
1992-06-23,6.852999,6.852999,6.852999,6.852999,2.526460,100
1992-06-24,6.852999,6.852999,6.852999,6.852999,2.526460,1200
1992-06-25,6.852999,7.233721,6.852999,7.233721,2.666818,800
1992-06-26,6.852999,7.360628,6.852999,7.360628,2.713606,800
1992-06-29,7.360628,7.360628,7.360628,7.360628,2.713606,0
1992-06-30,7.360628,7.360628,7.360628,7.360628,2.713606,0
1992-07-01,7.360628,7.360628,6.852999,6.852999,2.526460,600
1992-07-02,6.852999,6.852999,6.852999,6.852999,2.526460,0
1992-07-06,7.614443,7.614443,7.614443,7.614443,2.807179,2200
