Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,5.281250,5.281250,5.281250,5.281250,1.087516,5600
1973-02-22,5.218750,5.218750,5.218750,5.218750,1.074646,6800
1973-02-23,5.062500,5.062500,5.062500,5.062500,1.042471,4800
1973-02-26,5.000000,5.000000,5.000000,5.000000,1.029601,5200
1973-02-27,5.093750,5.093750,5.093750,5.093750,1.048906,9600
1973-02-28,5.125000,5.125000,5.125000,5.125000,1.055341,4000
1973-03-01,5.125000,5.125000,5.125000,5.125000,1.055341,5600
1973-03-02,5.125000,5.125000,5.125000,5.125000,1.055341,1600
1973-03-05,5.125000,5.125000,5.125000,5.125000,1.055341,1600
1973-03-06,5.125000,5.125000,5.125000,5.125000,1.055341,1200
1973-03-07,5.125000,5.125000,5.125000,5.125000,1.055341,6800
1973-03-08,5.093750,5.093750,5.093750,5.093750,1.048906,3600
1973-03-09,5.062500,5.062500,5.062500,5.062500,1.042471,5200
1973-03-12,5.125000,5.125000,5.125000,5.125000,1.055341,800
1973-03-13,5.156250,5.156250,5.156250,5.156250,1.061776,6000
1973-03-14,5.312500,5.312500,5.312500,5.312500,1.093951,13600
1973-03-15,5.343750,5.343750,5.343750,5.343750,1.100386,5200
1973-03-16,5.312500,5.312500,5.312500,5.312500,1.093951,6400
1973-03-19,5.250000,5.250000,5.250000,5.250000,1.081081,9200
1973-03-20,5.218750,5.218750,5.218750,5.218750,1.074646,400
1973-03-21,5.218750,5.218750,5.218750,5.218750,1.074646,5600
1973-03-22,5.187500,5.187500,5.187500,5.187500,1.068211,2000
1973-03-23,5.187500,5.187500,5.187500,5.187500,1.068211,1200
1973-03-26,5.187500,5.187500,5.187500,5.187500,1.068211,2000
1973-03-27,5.218750,5.218750,5.218750,5.218750,1.074646,2400
1973-03-28,5.218750,5.218750,5.218750,5.218750,1.074646,4400
1973-03-29,5.406250,5.406250,5.406250,5.406250,1.113256,14000
1973-03-30,5.437500,5.437500,5.437500,5.437500,1.119691,16800
1973-04-02,5.437500,5.437500,5.437500,5.437500,1.119691,2000
1973-04-03,5.437500,5.437500,5.437500,5.437500,1.119691,8800
1973-04-04,5.437500,5.437500,5.437500,5.437500,1.119691,1600
1973-04-05,5.375000,5.375000,5.375000,5.375000,1.106821,3200
