Date,Open,High,Low,Close,Adj Close,Volume
1991-07-30,3.166667,3.388889,3.166667,3.277778,3.076715,11458800
1991-07-31,3.305556,3.416667,3.305556,3.333333,3.128862,3931200
1991-08-01,3.333333,3.388889,3.111111,3.194444,2.998492,1199700
1991-08-02,3.194444,3.277778,3.166667,3.194444,2.998492,2116800
1991-08-05,3.222222,3.250000,3.166667,3.222222,3.024567,626400
1991-08-06,3.250000,3.250000,3.166667,3.194444,2.998492,342000
1991-08-07,3.250000,3.250000,3.166667,3.194444,2.998492,818100
1991-08-08,3.222222,3.222222,3.166667,3.166667,2.972419,382500
1991-08-09,3.194444,3.250000,3.152778,3.222222,3.024567,875700
1991-08-12,3.166667,3.222222,3.166667,3.166667,2.972419,10800
1991-08-13,3.166667,3.333333,3.166667,3.333333,3.128862,479700
1991-08-14,3.361111,3.555556,3.333333,3.555556,3.337453,785700
1991-08-15,3.500000,3.583333,3.416667,3.472222,3.259231,117000
1991-08-16,3.416667,3.500000,3.388889,3.388889,3.181010,252000
1991-08-19,3.250000,3.277778,3.083333,3.277778,3.076715,745200
1991-08-20,3.222222,3.305556,3.222222,3.305556,3.102789,57600
1991-08-21,3.444444,3.472222,3.388889,3.444444,3.233158,330300
1991-08-22,3.416667,3.527778,3.416667,3.472222,3.259231,31500
1991-08-23,3.416667,3.583333,3.416667,3.500000,3.285305,472500
1991-08-26,3.583333,3.694444,3.500000,3.652778,3.428712,148500
1991-08-27,3.694444,3.694444,3.500000,3.555556,3.337453,228600
1991-08-28,3.666667,3.777778,3.638889,3.722222,3.493896,908100
1991-08-29,3.750000,4.138889,3.750000,4.138889,3.885004,1005300
1991-08-30,4.111111,4.222222,4.111111,4.166667,3.911078,669600
1991-09-03,4.111111,4.166667,3.888889,3.888889,3.650339,256500
1991-09-04,3.972222,3.972222,3.750000,3.777778,3.546044,432900
1991-09-05,3.833333,4.083333,3.777778,4.027778,3.780709,1278900
1991-09-06,4.083333,4.138889,4.027778,4.027778,3.780709,89100
1991-09-09,4.000000,4.000000,4.000000,4.000000,3.754634,10800
1991-09-10,4.027778,4.083333,4.000000,4.000000,3.754634,21600
1991-09-11,4.055555,4.361111,4.055555,4.361111,4.093595,489600
1991-09-12,4.277778,4.500000,4.277778,4.361111,4.093595,699300
1991-09-13,4.527778,4.527778,4.388889,4.500000,4.223965,189900
1991-09-16,4.555555,4.555555,4.472222,4.472222,4.197889,254700
1991-09-17,4.555555,4.861111,4.472222,4.750000,4.458629,431100
1991-09-18,4.861111,4.861111,4.722222,4.722222,4.432556,99900
1991-09-19,4.833333,4.861111,4.750000,4.763889,4.471666,382500
1991-09-20,4.750000,4.777778,4.666667,4.722222,4.432556,538200
1991-09-23,4.694445,4.750000,4.611111,4.722222,4.432556,156600
1991-09-24,4.750000,4.777778,4.736111,4.777778,4.484703,243900
1991-09-25,4.861111,4.944445,4.777778,4.916667,4.615072,888300
1991-09-26,5.000000,5.000000,4.888889,4.888889,4.588997,281700
1991-09-27,4.972222,4.972222,4.805555,4.805555,4.510776,328500
1991-09-30,4.805555,4.805555,4.555555,4.666667,4.380408,176400
1991-10-01,4.638889,4.777778,4.583333,4.750000,4.458629,388800
1991-10-02,4.750000,4.750000,4.638889,4.694445,4.406481,62100
1991-10-03,4.666667,4.666667,4.611111,4.666667,4.380408,103500
1991-10-04,4.611111,4.666667,4.611111,4.611111,4.328259,29700
1991-10-07,4.611111,4.666667,4.388889,4.388889,4.119669,435600
1991-10-08,4.472222,4.833333,4.472222,4.750000,4.458629,512100
1991-10-09,4.611111,4.722222,4.555555,4.638889,4.354332,373500
1991-10-10,4.611111,4.638889,4.416667,4.500000,4.223965,165600
1991-10-11,4.416667,4.527778,4.416667,4.444445,4.171816,1294200
1991-10-14,4.611111,4.666667,4.583333,4.583333,4.302186,85500
1991-10-15,4.555555,4.597222,4.527778,4.527778,4.250038,196200
1991-10-16,4.666667,4.666667,4.555555,4.611111,4.328259,312300
1991-10-17,4.555555,4.777778,4.555555,4.777778,4.484703,352800
1991-10-18,4.722222,4.833333,4.694445,4.736111,4.445591,1280700
1991-10-21,4.777778,4.777778,4.750000,4.750000,4.458629,18000
1991-10-22,4.777778,4.833333,4.666667,4.750000,4.458629,236700
1991-10-23,4.638889,4.777778,4.611111,4.611111,4.328259,388800
1991-10-24,4.611111,4.666667,4.611111,4.611111,4.328259,41400
1991-10-25,4.722222,4.722222,4.611111,4.611111,4.328259,7200
1991-10-28,4.722222,4.722222,4.611111,4.611111,4.328259,19800
1991-10-29,4.611111,4.833333,4.611111,4.750000,4.458629,738900
1991-10-30,4.763889,4.763889,4.750000,4.750000,4.458629,18900
1991-10-31,4.833333,4.972222,4.833333,4.972222,4.667219,150300
1991-11-01,4.833333,4.972222,4.833333,4.972222,4.667219,139500
1991-11-04,4.833333,4.833333,4.805555,4.833333,4.536850,22500
1991-11-05,4.805555,4.944445,4.777778,4.944445,4.641146,228600
1991-11-06,4.888889,4.888889,4.611111,4.666667,4.380408,297900
1991-11-07,4.722222,4.722222,4.611111,4.666667,4.380408,106200
1991-11-08,4.611111,4.722222,4.611111,4.611111,4.328259,80100
1991-11-11,4.611111,4.694445,4.388889,4.583333,4.302186,7182900
1991-11-12,4.527778,4.638889,4.527778,4.638889,4.354332,138600
1991-11-13,4.638889,4.694445,4.486111,4.694445,4.406481,592200
1991-11-14,4.611111,4.611111,4.500000,4.611111,4.328259,543600
1991-11-15,4.611111,4.611111,4.416667,4.416667,4.145742,795600
1991-11-18,4.333333,4.388889,4.083333,4.361111,4.093595,610200
1991-11-19,4.361111,4.361111,4.111111,4.138889,3.885004,1143900
1991-11-20,4.083333,4.250000,4.083333,4.250000,3.989299,260100
1991-11-21,4.277778,4.277778,4.166667,4.166667,3.911078,3600
1991-11-22,4.166667,4.222222,3.958333,4.055555,3.806782,297900
1991-11-25,3.916667,4.027778,3.916667,3.930556,3.689450,561600
1991-11-26,4.027778,4.055555,3.916667,4.055555,3.806782,129600
1991-11-27,4.055555,4.166667,4.055555,4.166667,3.911078,104400
1991-11-29,4.166667,4.444445,4.166667,4.430555,4.158780,100800
1991-12-02,4.444445,4.611111,4.388889,4.555555,4.276113,221400
1991-12-03,4.666667,4.805555,4.500000,4.527778,4.250038,857700
1991-12-04,4.583333,4.777778,4.583333,4.777778,4.484703,90000
