Date,Open,High,Low,Close,Adj Close,Volume
1993-06-08,2.000000,2.055556,1.888889,1.944444,1.766936,16986400
1993-06-09,2.000000,2.222222,1.944444,2.194444,1.994114,2650000
1993-06-10,2.250000,2.333333,2.055556,2.111111,1.918387,3562000
1993-06-11,2.083333,2.277778,2.083333,2.250000,2.044597,1931200
1993-06-14,2.305556,2.333333,2.222222,2.333333,2.120323,730800
1993-06-15,2.333333,2.333333,2.194444,2.208333,2.006734,1315600
1993-06-16,2.250000,2.305556,2.194444,2.305556,2.095081,853600
1993-06-17,2.305556,2.361111,2.250000,2.305556,2.095081,880000
1993-06-18,2.305556,2.361111,2.222222,2.250000,2.044597,748800
1993-06-21,2.250000,2.333333,2.194444,2.250000,2.044597,286000
1993-06-22,2.250000,2.305556,2.194444,2.222222,2.019356,507600
1993-06-23,2.194444,2.250000,2.166667,2.194444,1.994114,628000
1993-06-24,2.138889,2.250000,2.138889,2.194444,1.994114,209200
1993-06-25,2.250000,2.305556,2.166667,2.305556,2.095081,154800
1993-06-28,2.305556,2.305556,2.222222,2.305556,2.095081,522400
1993-06-29,2.305556,2.305556,2.222222,2.222222,2.019356,183600
1993-06-30,2.194444,2.250000,2.194444,2.250000,2.044597,54000
1993-07-01,2.250000,2.250000,2.166667,2.166667,1.968872,124800
1993-07-02,2.166667,2.250000,2.138889,2.222222,2.019356,295600
1993-07-06,2.222222,2.388889,2.222222,2.305556,2.095081,1281600
1993-07-07,2.361111,2.361111,2.305556,2.361111,2.145565,610800
1993-07-08,2.388889,2.388889,2.305556,2.388889,2.170807,180400
1993-07-09,2.416667,2.444444,2.361111,2.416667,2.196049,181600
1993-07-12,2.444444,2.444444,2.361111,2.444444,2.221291,336400
1993-07-13,2.416667,2.472222,2.416667,2.416667,2.196049,315600
1993-07-14,2.472222,2.527778,2.416667,2.527778,2.297017,237600
1993-07-15,2.444444,2.527778,2.444444,2.472222,2.246532,297600
1993-07-16,2.416667,2.472222,2.388889,2.416667,2.196049,127600
1993-07-19,2.416667,2.444444,2.333333,2.333333,2.120323,208800
1993-07-20,2.388889,2.444444,2.333333,2.361111,2.145565,315600
1993-07-21,2.361111,2.444444,2.361111,2.361111,2.145565,37600
1993-07-22,2.333333,2.388889,2.319444,2.319444,2.107702,25200
1993-07-23,2.361111,2.361111,2.305556,2.305556,2.095081,14400
1993-07-26,2.277778,2.305556,2.222222,2.277778,2.069839,331600
1993-07-27,2.305556,2.305556,2.250000,2.277778,2.069839,78000
1993-07-28,2.305556,2.305556,2.277778,2.277778,2.069839,22000
1993-07-29,2.277778,2.305556,2.277778,2.305556,2.095081,170800
1993-07-30,2.333333,2.333333,2.277778,2.277778,2.069839,394800
1993-08-02,2.277778,2.333333,2.277778,2.277778,2.069839,200400
1993-08-03,2.277778,2.500000,2.277778,2.472222,2.246532,728800
1993-08-04,2.444444,2.638889,2.444444,2.472222,2.246532,1499200
1993-08-05,2.527778,2.527778,2.458333,2.500000,2.271775,495600
1993-08-06,2.458333,2.500000,2.305556,2.361111,2.145565,970000
1993-08-09,2.361111,2.388889,2.333333,2.333333,2.120323,302800
