Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,3.456000,4.147200,3.456000,3.456000,2.997913,0
1980-03-18,null,null,null,null,null,null
1980-03-19,null,null,null,null,null,null
1980-03-20,null,null,null,null,null,null
1980-03-21,null,null,null,null,null,null
1980-03-24,null,null,null,null,null,null
1980-03-25,null,null,null,null,null,null
1980-03-26,null,null,null,null,null,null
1980-03-27,null,null,null,null,null,null
1980-03-28,null,null,null,null,null,null
1980-03-31,null,null,null,null,null,null
1980-04-01,null,null,null,null,null,null
1980-04-02,null,null,null,null,null,null
1980-04-03,null,null,null,null,null,null
1980-04-07,3.456000,4.147200,3.456000,3.456000,2.997913,200
1980-04-08,null,null,null,null,null,null
1980-04-09,null,null,null,null,null,null
1980-04-10,null,null,null,null,null,null
1980-04-11,null,null,null,null,null,null
1980-04-14,null,null,null,null,null,null
1980-04-15,3.456000,4.147200,3.456000,3.456000,2.997913,1000
1980-04-16,null,null,null,null,null,null
1980-04-17,null,null,null,null,null,null
1980-04-18,null,null,null,null,null,null
1980-04-21,null,null,null,null,null,null
1980-04-22,3.456000,4.147200,3.456000,3.456000,2.997913,0
1980-04-23,null,null,null,null,null,null
1980-04-24,null,null,null,null,null,null
1980-04-25,3.456000,4.147200,3.456000,3.456000,2.997913,21100
1980-04-28,3.686400,4.377600,3.686400,3.686400,3.197773,200
1980-04-29,3.686400,4.377600,3.686400,3.686400,3.197773,500
1980-04-30,null,null,null,null,null,null
1980-05-01,3.686400,4.377600,3.686400,3.686400,3.197773,1800
1980-05-02,null,null,null,null,null,null
1980-05-05,null,null,null,null,null,null
1980-05-06,null,null,null,null,null,null
1980-05-07,3.686400,4.377600,3.686400,3.686400,3.197773,500
1980-05-08,null,null,null,null,null,null
1980-05-09,null,null,null,null,null,null
1980-05-12,null,null,null,null,null,null
1980-05-13,null,null,null,null,null,null
1980-05-14,3.686400,4.377600,3.686400,3.686400,3.197773,0
1980-05-15,3.686400,4.377600,3.686400,3.686400,3.197773,1000
1980-05-16,3.686400,4.377600,3.686400,3.686400,3.197773,1600
1980-05-19,null,null,null,null,null,null
1980-05-20,null,null,null,null,null,null
1980-05-21,3.686400,4.377600,3.686400,3.686400,3.197773,0
1980-05-22,null,null,null,null,null,null
1980-05-23,null,null,null,null,null,null
1980-05-27,null,null,null,null,null,null
1980-05-28,3.916800,4.608000,3.916800,3.916800,3.397634,200
1980-05-29,3.916800,4.608000,3.916800,3.916800,3.397634,500
1980-05-30,4.147200,4.838400,4.147200,4.147200,3.597495,4300
1980-06-02,4.377600,5.068800,4.377600,4.377600,3.797356,400
1980-06-03,4.608000,5.299200,4.608000,4.608000,3.997217,1100
1980-06-04,null,null,null,null,null,null
1980-06-05,null,null,null,null,null,null
1980-06-06,null,null,null,null,null,null
1980-06-09,null,null,null,null,null,null
1980-06-10,4.838400,5.760000,4.838400,4.838400,4.197078,1900
1980-06-11,5.760000,6.681600,5.760000,5.760000,4.996521,2100
1980-06-12,5.760000,6.681600,5.760000,5.760000,4.996521,2500
1980-06-13,6.451200,7.833600,6.451200,6.451200,5.596103,1800
1980-06-16,6.451200,7.372800,5.990400,5.990400,5.196382,2100
1980-06-17,null,null,null,null,null,null
1980-06-18,null,null,null,null,null,null
1980-06-19,5.990400,7.372800,5.990400,5.990400,5.196382,5400
1980-06-20,null,null,null,null,null,null
1980-06-23,6.451200,7.833600,6.451200,6.451200,5.596103,2100
1980-06-24,null,null,null,null,null,null
1980-06-25,6.451200,7.833600,6.451200,6.451200,5.596103,500
1980-06-26,6.451200,7.833600,6.451200,6.451200,5.596103,1100
