Date,Open,High,Low,Close,Adj Close,Volume
1981-06-09,0.000000,3.000000,2.875000,2.875000,2.310736,27300
1981-06-10,0.000000,2.875000,2.750000,2.750000,2.210270,13700
1981-06-11,0.000000,2.875000,2.750000,2.750000,2.210270,12400
1981-06-12,0.000000,2.875000,2.875000,2.875000,2.310736,38700
1981-06-15,0.000000,2.875000,2.875000,2.875000,2.310736,38800
1981-06-16,0.000000,2.875000,2.750000,2.750000,2.210270,55100
1981-06-17,0.000000,2.875000,2.750000,2.750000,2.210270,29800
1981-06-18,0.000000,2.875000,2.875000,2.875000,2.310736,25100
1981-06-19,0.000000,2.875000,2.875000,2.875000,2.310736,8900
1981-06-22,0.000000,2.875000,2.750000,2.750000,2.210270,18000
1981-06-23,0.000000,2.875000,2.750000,2.750000,2.210270,171200
1981-06-24,0.000000,2.875000,2.750000,2.750000,2.210270,37300
1981-06-25,0.000000,2.875000,2.750000,2.750000,2.210270,12300
1981-06-26,0.000000,2.875000,2.750000,2.750000,2.210270,53900
1981-06-29,0.000000,2.750000,2.625000,2.625000,2.109802,13800
1981-06-30,0.000000,2.750000,2.625000,2.625000,2.109802,19700
1981-07-01,0.000000,2.750000,2.625000,2.625000,2.109802,17600
1981-07-02,0.000000,2.750000,2.625000,2.625000,2.109802,46100
1981-07-06,0.000000,2.750000,2.625000,2.625000,2.109802,7300
1981-07-07,0.000000,2.750000,2.500000,2.500000,2.009336,20100
1981-07-08,0.000000,2.750000,2.625000,2.625000,2.109802,19200
1981-07-09,0.000000,2.750000,2.625000,2.625000,2.109802,26500
1981-07-10,0.000000,2.750000,2.625000,2.625000,2.109802,10100
1981-07-13,0.000000,2.750000,2.625000,2.625000,2.109802,3900
1981-07-14,0.000000,2.625000,2.500000,2.500000,2.009336,13100
1981-07-15,0.000000,2.625000,2.500000,2.500000,2.009336,4900
1981-07-16,0.000000,2.750000,2.625000,2.625000,2.109802,64700
1981-07-17,0.000000,2.875000,2.750000,2.750000,2.210270,34600
1981-07-20,0.000000,3.250000,3.125000,3.125000,2.511669,102800
1981-07-21,0.000000,3.250000,3.125000,3.125000,2.511669,33500
1981-07-22,0.000000,3.625000,3.500000,3.500000,2.813070,77300
1981-07-23,0.000000,3.750000,3.625000,3.625000,2.913536,37800
1981-07-24,0.000000,4.125000,4.000000,4.000000,3.214936,48400
1981-07-27,0.000000,4.500000,4.375000,4.375000,3.516336,29500
1981-07-28,0.000000,4.250000,4.125000,4.125000,3.315403,52000
1981-07-29,0.000000,4.125000,4.000000,4.000000,3.214936,25800
1981-07-30,0.000000,4.000000,3.875000,3.875000,3.114470,14100
1981-07-31,0.000000,4.000000,3.875000,3.875000,3.114470,17200
1981-08-03,0.000000,3.875000,3.750000,3.750000,3.014004,19300
1981-08-04,0.000000,3.625000,3.500000,3.500000,2.813070,14400
1981-08-05,0.000000,3.625000,3.500000,3.500000,2.813070,4600
1981-08-06,0.000000,3.500000,3.375000,3.375000,2.712602,20100
1981-08-07,0.000000,3.750000,3.625000,3.625000,2.913536,64300
1981-08-10,null,null,null,null,null,null
1981-08-11,0.000000,3.875000,3.750000,3.750000,3.014004,18800
1981-08-12,0.000000,3.875000,3.750000,3.750000,3.014004,6100
1981-08-13,0.000000,3.875000,3.625000,3.625000,2.913536,11800
1981-08-14,0.000000,3.750000,3.625000,3.625000,2.913536,4900
1981-08-17,0.000000,3.625000,3.500000,3.500000,2.813070,14300
1981-08-18,0.000000,3.625000,3.375000,3.375000,2.712602,5500
1981-08-19,0.000000,3.500000,3.375000,3.375000,2.712602,3600
1981-08-20,0.000000,3.500000,3.312500,3.312500,2.662370,15500
1981-08-21,0.000000,3.500000,3.312500,3.312500,2.662370,6600
1981-08-24,0.000000,3.375000,3.125000,3.125000,2.511669,17100
1981-08-25,0.000000,3.125000,3.000000,3.000000,2.411202,18700
1981-08-26,0.000000,3.125000,3.062500,3.062500,2.461435,7700
1981-08-27,0.000000,3.125000,3.062500,3.062500,2.461435,9600
1981-08-28,0.000000,3.125000,3.000000,3.000000,2.411202,9400
1981-08-31,0.000000,3.000000,2.875000,2.875000,2.310736,17500
1981-09-01,0.000000,3.062500,2.937500,2.937500,2.360970,31700
1981-09-02,0.000000,3.000000,2.875000,2.875000,2.310736,1400
1981-09-03,0.000000,2.937500,2.687500,2.687500,2.160035,11000
1981-09-04,0.000000,2.750000,2.500000,2.500000,2.009336,12800
1981-09-08,0.000000,2.625000,2.500000,2.500000,2.009336,19400
1981-09-09,0.000000,2.625000,2.500000,2.500000,2.009336,29000
1981-09-10,0.000000,3.125000,3.000000,3.000000,2.411202,53000
1981-09-11,0.000000,3.625000,3.500000,3.500000,2.813070,67800
1981-09-14,0.000000,4.000000,3.750000,3.750000,3.014004,46600
1981-09-15,0.000000,3.875000,3.625000,3.625000,2.913536,33000
1981-09-16,0.000000,3.750000,3.625000,3.625000,2.913536,24600
1981-09-17,0.000000,3.625000,3.500000,3.500000,2.813070,9400
1981-09-18,0.000000,3.500000,3.375000,3.375000,2.712602,11500
1981-09-21,0.000000,3.625000,3.500000,3.500000,2.813070,17000
1981-09-22,0.000000,3.625000,3.500000,3.500000,2.813070,5700
1981-09-23,0.000000,3.375000,3.250000,3.250000,2.612136,8500
1981-09-24,0.000000,3.375000,3.250000,3.250000,2.612136,15400
1981-09-25,0.000000,3.250000,3.125000,3.125000,2.511669,16300
1981-09-28,0.000000,3.125000,3.000000,3.000000,2.411202,9600
1981-09-29,0.000000,3.250000,3.125000,3.125000,2.511669,7400
1981-09-30,0.000000,3.500000,3.375000,3.375000,2.712602,13500
1981-10-01,0.000000,3.625000,3.375000,3.375000,2.712602,32400
1981-10-02,0.000000,3.750000,3.625000,3.625000,2.913536,9600
1981-10-05,0.000000,3.875000,3.750000,3.750000,3.014004,23200
1981-10-06,0.000000,4.500000,4.250000,4.250000,3.415870,63000
1981-10-07,0.000000,5.125000,5.000000,5.000000,4.018671,57300
1981-10-08,0.000000,5.375000,5.250000,5.250000,4.219605,40600
1981-10-09,0.000000,6.500000,6.375000,6.375000,5.123806,72200
1981-10-12,0.000000,6.250000,6.125000,6.125000,4.922871,91200
1981-10-13,0.000000,6.250000,6.125000,6.125000,4.922871,36400
1981-10-14,0.000000,6.500000,6.375000,6.375000,5.123806,45600
1981-10-15,0.000000,7.250000,7.125000,7.125000,5.726606,42300
1981-10-16,0.000000,7.125000,7.000000,7.000000,5.626141,31000
1981-10-19,0.000000,7.000000,6.875000,6.875000,5.525673,35300
1981-10-20,0.000000,7.000000,6.750000,6.750000,5.425205,20200
1981-10-21,0.000000,6.125000,6.000000,6.000000,4.822404,77800
1981-10-22,0.000000,6.375000,6.250000,6.250000,5.023338,80100
1981-10-23,0.000000,6.250000,6.000000,6.000000,4.822404,15100
1981-10-26,0.000000,5.750000,5.625000,5.625000,4.521005,22700
1981-10-27,0.000000,5.625000,5.500000,5.500000,4.420540,26900
1981-10-28,0.000000,5.625000,5.500000,5.500000,4.420540,6400
1981-10-29,0.000000,5.625000,5.500000,5.500000,4.420540,8200
1981-10-30,0.000000,6.125000,6.000000,6.000000,4.822404,28100
1981-11-02,0.000000,6.125000,6.000000,6.000000,4.822404,10900
1981-11-03,0.000000,6.125000,6.000000,6.000000,4.822404,11600
1981-11-04,0.000000,6.125000,6.000000,6.000000,4.822404,8100
1981-11-05,0.000000,5.875000,5.750000,5.750000,4.621472,14600
1981-11-06,0.000000,5.875000,5.750000,5.750000,4.621472,8100
1981-11-09,0.000000,5.750000,5.500000,5.500000,4.420540,13400
1981-11-10,0.000000,5.625000,5.375000,5.375000,4.320070,14600
1981-11-11,0.000000,5.750000,5.625000,5.625000,4.521005,33500
1981-11-12,0.000000,5.750000,5.625000,5.625000,4.521005,4700
1981-11-13,0.000000,5.625000,5.500000,5.500000,4.420540,4800
1981-11-16,0.000000,5.500000,5.375000,5.375000,4.320070,12300
1981-11-17,0.000000,5.500000,5.375000,5.375000,4.320070,19300
1981-11-18,0.000000,6.125000,5.875000,5.875000,4.721941,43300
1981-11-19,0.000000,6.000000,5.750000,5.750000,4.621472,39400
1981-11-20,0.000000,6.000000,5.750000,5.750000,4.621472,1100
1981-11-23,0.000000,6.125000,6.000000,6.000000,4.822404,16000
1981-11-24,0.000000,6.125000,6.000000,6.000000,4.822404,23500
