Date,Open,High,Low,Close,Adj Close,Volume
1993-03-16,6.555555,7.222222,6.222222,6.888889,5.985931,3530800
1993-03-17,6.888889,7.111111,6.777778,6.777778,5.889384,815500
1993-03-18,7.111111,7.111111,6.777778,7.111111,6.179026,149400
1993-03-19,6.777778,7.222222,6.777778,7.111111,6.179026,239800
1993-03-22,7.222222,7.333333,6.888889,7.000000,6.082479,87300
1993-03-23,7.000000,7.555555,7.000000,7.444445,6.468668,263700
1993-03-24,7.222222,7.555555,7.000000,7.000000,6.082479,119200
1993-03-25,7.000000,7.333333,7.000000,7.055555,6.130753,66300
1993-03-26,7.333333,7.333333,7.000000,7.222222,6.275572,97600
1993-03-29,7.333333,7.333333,7.111111,7.111111,6.179026,244300
1993-03-30,7.333333,7.333333,7.111111,7.333333,6.372120,17100
1993-03-31,7.111111,7.333333,7.111111,7.111111,6.179026,55000
1993-04-01,7.333333,7.333333,7.111111,7.222222,6.275572,65800
1993-04-02,7.333333,7.333333,6.888889,7.166667,6.227298,75600
1993-04-05,6.888889,7.222222,6.888889,7.111111,6.179026,60300
1993-04-06,7.222222,7.222222,6.888889,7.055555,6.130753,166500
1993-04-07,6.888889,7.222222,6.888889,7.000000,6.082479,375900
1993-04-08,6.888889,7.222222,6.888889,6.888889,5.985931,29700
1993-04-12,7.222222,7.222222,6.888889,7.222222,6.275572,90600
1993-04-13,6.888889,7.222222,6.888889,6.888889,5.985931,54600
1993-04-14,7.111111,7.333333,7.000000,7.333333,6.372120,40500
1993-04-15,7.333333,7.444445,7.000000,7.000000,6.082479,146700
1993-04-16,7.444445,7.555555,7.111111,7.444445,6.468668,34600
1993-04-19,7.555555,7.666667,7.222222,7.555555,6.565215,35500
1993-04-20,7.666667,7.666667,7.333333,7.666667,6.661762,24700
1993-04-21,7.333333,7.666667,7.333333,7.333333,6.372120,52600
1993-04-22,7.666667,7.666667,7.333333,7.666667,6.661762,9600
1993-04-23,7.333333,7.666667,7.333333,7.333333,6.372120,17100
1993-04-26,7.555555,7.666667,7.333333,7.333333,6.372120,25800
1993-04-27,7.666667,7.666667,7.000000,7.055555,6.130753,263400
1993-04-28,7.000000,7.444445,7.000000,7.222222,6.275572,143200
1993-04-29,7.111111,7.444445,7.111111,7.111111,6.179026,150300
1993-04-30,7.444445,7.444445,7.111111,7.166667,6.227298,117900
1993-05-03,7.111111,7.666667,7.111111,7.333333,6.372120,37000
1993-05-04,7.555555,7.666667,7.333333,7.666667,6.661762,9600
1993-05-05,7.500000,8.222222,7.500000,8.222222,7.144497,208000
1993-05-06,8.333333,8.777778,8.000000,8.611111,7.482414,179500
1993-05-07,8.555555,8.888889,8.555555,8.777778,7.627235,302400
1993-05-10,8.777778,9.111111,8.555555,9.111111,7.916875,88800
1993-05-11,8.777778,9.111111,8.777778,8.777778,7.627235,298900
1993-05-12,8.777778,9.111111,8.777778,8.888889,7.723784,66300
1993-05-13,9.111111,9.111111,8.222222,8.444445,7.337591,63100
1993-05-14,8.222222,8.222222,7.888889,7.888889,6.854856,87000
1993-05-17,8.222222,8.222222,7.888889,8.222222,7.144497,10500
1993-05-18,8.222222,8.222222,7.777778,7.777778,6.758309,105000
1993-05-19,8.000000,8.000000,7.777778,8.000000,6.951405,19900
1993-05-20,7.777778,8.222222,7.777778,7.777778,6.758309,6900
1993-05-21,8.222222,8.222222,7.777778,8.222222,7.144497,15000
1993-05-24,8.222222,8.222222,7.777778,8.222222,7.144497,2700
1993-05-25,8.222222,8.555555,8.000000,8.555555,7.434139,80700
1993-05-26,8.555555,9.000000,8.333333,9.000000,7.820328,168300
1993-05-27,9.000000,9.000000,8.555555,8.555555,7.434139,17100
1993-05-28,9.000000,9.000000,8.555555,8.611111,7.482414,40200
1993-06-01,9.000000,9.000000,8.555555,8.555555,7.434139,101200
