Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.937500,0.937500,0.937500,0.937500,0.036415,1600
1973-02-22,0.937500,0.937500,0.937500,0.937500,0.036415,16000
1973-02-23,0.937500,0.937500,0.937500,0.937500,0.036415,0
1973-02-26,0.921875,0.921875,0.921875,0.921875,0.035808,17600
1973-02-27,0.906250,0.906250,0.906250,0.906250,0.035202,22400
1973-02-28,0.906250,0.906250,0.906250,0.906250,0.035202,17600
1973-03-01,0.898438,0.898438,0.898438,0.898438,0.034898,11200
1973-03-02,0.875000,0.875000,0.875000,0.875000,0.033988,4800
1973-03-05,0.890625,0.890625,0.890625,0.890625,0.034595,25600
1973-03-06,0.890625,0.890625,0.890625,0.890625,0.034595,0
1973-03-07,0.882813,0.882813,0.882813,0.882813,0.034291,9600
1973-03-08,0.898438,0.898438,0.898438,0.898438,0.034898,1600
1973-03-09,0.890625,0.890625,0.890625,0.890625,0.034595,11200
1973-03-12,0.914063,0.914063,0.914063,0.914063,0.035505,12800
1973-03-13,0.906250,0.906250,0.906250,0.906250,0.035202,32000
1973-03-14,0.906250,0.906250,0.906250,0.906250,0.035202,4800
1973-03-15,0.890625,0.890625,0.890625,0.890625,0.034595,8000
1973-03-16,0.835938,0.835938,0.835938,0.835938,0.032470,16000
1973-03-19,0.812500,0.812500,0.812500,0.812500,0.031560,4800
1973-03-20,0.812500,0.812500,0.812500,0.812500,0.031560,3200
1973-03-21,0.796875,0.796875,0.796875,0.796875,0.030953,3200
1973-03-22,0.718750,0.718750,0.718750,0.718750,0.027918,25600
1973-03-23,0.750000,0.750000,0.750000,0.750000,0.029132,41600
1973-03-26,0.750000,0.750000,0.750000,0.750000,0.029132,0
1973-03-27,0.789063,0.789063,0.789063,0.789063,0.030650,11200
1973-03-28,0.812500,0.812500,0.812500,0.812500,0.031560,6400
1973-03-29,0.828125,0.828125,0.828125,0.828125,0.032167,8000
1973-03-30,0.828125,0.828125,0.828125,0.828125,0.032167,6400
1973-04-02,0.828125,0.828125,0.828125,0.828125,0.032167,12800
1973-04-03,0.796875,0.796875,0.796875,0.796875,0.030953,12800
1973-04-04,0.796875,0.796875,0.796875,0.796875,0.030953,0
1973-04-05,0.804688,0.804688,0.804688,0.804688,0.031257,1600
1973-04-06,0.789063,0.789063,0.789063,0.789063,0.030650,3200
1973-04-09,0.789063,0.789063,0.789063,0.789063,0.030650,0
1973-04-10,0.828125,0.828125,0.828125,0.828125,0.032167,33600
1973-04-11,0.843750,0.843750,0.843750,0.843750,0.032774,6400
1973-04-12,0.859375,0.859375,0.859375,0.859375,0.033381,6400
1973-04-13,0.828125,0.828125,0.828125,0.828125,0.032167,12800
1973-04-16,0.820313,0.820313,0.820313,0.820313,0.031863,3200
1973-04-17,0.835938,0.835938,0.835938,0.835938,0.032470,4800
1973-04-18,0.828125,0.828125,0.828125,0.828125,0.032167,1600
1973-04-19,0.828125,0.828125,0.828125,0.828125,0.032167,3200
1973-04-23,0.820313,0.820313,0.820313,0.820313,0.031863,3200
1973-04-24,0.835938,0.835938,0.835938,0.835938,0.032470,12800
1973-04-25,0.828125,0.828125,0.828125,0.828125,0.032167,3200
1973-04-26,0.828125,0.828125,0.828125,0.828125,0.032167,0
1973-04-27,0.835938,0.835938,0.835938,0.835938,0.032470,6400
1973-04-30,0.812500,0.812500,0.812500,0.812500,0.031560,16000
1973-05-01,0.796875,0.796875,0.796875,0.796875,0.030953,1600
