Date,Open,High,Low,Close,Adj Close,Volume
1994-04-12,2.562500,2.562500,2.500000,2.562500,0.408768,326000
1994-04-13,2.562500,2.625000,2.500000,2.531250,0.403783,1702400
1994-04-14,2.625000,2.625000,2.500000,2.562500,0.408768,218000
1994-04-15,2.625000,2.625000,2.500000,2.562500,0.408768,475200
1994-04-18,2.531250,2.531250,2.500000,2.500000,0.398798,8000
1994-04-19,2.515625,2.625000,2.500000,2.625000,0.418738,106000
1994-04-20,2.500000,2.500000,2.500000,2.500000,0.398798,46000
1994-04-21,2.562500,2.562500,2.500000,2.562500,0.408768,145600
1994-04-22,2.562500,2.562500,2.562500,2.562500,0.408768,0
1994-04-25,2.531250,2.531250,2.531250,2.531250,0.403783,2800
1994-04-26,2.562500,2.562500,2.500000,2.562500,0.408768,202400
1994-04-28,2.562500,2.562500,2.500000,2.546875,0.406276,44000
1994-04-29,2.531250,2.562500,2.500000,2.531250,0.403783,172000
1994-05-02,2.546875,2.562500,2.500000,2.515625,0.401291,58000
1994-05-03,2.500000,2.562500,2.500000,2.500000,0.398798,104400
1994-05-04,2.562500,2.562500,2.500000,2.531250,0.403783,86000
1994-05-05,2.562500,2.562500,2.515625,2.515625,0.401291,17200
1994-05-06,2.500000,2.500000,2.500000,2.500000,0.398798,20000
1994-05-09,2.500000,2.531250,2.500000,2.531250,0.403783,76000
1994-05-10,2.500000,2.562500,2.468750,2.531250,0.403783,187200
1994-05-11,2.531250,2.531250,2.531250,2.531250,0.403783,0
1994-05-12,2.562500,2.562500,2.562500,2.562500,0.408768,400
1994-05-13,2.500000,2.562500,2.500000,2.562500,0.408768,14000
1994-05-16,2.531250,2.531250,2.531250,2.531250,0.403783,2000
1994-05-17,2.500000,2.531250,2.500000,2.531250,0.403783,48800
1994-05-18,2.531250,2.531250,2.531250,2.531250,0.403783,6800
1994-05-19,2.531250,2.531250,2.531250,2.531250,0.403783,37200
1994-05-20,2.531250,2.531250,2.468750,2.515625,0.401291,47200
1994-05-23,2.515625,2.531250,2.468750,2.500000,0.398798,306000
1994-05-24,2.515625,2.515625,2.484375,2.484375,0.396305,26000
1994-05-25,2.500000,2.531250,2.468750,2.531250,0.403783,223600
1994-05-26,2.515625,2.625000,2.500000,2.593750,0.413753,601600
1994-05-27,2.625000,2.656250,2.562500,2.640625,0.421230,256000
1994-05-31,2.687500,2.718750,2.593750,2.687500,0.428708,138400
1994-06-01,2.718750,2.718750,2.625000,2.718750,0.433693,54400
