Date,Open,High,Low,Close,Adj Close,Volume
1983-04-14,4.625000,4.750000,4.625000,4.625000,2.741554,2984800
1983-04-15,4.625000,4.625000,4.562500,4.562500,2.704505,963200
1983-04-18,4.562500,4.812500,4.562500,4.562500,2.704505,660400
1983-04-19,4.750000,4.875000,4.750000,4.750000,2.815650,441200
1983-04-20,4.812500,4.875000,4.812500,4.812500,2.852698,318000
1983-04-21,4.875000,5.062500,4.875000,4.875000,2.889747,180000
1983-04-22,5.062500,5.187500,5.062500,5.062500,3.000889,204000
1983-04-25,5.125000,5.312500,5.125000,5.125000,3.037938,347600
1983-04-26,5.250000,5.375000,5.250000,5.250000,3.112036,164800
1983-04-27,5.500000,5.562500,5.500000,5.500000,3.260226,300800
1983-04-28,5.500000,5.500000,5.375000,5.375000,3.186130,113200
1983-04-29,5.375000,5.500000,5.375000,5.375000,3.186130,77200
1983-05-02,5.187500,5.187500,5.125000,5.125000,3.037938,132000
1983-05-03,5.187500,5.312500,5.187500,5.187500,3.074987,109600
1983-05-04,5.250000,5.375000,5.250000,5.250000,3.112036,130000
1983-05-05,5.312500,5.500000,5.312500,5.312500,3.149081,69200
1983-05-06,5.625000,5.750000,5.625000,5.625000,3.334323,256800
1983-05-09,5.625000,5.812500,5.625000,5.625000,3.334323,119600
1983-05-10,5.937500,6.062500,5.937500,5.937500,3.519562,128000
1983-05-11,5.937500,6.000000,5.812500,5.812500,3.445466,242400
1983-05-12,5.875000,6.000000,5.875000,5.875000,3.482514,154400
1983-05-13,5.875000,6.000000,5.875000,5.875000,3.482514,228800
1983-05-16,5.750000,5.750000,5.625000,5.625000,3.334323,34800
1983-05-17,5.687500,5.812500,5.687500,5.687500,3.371371,145600
1983-05-18,5.750000,5.812500,5.750000,5.750000,3.408418,38000
1983-05-19,5.750000,5.812500,5.687500,5.687500,3.371371,86400
1983-05-20,5.687500,5.812500,5.625000,5.625000,3.334323,52000
1983-05-23,5.812500,6.000000,5.812500,5.812500,3.445466,104800
1983-05-24,6.187500,6.312500,6.187500,6.187500,3.667754,110000
1983-05-25,6.250000,6.375000,6.250000,6.250000,3.704802,29600
1983-05-26,6.312500,6.500000,6.312500,6.312500,3.741849,425600
1983-05-27,6.500000,6.687500,6.500000,6.500000,3.852995,213600
1983-05-31,6.562500,6.687500,6.562500,6.562500,3.890040,140800
1983-06-01,6.562500,6.625000,6.500000,6.500000,3.852995,59200
1983-06-02,6.437500,6.437500,6.312500,6.312500,3.741849,16800
1983-06-03,6.312500,6.437500,6.250000,6.250000,3.704802,64800
1983-06-06,6.312500,6.437500,6.312500,6.312500,3.741849,87600
1983-06-07,6.437500,6.562500,6.437500,6.437500,3.815946,78000
1983-06-08,6.875000,7.062500,6.875000,6.875000,4.075284,96000
1983-06-09,7.250000,7.375000,7.250000,7.250000,4.297570,183200
1983-06-10,7.250000,7.375000,7.250000,7.250000,4.297570,76000
1983-06-13,7.500000,7.625000,7.500000,7.500000,4.445762,175200
1983-06-14,8.000000,8.125000,8.000000,8.000000,4.742147,536800
1983-06-15,8.000000,8.187500,8.000000,8.000000,4.742147,94400
1983-06-16,8.125000,8.187500,8.125000,8.125000,4.816245,42400
1983-06-17,8.062500,8.062500,8.000000,8.000000,4.742147,240800
1983-06-20,8.062500,8.187500,8.062500,8.062500,4.779196,78000
1983-06-21,7.875000,7.875000,7.687500,7.687500,4.556902,191600
1983-06-22,7.812500,7.937500,7.812500,7.812500,4.631003,225600
1983-06-23,7.750000,7.750000,7.687500,7.687500,4.556902,124000
1983-06-24,7.687500,7.687500,7.500000,7.500000,4.445762,58800
1983-06-27,7.500000,7.500000,7.375000,7.375000,4.371666,99200
1983-06-28,6.875000,6.875000,6.750000,6.750000,4.001187,253600
1983-06-29,6.937500,7.125000,6.937500,6.937500,4.112330,262000
1983-06-30,7.250000,7.437500,7.250000,7.250000,4.297570,46400
1983-07-01,7.250000,7.437500,7.250000,7.250000,4.297570,47600
1983-07-05,7.187500,7.187500,7.000000,7.000000,4.149376,15600
1983-07-06,7.000000,7.062500,6.875000,6.875000,4.075284,83600
1983-07-07,6.875000,6.937500,6.750000,6.750000,4.001187,56000
