Date,Open,High,Low,Close,Adj Close,Volume
1993-11-10,2.500000,2.541667,2.333333,2.541667,2.108410,1327500
1993-11-11,2.541667,2.541667,2.416667,2.416667,2.004718,1109700
1993-11-12,2.458333,2.458333,2.333333,2.458333,2.039282,263100
1993-11-15,2.458333,2.541667,2.333333,2.500000,2.073847,817500
1993-11-16,2.541667,2.583333,2.458333,2.541667,2.108410,317100
1993-11-17,2.541667,2.541667,2.375000,2.395833,1.987436,654000
1993-11-18,2.458333,2.500000,2.375000,2.416667,2.004718,181500
1993-11-19,2.458333,2.458333,2.375000,2.458333,2.039282,216000
1993-11-22,2.458333,2.500000,2.375000,2.500000,2.073847,162900
1993-11-23,2.375000,2.500000,2.375000,2.500000,2.073847,187200
1993-11-24,2.500000,2.500000,2.375000,2.375000,1.970153,67200
1993-11-26,2.500000,2.500000,2.375000,2.375000,1.970153,16200
1993-11-29,2.375000,2.500000,2.375000,2.458333,2.060977,39900
1993-11-30,2.500000,2.583333,2.416667,2.583333,2.165773,453000
1993-12-01,2.583333,2.625000,2.500000,2.625000,2.200704,337500
1993-12-02,2.625000,2.791667,2.500000,2.791667,2.340431,295500
1993-12-03,2.833333,3.000000,2.750000,3.000000,2.515090,353100
1993-12-06,3.041667,3.041667,2.875000,2.875000,2.410294,307200
1993-12-07,2.916667,2.916667,2.750000,2.791667,2.340431,665100
1993-12-08,2.833333,2.916667,2.750000,2.916667,2.445226,139800
1993-12-09,2.833333,2.916667,2.833333,2.833333,2.375363,171300
1993-12-10,2.916667,2.916667,2.791667,2.916667,2.445226,38100
1993-12-13,2.916667,2.916667,2.791667,2.791667,2.340431,57900
1993-12-14,2.916667,2.916667,2.750000,2.833333,2.375363,91800
1993-12-15,2.750000,2.791667,2.708333,2.791667,2.340431,104100
1993-12-16,2.791667,2.958333,2.750000,2.958333,2.480158,99300
1993-12-17,2.958333,2.958333,2.833333,2.958333,2.480158,86700
1993-12-20,2.833333,3.041667,2.833333,3.041667,2.550022,170700
1993-12-21,3.041667,3.125000,2.916667,3.083333,2.584953,322800
1993-12-22,3.125000,3.208333,3.083333,3.083333,2.584953,374100
1993-12-23,3.166667,3.166667,3.041667,3.166667,2.654817,106800
1993-12-27,3.166667,3.250000,3.083333,3.250000,2.724680,117000
1993-12-28,3.250000,3.250000,3.166667,3.250000,2.724680,67800
1993-12-29,3.250000,3.458333,3.208333,3.458333,2.899340,366600
1993-12-30,3.458333,3.583333,3.375000,3.583333,3.004135,560400
1993-12-31,3.583333,3.666667,3.500000,3.666667,3.073999,295200
1994-01-03,3.666667,3.666667,3.416667,3.500000,2.934271,627900
1994-01-04,3.500000,3.500000,3.208333,3.291667,2.759613,314100
1994-01-05,3.250000,3.375000,3.250000,3.333333,2.794545,111900
1994-01-06,3.375000,3.375000,3.333333,3.333333,2.794545,76800
1994-01-07,3.375000,3.375000,3.333333,3.333333,2.794545,69300
1994-01-10,3.375000,3.375000,3.333333,3.375000,2.829477,126300
1994-01-11,3.375000,3.375000,3.250000,3.333333,2.794545,206100
1994-01-12,3.333333,3.333333,3.208333,3.208333,2.689749,111600
1994-01-13,3.250000,3.375000,3.125000,3.375000,2.829477,233100
1994-01-14,3.375000,3.375000,3.291667,3.375000,2.829477,417000
1994-01-17,3.375000,3.375000,3.250000,3.291667,2.759613,228300
1994-01-18,3.333333,3.333333,3.208333,3.250000,2.724680,110700
1994-01-19,3.333333,3.333333,3.250000,3.333333,2.794545,27600
1994-01-20,3.250000,3.333333,3.208333,3.208333,2.689749,137100
1994-01-21,3.208333,3.333333,3.208333,3.333333,2.794545,104100
1994-01-24,3.333333,3.333333,3.250000,3.333333,2.794545,714600
1994-01-25,3.333333,3.333333,3.250000,3.333333,2.794545,200400
1994-01-26,3.333333,3.333333,3.250000,3.291667,2.759613,242400
1994-01-27,3.333333,3.333333,3.291667,3.333333,2.794545,174300
1994-01-28,3.333333,3.375000,3.291667,3.333333,2.794545,347100
1994-01-31,3.333333,3.333333,3.291667,3.333333,2.794545,235200
1994-02-01,3.333333,3.333333,3.291667,3.333333,2.794545,189900
1994-02-02,3.333333,3.375000,3.291667,3.375000,2.829477,50700
1994-02-03,3.375000,3.375000,3.291667,3.333333,2.794545,78300
1994-02-04,3.375000,3.375000,3.125000,3.125000,2.619885,226800
1994-02-07,3.208333,3.208333,2.958333,3.166667,2.654817,1359000
1994-02-08,3.208333,3.250000,3.083333,3.166667,2.654817,61200
1994-02-09,3.250000,3.333333,3.125000,3.333333,2.794545,318000
1994-02-10,3.375000,3.375000,3.250000,3.375000,2.829477,83100
1994-02-11,3.250000,3.333333,3.250000,3.291667,2.759613,45900
1994-02-14,3.333333,3.375000,3.250000,3.375000,2.829477,233400
1994-02-15,3.375000,3.375000,3.250000,3.375000,2.829477,9000
1994-02-16,3.333333,3.375000,3.250000,3.291667,2.759613,118800
1994-02-17,3.250000,3.375000,3.250000,3.250000,2.724680,23400
1994-02-18,3.250000,3.375000,3.208333,3.333333,2.794545,68100
1994-02-22,3.333333,3.333333,3.208333,3.208333,2.689749,53700
1994-02-23,3.291667,3.291667,3.166667,3.166667,2.654817,41400
1994-02-24,3.125000,3.208333,3.125000,3.125000,2.619885,30300
1994-02-25,3.208333,3.208333,3.125000,3.208333,2.689749,45000
1994-02-28,3.208333,3.208333,3.125000,3.208333,2.689749,40500
1994-03-01,3.125000,3.208333,3.125000,3.208333,2.689749,42900
1994-03-02,3.166667,3.166667,3.041667,3.083333,2.584953,25200
1994-03-03,3.166667,3.166667,3.083333,3.083333,2.584953,6900
1994-03-04,3.083333,3.166667,3.083333,3.083333,2.584953,386100
1994-03-07,3.083333,3.208333,3.083333,3.208333,2.689749,32100
1994-03-08,3.208333,3.208333,3.125000,3.208333,2.689749,23400
1994-03-09,3.208333,3.208333,3.125000,3.208333,2.689749,18300
1994-03-10,3.208333,3.208333,3.125000,3.125000,2.619885,25800
1994-03-11,3.208333,3.208333,3.125000,3.208333,2.689749,69000
1994-03-14,3.125000,3.250000,3.125000,3.125000,2.619885,54000
1994-03-15,3.250000,3.250000,3.041667,3.041667,2.550022,729600
1994-03-16,3.083333,3.083333,2.875000,3.000000,2.515090,131100
1994-03-17,2.958333,2.958333,2.791667,2.875000,2.410294,100800
1994-03-18,2.833333,2.833333,2.750000,2.750000,2.305500,510000
1994-03-21,2.750000,2.875000,2.541667,2.666667,2.235635,778800
1994-03-22,2.750000,2.791667,2.666667,2.708333,2.270567,196500
1994-03-23,2.791667,2.833333,2.708333,2.791667,2.340431,274800
1994-03-24,2.875000,2.875000,2.750000,2.833333,2.375363,48900
1994-03-25,2.833333,2.916667,2.750000,2.916667,2.445226,710100
1994-03-28,2.958333,2.958333,2.833333,2.833333,2.375363,143400
1994-03-29,2.833333,2.958333,2.833333,2.916667,2.445226,62400
1994-03-30,2.875000,2.916667,2.791667,2.916667,2.445226,133200
1994-03-31,2.916667,2.916667,2.791667,2.875000,2.410294,46500
1994-04-04,2.750000,2.875000,2.708333,2.833333,2.375363,96600
1994-04-05,2.708333,2.833333,2.708333,2.791667,2.340431,40200
1994-04-06,2.833333,2.833333,2.750000,2.750000,2.305500,65100
1994-04-07,2.750000,2.833333,2.750000,2.833333,2.375363,73500
1994-04-08,2.833333,2.833333,2.750000,2.791667,2.340431,53400
1994-04-11,2.833333,2.833333,2.750000,2.750000,2.305500,34800
1994-04-12,2.750000,2.833333,2.750000,2.750000,2.305500,49500
1994-04-13,2.708333,2.833333,2.708333,2.791667,2.340431,16200
1994-04-14,2.833333,2.833333,2.708333,2.791667,2.340431,32400
1994-04-15,2.708333,2.791667,2.708333,2.791667,2.340431,47100
1994-04-18,2.833333,2.833333,2.666667,2.666667,2.235635,51900
1994-04-19,2.625000,2.750000,2.625000,2.666667,2.235635,81600
1994-04-20,2.625000,2.708333,2.458333,2.541667,2.130840,326100
1994-04-21,2.541667,2.583333,2.458333,2.583333,2.165773,105600
1994-04-22,2.458333,2.583333,2.458333,2.458333,2.060977,32700
1994-04-25,2.583333,2.583333,2.500000,2.583333,2.165773,32100
1994-04-26,2.583333,2.583333,2.500000,2.583333,2.165773,35700
1994-04-28,2.562500,2.583333,2.500000,2.500000,2.095909,46500
1994-04-29,2.583333,2.583333,2.500000,2.541667,2.130840,74100
1994-05-02,2.583333,2.625000,2.500000,2.541667,2.130840,55200
1994-05-03,2.625000,2.625000,2.500000,2.500000,2.095909,74400
1994-05-04,2.625000,2.625000,2.541667,2.541667,2.130840,61800
1994-05-05,2.625000,2.625000,2.541667,2.541667,2.130840,94500
1994-05-06,2.541667,2.625000,2.479167,2.479167,2.078442,155400
1994-05-09,2.458333,2.583333,2.416667,2.416667,2.026044,37500
1994-05-10,2.416667,2.541667,2.416667,2.458333,2.060977,55500
1994-05-11,2.541667,2.541667,2.333333,2.375000,1.991112,146700
