Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,9.018759,8.297258,8.297258,3.053027,9600
1980-03-18,0.000000,9.018759,8.297258,8.297258,3.053027,7000
1980-03-19,0.000000,8.477633,7.756133,7.756133,2.853917,1400
1980-03-20,0.000000,8.477633,7.756133,7.756133,2.853917,4300
1980-03-21,0.000000,7.575758,6.854257,6.854257,2.522067,2800
1980-03-24,0.000000,7.034632,6.313131,6.313131,2.322956,4800
1980-03-25,0.000000,6.673882,5.952381,5.952381,2.190216,1900
1980-03-26,0.000000,6.493506,5.772006,5.772006,2.123845,2700
1980-03-27,0.000000,5.591630,4.870130,4.870130,1.791994,3100
1980-03-28,0.000000,6.493506,5.772006,5.772006,2.123845,19900
1980-03-31,0.000000,6.132756,5.411255,5.411255,1.991105,2400
1980-04-01,null,null,null,null,null,null
1980-04-02,0.000000,6.313131,5.591630,5.591630,2.057475,3000
1980-04-03,0.000000,6.313131,5.591630,5.591630,2.057475,1400
1980-04-07,0.000000,5.952381,5.230880,5.230880,1.924735,6100
1980-04-08,0.000000,5.952381,5.230880,5.230880,1.924735,1900
1980-04-09,null,null,null,null,null,null
1980-04-10,0.000000,6.313131,5.591630,5.591630,2.057475,2100
1980-04-11,0.000000,7.034632,6.313131,6.313131,2.322956,3400
1980-04-14,null,null,null,null,null,null
1980-04-15,null,null,null,null,null,null
1980-04-16,0.000000,7.034632,6.313131,6.313131,2.322956,1300
1980-04-17,0.000000,7.034632,6.313131,6.313131,2.322956,100
1980-04-18,0.000000,7.034632,6.313131,6.313131,2.322956,200
1980-04-21,0.000000,7.034632,6.313131,6.313131,2.322956,600
1980-04-22,0.000000,7.034632,6.313131,6.313131,2.322956,200
1980-04-23,0.000000,7.034632,6.313131,6.313131,2.322956,700
1980-04-24,null,null,null,null,null,null
1980-04-25,0.000000,6.854257,6.132756,6.132756,2.256586,300
1980-04-28,0.000000,6.854257,6.132756,6.132756,2.256586,200
1980-04-29,0.000000,6.673882,5.952381,5.952381,2.190216,1300
1980-04-30,0.000000,6.854257,6.132756,6.132756,2.256586,100
1980-05-01,0.000000,6.673882,5.952381,5.952381,2.190216,400
1980-05-02,null,null,null,null,null,null
1980-05-05,null,null,null,null,null,null
1980-05-06,null,null,null,null,null,null
1980-05-07,null,null,null,null,null,null
1980-05-08,null,null,null,null,null,null
1980-05-09,0.000000,6.854257,6.132756,6.132756,2.256586,600
1980-05-12,0.000000,6.493506,5.772006,5.772006,2.123845,5800
1980-05-13,0.000000,6.313131,5.591630,5.591630,2.057475,1900
1980-05-14,0.000000,6.313131,5.591630,5.591630,2.057475,200
1980-05-15,0.000000,6.313131,5.591630,5.591630,2.057475,10800
1980-05-16,0.000000,6.854257,6.132756,6.132756,2.256586,1000
1980-05-19,0.000000,7.034632,6.313131,6.313131,2.322956,2100
1980-05-20,0.000000,7.034632,6.313131,6.313131,2.322956,100
1980-05-21,0.000000,6.854257,6.132756,6.132756,2.256586,2100
1980-05-22,0.000000,6.493506,5.772006,5.772006,2.123845,6700
1980-05-23,0.000000,7.395382,6.673882,6.673882,2.455696,25400
1980-05-27,0.000000,7.936508,7.215007,7.215007,2.654807,15200
1980-05-28,0.000000,8.297258,7.575758,7.575758,2.787547,11200
1980-05-29,0.000000,7.936508,7.215007,7.215007,2.654807,3300
1980-05-30,0.000000,7.936508,7.215007,7.215007,2.654807,2100
