Date,Open,High,Low,Close,Adj Close,Volume
2020-01-17,2.710000,2.750000,2.690000,2.720000,2.720000,8800
2020-01-21,2.700000,2.750000,2.650000,2.750000,2.750000,61100
2020-01-22,2.720000,2.740000,2.660000,2.660000,2.660000,75700
2020-01-23,2.620000,2.730000,2.620000,2.660000,2.660000,67200
2020-01-24,2.660000,2.690000,2.600000,2.640000,2.640000,69400
2020-01-27,2.610000,2.620000,2.390000,2.490000,2.490000,148500
2020-01-28,2.470000,2.480000,2.290000,2.300000,2.300000,104400
2020-01-29,2.290000,2.330000,2.200000,2.210000,2.210000,120500
2020-01-30,2.230000,2.240000,2.210000,2.220000,2.220000,32100
2020-01-31,2.240000,2.260000,2.100000,2.120000,2.120000,95700
2020-02-03,2.160000,2.690000,2.100000,2.280000,2.280000,753400
2020-02-04,2.280000,2.440000,2.250000,2.300000,2.300000,165200
2020-02-05,3.020000,4.150000,2.820000,3.380000,3.380000,29657800
2020-02-06,3.300000,3.570000,3.020000,3.120000,3.120000,3748000
2020-02-07,3.010000,3.150000,2.900000,3.010000,3.010000,678800
2020-02-10,3.010000,3.010000,2.780000,2.880000,2.880000,552600
2020-02-11,2.820000,2.860000,2.660000,2.700000,2.700000,423000
2020-02-12,2.720000,2.750000,2.530000,2.610000,2.610000,390300
2020-02-13,2.610000,2.810000,2.460000,2.640000,2.640000,655600
2020-02-14,2.630000,2.700000,2.500000,2.580000,2.580000,200300
2020-02-18,2.560000,2.640000,2.490000,2.540000,2.540000,173900
2020-02-19,2.630000,2.650000,2.490000,2.550000,2.550000,196600
2020-02-20,2.570000,2.590000,2.410000,2.410000,2.410000,179000
2020-02-21,2.400000,2.520000,2.300000,2.440000,2.440000,222700
2020-02-24,2.380000,2.410000,2.240000,2.310000,2.310000,173100
2020-02-25,2.280000,2.320000,2.120000,2.130000,2.130000,229000
2020-02-26,2.110000,2.190000,2.050000,2.090000,2.090000,209900
2020-02-27,2.010000,2.150000,1.870000,1.870000,1.870000,326900
2020-02-28,1.800000,1.890000,1.750000,1.810000,1.810000,281100
2020-03-02,1.880000,1.880000,1.760000,1.770000,1.770000,231900
2020-03-03,1.760000,1.850000,1.630000,1.670000,1.670000,254500
2020-03-04,1.700000,1.820000,1.700000,1.820000,1.820000,271500
2020-03-05,1.820000,1.880000,1.720000,1.760000,1.760000,137900
2020-03-06,1.730000,1.750000,1.530000,1.570000,1.570000,282000
2020-03-09,1.350000,1.400000,1.190000,1.240000,1.240000,282600
