Date,Open,High,Low,Close,Adj Close,Volume
1982-11-09,0.982929,0.998287,0.982929,0.982929,0.268104,3515800
1982-11-10,1.167228,1.182587,1.167228,1.167228,0.318373,4596200
1982-11-11,1.167228,1.197945,1.167228,1.167228,0.318373,2330200
1982-11-12,1.167228,1.182587,1.151870,1.151870,0.314184,1106200
1982-11-15,1.151870,1.151870,1.136512,1.136512,0.309995,578600
1982-11-16,1.121154,1.121154,1.105795,1.105795,0.301617,1076200
1982-11-17,1.121154,1.136512,1.121154,1.121154,0.305806,316100
1982-11-18,1.167228,1.182587,1.167228,1.167228,0.318373,1034500
1982-11-19,1.197945,1.213303,1.197945,1.197945,0.326751,920000
1982-11-22,1.197945,1.197945,1.167228,1.167228,0.318373,794200
1982-11-23,1.167228,1.167228,1.151870,1.151870,0.314184,774900
1982-11-24,1.167228,1.182587,1.167228,1.167228,0.318373,272900
1982-11-26,1.167228,1.182587,1.167228,1.167228,0.318373,273200
1982-11-29,1.167228,1.182587,1.167228,1.167228,0.318373,627300
1982-11-30,1.182587,1.197945,1.182587,1.182587,0.322562,433500
1982-12-01,1.197945,1.213303,1.197945,1.197945,0.326751,429100
1982-12-02,1.197945,1.197945,1.182587,1.182587,0.322562,595900
1982-12-03,1.182587,1.197945,1.182587,1.182587,0.322562,253800
1982-12-06,1.182587,1.197945,1.182587,1.182587,0.322562,221400
1982-12-07,1.182587,1.197945,1.182587,1.182587,0.322562,259800
1982-12-08,1.182587,1.197945,1.182587,1.182587,0.322562,431700
1982-12-09,1.182587,1.197945,1.167228,1.167228,0.318373,298600
1982-12-10,1.167228,1.182587,1.151870,1.151870,0.314184,221400
1982-12-13,1.151870,1.167228,1.136512,1.136512,0.309995,246600
1982-12-14,1.121154,1.121154,1.090437,1.090437,0.297427,1012300
1982-12-15,1.090437,1.090437,1.075079,1.075079,0.293238,533900
1982-12-16,1.136512,1.167228,1.136512,1.136512,0.309995,498500
1982-12-17,1.136512,1.167228,1.136512,1.136512,0.309995,288900
1982-12-20,1.136512,1.167228,1.136512,1.136512,0.309995,187800
1982-12-21,1.151870,1.182587,1.151870,1.151870,0.314184,351500
1982-12-22,1.197945,1.213303,1.197945,1.197945,0.326751,294800
1982-12-23,1.197945,1.213303,1.197945,1.197945,0.326751,203900
1982-12-27,1.197945,1.213303,1.197945,1.197945,0.326751,169400
1982-12-28,1.197945,1.213303,1.197945,1.197945,0.326751,129800
1982-12-29,1.197945,1.213303,1.182587,1.182587,0.322562,150000
1982-12-30,1.167228,1.167228,1.144191,1.144191,0.312089,231200
1982-12-31,1.144191,1.167228,1.144191,1.144191,0.312089,54200
1983-01-03,1.144191,1.167228,1.144191,1.144191,0.312089,143300
1983-01-04,1.144191,1.167228,1.144191,1.144191,0.312089,192500
1983-01-05,1.228661,1.259378,1.228661,1.228661,0.335129,384200
1983-01-06,1.320811,1.351528,1.320811,1.320811,0.360264,387600
1983-01-07,1.320811,1.351528,1.320811,1.320811,0.360264,830200
1983-01-10,1.336169,1.366886,1.336169,1.336169,0.364453,129800
1983-01-11,1.382244,1.412961,1.382244,1.382244,0.377020,249700
1983-01-12,1.412961,1.443677,1.412961,1.412961,0.385399,127000
1983-01-13,1.428319,1.459035,1.428319,1.428319,0.389588,234300
1983-01-14,1.428319,1.459035,1.428319,1.428319,0.389588,201100
1983-01-17,1.443677,1.474394,1.443677,1.443677,0.393777,199100
1983-01-18,1.443677,1.474394,1.443677,1.443677,0.393777,84300
1983-01-19,1.443677,1.459035,1.443677,1.443677,0.393777,309400
1983-01-20,1.397602,1.397602,1.366886,1.366886,0.372831,394400
1983-01-21,1.397602,1.428319,1.397602,1.397602,0.381210,763700
1983-01-24,1.351528,1.351528,1.320811,1.320811,0.360264,390300
1983-01-25,1.320811,1.366886,1.320811,1.320811,0.360264,99800
1983-01-26,1.320811,1.336169,1.320811,1.320811,0.360264,83900
1983-01-27,1.351528,1.366886,1.351528,1.351528,0.368642,123900
1983-01-28,1.366886,1.397602,1.366886,1.366886,0.372831,199100
1983-01-31,1.366886,1.397602,1.366886,1.366886,0.372831,86500
1983-02-01,1.428319,1.443677,1.428319,1.428319,0.389588,364200
1983-02-02,1.443677,1.459035,1.443677,1.443677,0.393777,216900
1983-02-03,1.443677,1.443677,1.428319,1.428319,0.389588,227900
1983-02-04,1.428319,1.443677,1.412961,1.412961,0.385399,142400
1983-02-07,1.412961,1.428319,1.412961,1.412961,0.385399,58700
1983-02-08,1.412961,1.443677,1.412961,1.412961,0.385399,114100
1983-02-09,1.412961,1.428319,1.397602,1.397602,0.381210,175000
1983-02-10,1.397602,1.428319,1.397602,1.397602,0.381210,260100
1983-02-11,1.412961,1.443677,1.412961,1.412961,0.385399,312200
1983-02-14,1.428319,1.443677,1.428319,1.428319,0.389588,125800
1983-02-15,1.428319,1.443677,1.428319,1.428319,0.389588,90900
