Date,Open,High,Low,Close,Adj Close,Volume
1987-06-08,6.617284,7.111111,6.617284,6.617284,1.856744,100
1987-06-09,6.617284,7.111111,6.617284,6.617284,1.856744,900
1987-06-10,6.617284,7.111111,6.617284,6.617284,1.856744,4900
1987-06-11,6.617284,7.111111,6.617284,6.617284,1.856744,900
1987-06-12,6.617284,7.111111,6.617284,6.617284,1.856744,1900
1987-06-15,6.716049,7.111111,6.716049,6.716049,1.884456,2800
1987-06-16,6.913580,7.111111,6.913580,6.913580,1.939883,24400
1987-06-17,6.913580,7.111111,6.913580,6.913580,1.939883,10000
1987-06-18,7.012346,7.407407,7.012346,7.012346,1.967595,20400
1987-06-19,7.160494,7.407407,7.160494,7.160494,2.009163,9000
1987-06-22,7.209877,7.407407,7.209877,7.209877,2.023021,13000
1987-06-23,7.308642,7.407407,7.308642,7.308642,2.050732,8100
1987-06-24,7.308642,7.407407,7.209877,7.209877,2.023021,6000
1987-06-25,7.209877,7.407407,7.209877,7.209877,2.023021,12100
1987-06-26,7.209877,7.407407,7.209877,7.209877,2.023021,7300
1987-06-29,7.209877,7.308642,7.209877,7.209877,2.023021,4000
1987-06-30,7.111111,7.111111,6.814815,6.814815,1.912169,20400
1987-07-01,6.814815,7.111111,6.814815,6.814815,1.912169,6000
1987-07-02,6.814815,6.814815,6.814815,6.814815,1.912169,0
1987-07-06,6.913580,7.111111,6.913580,6.913580,1.939883,6000
1987-07-07,6.913580,7.111111,6.913580,6.913580,1.939883,19500
1987-07-08,6.913580,7.111111,6.913580,6.913580,1.939883,6900
1987-07-09,6.913580,7.111111,6.913580,6.913580,1.939883,4900
1987-07-10,6.913580,7.111111,6.913580,6.913580,1.939883,4900
1987-07-13,6.913580,7.111111,6.913580,6.913580,1.939883,4000
1987-07-14,6.913580,7.111111,6.913580,6.913580,1.939883,2200
1987-07-15,6.913580,7.111111,6.913580,6.913580,1.939883,12100
1987-07-16,6.913580,7.111111,6.913580,6.913580,1.939883,6300
1987-07-17,6.913580,7.111111,6.913580,6.913580,1.939883,8100
1987-07-20,6.913580,6.913580,6.913580,6.913580,1.939883,0
1987-07-21,6.913580,7.111111,6.913580,6.913580,1.939883,4900
1987-07-22,6.913580,7.111111,6.913580,6.913580,1.939883,1900
1987-07-23,6.913580,7.111111,6.913580,6.913580,1.939883,1300
1987-07-24,6.913580,7.111111,6.913580,6.913580,1.939883,2800
1987-07-27,6.913580,7.012346,6.814815,6.814815,1.912169,14400
1987-07-28,6.814815,7.012346,6.814815,6.814815,1.912169,1900
1987-07-29,6.814815,6.814815,6.814815,6.814815,1.912169,0
1987-07-30,6.814815,7.012346,6.716049,6.716049,1.894341,7300
1987-07-31,6.716049,6.716049,6.617284,6.617284,1.866484,9400
1987-08-03,6.617284,6.716049,6.617284,6.617284,1.866484,900
1987-08-04,6.617284,6.617284,6.320988,6.320988,1.782910,12100
1987-08-05,6.320988,6.518518,6.172840,6.172840,1.741124,59500
1987-08-06,6.172840,6.518518,6.172840,6.172840,1.741124,4900
1987-08-07,6.172840,6.518518,6.172840,6.172840,1.741124,1300
1987-08-10,6.172840,6.518518,6.172840,6.172840,1.741124,100
1987-08-11,6.172840,6.518518,6.172840,6.172840,1.741124,6000
1987-08-12,6.172840,6.518518,6.172840,6.172840,1.741124,1900
1987-08-13,6.172840,6.518518,6.172840,6.172840,1.741124,1300
1987-08-14,6.172840,6.518518,6.172840,6.172840,1.741124,100
1987-08-17,6.222222,6.518518,6.222222,6.222222,1.755053,6900
1987-08-18,6.271605,6.518518,6.271605,6.271605,1.768981,100
1987-08-19,6.271605,6.518518,6.271605,6.271605,1.768981,100
1987-08-20,6.271605,6.518518,6.271605,6.271605,1.768981,10000
1987-08-21,6.271605,6.518518,6.271605,6.271605,1.768981,900
1987-08-24,6.271605,6.518518,6.271605,6.271605,1.768981,900
1987-08-25,6.271605,6.518518,6.271605,6.271605,1.768981,100
1987-08-26,6.271605,6.518518,6.271605,6.271605,1.768981,2200
1987-08-27,6.271605,6.518518,6.271605,6.271605,1.768981,4000
1987-08-28,6.271605,6.518518,6.222222,6.222222,1.755053,23500
1987-08-31,6.271605,6.518518,6.271605,6.271605,1.768981,900
1987-09-01,6.271605,6.518518,6.271605,6.271605,1.768981,1300
1987-09-02,6.320988,6.518518,6.320988,6.320988,1.782910,100
1987-09-03,6.320988,6.518518,6.320988,6.320988,1.782910,19500
1987-09-04,6.320988,6.518518,6.320988,6.320988,1.782910,2200
1987-09-08,6.320988,6.320988,6.320988,6.320988,1.782910,0
1987-09-09,6.320988,6.518518,6.320988,6.320988,1.782910,4900
1987-09-10,6.320988,6.518518,6.320988,6.320988,1.782910,7300
1987-09-11,6.320988,6.518518,6.320988,6.320988,1.782910,9000
1987-09-14,6.320988,6.518518,6.320988,6.320988,1.782910,2800
1987-09-15,6.320988,6.518518,6.320988,6.320988,1.782910,6900
1987-09-16,6.320988,6.518518,6.320988,6.320988,1.782910,100
1987-09-17,6.320988,6.320988,6.320988,6.320988,1.782910,0
1987-09-18,6.320988,6.320988,6.320988,6.320988,1.782910,0
1987-09-21,6.320988,6.320988,6.320988,6.320988,1.782910,0
1987-09-22,6.320988,6.518518,6.271605,6.271605,1.768981,1300
1987-09-23,6.271605,6.419753,6.271605,6.271605,1.768981,6000
1987-09-24,6.271605,6.419753,6.271605,6.271605,1.768981,1300
1987-09-25,6.271605,6.419753,6.271605,6.271605,1.768981,2200
1987-09-28,6.271605,6.419753,6.271605,6.271605,1.768981,900
1987-09-29,6.271605,6.271605,6.271605,6.271605,1.768981,0
1987-09-30,6.271605,6.419753,6.271605,6.271605,1.768981,900
1987-10-01,6.271605,6.370370,6.271605,6.271605,1.768981,900
1987-10-02,6.271605,6.271605,6.271605,6.271605,1.768981,0
